Row Label,County,Michael J. Trickey,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,156,416,124,281,0,1
KEN 33-3232,KI,122,502,81,204,0,1
SEA 46-1968,KI,93,297,82,177,0,2
SEA 36-1391,KI,122,439,137,262,0,3
SEA 36-1390,KI,92,290,99,191,0,0
SEA 36-1393,KI,105,297,104,209,0,0
SEA 36-1392,KI,120,411,133,255,0,2
SEA 36-1395,KI,129,444,143,276,0,4
SEA 36-1394,KI,153,559,179,336,0,4
SEA 36-1397,KI,104,357,128,233,0,1
SEA 36-1396,KI,76,282,87,166,0,3
SEA 36-1399,KI,114,296,90,205,0,1
SEA 36-1398,KI,138,503,125,265,0,2
COV 47-2843,KI,221,792,171,395,0,3
BILOXI,KI,145,430,138,287,0,4
SHL 32-1209,KI,136,478,121,262,0,5
SEA 46-3687,KI,69,220,74,143,0,0
KIR 48-2731,KI,124,483,106,233,0,3
SEA 36-1403,KI,103,497,128,234,0,3
SEA 36-1402,KI,100,381,106,206,0,0
KEN 47-0835,KI,158,645,117,276,0,1
M-V 05-3368,KI,186,748,161,350,0,3
SEA 34-3637,KI,183,567,124,309,0,2
FED 30-3236,KI,222,746,126,351,0,3
FED 30-3237,KI,216,745,154,376,0,6
FED 30-3234,KI,104,382,58,163,0,1
FED 30-3235,KI,101,400,70,172,0,1
FED 30-3238,KI,95,359,49,148,0,4
SEA 37-1936,KI,114,296,108,222,0,0
BEL 48-2559,KI,153,431,104,259,0,2
SEA 37-1934,KI,234,784,229,472,0,9
AUB 30-0067,KI,107,430,56,164,0,1
WINTERGREEN,KI,92,279,69,161,0,0
TROUT LAKE,KI,220,719,128,352,0,4
SEA 34-1502,KI,97,342,123,223,0,3
ISS 05-0550,KI,93,300,74,172,0,5
SHL 32-0423,KI,117,389,106,224,0,1
SHL 32-0920,KI,94,314,93,188,0,1
SEA 37-1638,KI,79,505,82,162,0,1
SHL 32-0424,KI,111,318,78,192,0,3
SEA 37-1635,KI,117,524,79,199,0,3
SEA 37-1634,KI,94,473,94,191,0,3
SEA 37-1637,KI,196,760,92,295,0,7
SEA 37-1636,KI,144,586,70,217,0,3
SEA 37-1631,KI,88,301,98,187,0,1
GRAFF,KI,30,105,34,64,0,0
SEA 37-1633,KI,77,329,84,163,0,2
SEA 37-1632,KI,91,292,79,173,0,3
SEA 36-1715,KI,78,355,90,172,0,4
SEA 36-1714,KI,159,526,160,321,0,2
SEA 36-1717,KI,65,251,67,134,0,2
SEA 36-1716,KI,76,357,100,177,0,1
SEA 36-1711,KI,191,760,183,379,0,5
SEA 36-1710,KI,78,351,77,157,0,2
SEA 36-1713,KI,77,362,97,176,0,2
SEA 36-1712,KI,149,463,118,269,0,2
KMR 46-1181,KI,98,295,68,169,0,3
SEA 36-1719,KI,164,510,133,299,0,2
SEA 36-1718,KI,74,318,78,155,0,3
TUK 11-2949,KI,146,585,76,225,0,3
AUB 47-0059,KI,199,678,166,365,0,0
RNT 11-2815,KI,132,677,80,215,0,3
KIR 45-2679,KI,186,614,192,379,0,1
AUB 47-0055,KI,90,391,65,156,0,1
SEA 11-1928,KI,63,298,78,145,0,4
SEA 43-2850,KI,88,359,93,182,0,1
SHL 32-0527,KI,171,626,97,274,0,6
KIR 45-2471,KI,269,720,178,453,0,6
KEN 47-0498,KI,63,231,30,94,0,1
SHL 32-0335,KI,114,414,79,195,0,2
PTARMIGAN,KI,109,344,78,195,0,8
SPRING LAKE,KI,204,745,226,431,0,1
SEA 36-2170,KI,128,450,156,285,0,1
SEA 36-2171,KI,161,491,166,329,0,2
SEA 36-2172,KI,97,319,112,214,0,5
AUB 31-0078,KI,104,404,89,193,0,0
ALDARRA,KI,215,711,219,434,0,0
SEA 46-2338,KI,151,543,106,260,0,3
BIG BEND,KI,57,216,67,124,0,0
AUB 31-0070,KI,190,655,75,267,0,2
KIR 45-2786,KI,125,351,110,236,0,1
SEA 46-2290,KI,86,289,109,195,0,0
WOD 45-3530,KI,226,692,136,364,0,2
SEA 46-2291,KI,116,387,87,204,0,1
BEL 48-2778,KI,90,243,58,148,0,0
BETTY,KI,167,775,94,263,0,2
BEL 48-2773,KI,78,287,64,142,0,0
BEL 48-2772,KI,107,345,97,205,0,1
SEA 46-2295,KI,150,481,160,310,0,0
BEL 48-2777,KI,66,229,23,89,0,0
BEL 48-2776,KI,163,495,108,274,0,3
BEL 48-2775,KI,140,478,121,264,0,3
BEL 48-2774,KI,112,434,74,186,0,0
SEA 36-3153,KI,111,390,76,187,0,0
MERLIN,KI,109,411,51,170,0,10
SEA 37-1918,KI,100,347,111,212,0,1
SEA 37-1919,KI,97,378,108,207,0,2
SEA 37-1914,KI,178,523,186,364,0,0
RNT 11-3563,KI,143,625,133,277,0,1
SEA 37-1916,KI,120,357,139,261,0,2
SEA 37-1917,KI,180,454,131,311,0,0
SEA 37-1910,KI,160,513,163,329,0,6
SEA 37-1911,KI,107,284,84,191,0,0
RNT 11-3564,KI,120,491,125,246,0,1
SEA 37-1913,KI,128,338,110,239,0,1
BUR 34-0033,KI,177,682,128,309,0,4
M-I 41-0755,KI,73,265,99,172,0,0
LAKE MORTON,KI,83,232,64,151,0,4
ISS 05-3634,KI,90,422,97,190,0,3
RNT 11-2583,KI,213,838,152,368,0,3
RNT 11-2582,KI,182,795,83,270,0,5
HOLLYWOOD,KI,183,538,173,359,0,3
SEA 43-1339,KI,84,298,99,187,1,3
M-V 05-3510,KI,130,381,83,213,0,0
BEL 41-3593,KI,115,534,66,182,0,1
SEA 43-1338,KI,143,449,156,302,0,3
SEA 34-3632,KI,59,271,39,99,0,1
KEN 11-0893,KI,123,580,84,209,0,2
BEL 41-3608,KI,208,714,141,349,0,0
SAM 41-2690,KI,138,526,132,271,0,1
RNT 11-0988,KI,112,437,58,172,0,2
