Row Label,County,Drew Hansen,James M. Olsen
LEMOLO 435,KP,232,186
MEADOWDALE 150,KP,175,177
BELLA VISTA 413,KP,238,182
CLEAR CREEK 120,KP,225,216
AUGUSTA 461,KP,225,70
BROWNSVILLE 105,KP,326,323
WINSLOW 304,KP,732,128
UNIVERSITY POINT 142,KP,178,153
SANDY HOOK 464,KP,231,130
BARKER CREEK 147,KP,284,264
ISLAND CENTER 320,KP,391,87
PORT GAMBLE 450,KP,287,207
REGAL 131,KP,64,59
POULSBO 405,KP,338,179
POULSBO 404,KP,344,215
POULSBO 407,KP,253,166
POULSBO 406,KP,367,242
POULSBO 401,KP,366,258
POULSBO 403,KP,277,172
ILLAHEE 065,KP,287,245
TRACYTON 170,KP,181,169
OLYMPIC 099,KP,35,20
GILBERTON 140,KP,197,198
STRIEBEL 453,KP,303,223
AZALEA 302,KP,517,95
FOREST RIDGE 126,KP,140,142
FAIRVIEW 135,KP,132,161
RAINIER 067,KP,275,236
GAMBLEWOOD 454,KP,186,155
CENTRAL VALLEY 128,KP,273,235
LUOTO 122,KP,103,160
BLAKELY 310,KP,390,86
MORKEN 161,KP,313,334
KARIOTIS 143,KP,256,220
COTTONWOOD 125,KP,229,189
ORCA 421,KP,231,127
TWIN SPITS 417,KP,381,211
MEADOWMEER 321,KP,199,39
WINSTON 129,KP,120,92
RIDGETOP 149,KP,161,180
KINGSTON 430,KP,443,292
VENA 173,KP,240,170
BREMERTON 041,KP,232,115
BREMERTON 040,KP,273,122
BREMERTON 046,KP,259,157
SILVERDALE 160,KP,264,230
BIG VALLEY 441,KP,199,175
BLUE HERON 301,KP,668,88
TRIDENT 101,KP,46,53
SYLVAN 066,KP,281,169
HANSVILLE 415,KP,182,162
LOFALL 442,KP,380,321
POINT JEFFERSON 419,KP,251,163
WOODMERE 127,KP,284,259
BREMERTON 058,KP,272,161
BREMERTON 054,KP,152,92
BREMERTON 056,KP,214,151
BREMERTON 052,KP,175,122
BREMERTON 053,KP,341,209
ISLAND LAKE 427,KP,219,220
BREIDABLIK 410,KP,281,216
TORVANGER 345,KP,535,125
LOVGREN 332,KP,254,58
FORT WARD 318,KP,452,106
FUSON 175,KP,221,197
FINCH 314,KP,330,82
ROLLING BAY 330,KP,434,104
TOTTEN 463,KP,286,111
EVERGREEN RIDGE 426,KP,90,99
MANZANITA 336,KP,310,67
OLD FRONTIER 106,KP,251,315
EAGLE HARBOR 317,KP,326,61
NEW BROOKLYN 322,KP,280,60
TOLO 333,KP,376,97
FERNCLIFF 315,KP,590,121
S&#39;KLALLAM 418,KP,41,2
SANTA FE 148,KP,205,193
FIRGLADE 137,KP,150,158
INDIANOLA 420,KP,490,163
KEYPORT 425,KP,289,295
SCANDIA 455,KP,251,255
PORT MADISON 340,KP,321,84
POINT NO POINT 416,KP,479,290
VINLAND 412,KP,324,262
LINCOLN 440,KP,224,219
SUTTON 165,KP,157,142
APPLE TREE 422,KP,345,199
HIGHLAND 423,KP,163,142
RIDGEPOINT 141,KP,178,177
PERRY 073,KP,170,111
CRYSTAL SPRINGS 312,KP,612,109
SPINNAKER 146,KP,185,140
FRONTIER 102,KP,247,300
WING POINT 305,KP,319,103
PEARSON 445,KP,340,324
SKIFF POINT 328,KP,386,66
SEABOLD 335,KP,475,134
TIBARDIS 139,KP,113,99
LIBERTY 325,KP,397,71
SUQUAMISH 460,KP,283,90
CAMBRIDGE 144,KP,142,167
BUCKLIN 121,KP,264,248
MILLER BAY 458,KP,347,276
BREMERTON 159,KP,145,107
OLYMPIC VIEW 103,KP,189,197
Total,KP,29064,17304
