Row Label,County,John Turner,Tom Cooper
Yellowhawk 58,WL,19,24
Touchet 5 56,WL,3,2
CP 3 63,WL,247,206
Spruce 24,WL,89,121
Birch 05,WL,147,93
Baumeister 04,WL,210,178
Jefferson 13,WL,274,297
Ice Harbor 34,WL,304,88
Alder 02,WL,70,97
Waitsburg 65,WL,229,228
Lincoln 49,WL,25,44
CP 1 61,WL,262,207
Watertown 29,WL,154,104
Frenchtown 4 45,WL,26,20
Ritz 53,WL,281,250
CP 2 62,WL,183,156
Frenchtown 5 44,WL,112,84
Alderbrook 01,WL,110,118
Baker 33,WL,41,62
Edison 08,WL,121,145
Pine 21,WL,89,83
Mill Creek 50,WL,129,123
Sharpstein 23,WL,127,121
Gose 47,WL,48,59
CP 5 67,WL,217,193
Henderson 11,WL,127,145
Burbank 38,WL,336,107
Garfield 09,WL,131,169
Washington 60,WL,85,63
Garrison 46,WL,117,112
Berney 35,WL,154,124
Isaacs 12,WL,92,103
Paine 20,WL,81,55
Pleasant 22,WL,212,299
Wallula 59,WL,22,13
Monroe 18,WL,307,309
Ash 03,WL,194,219
Dixie 41,WL,126,133
Touchet 4 55,WL,144,171
CP 6 68,WL,31,32
Eureka 4 43(*),WL,0,0
Blalock 36,WL,221,229
Stadium 25,WL,113,115
Clyde 39,WL,20,15
CP 4 66,WL,309,212
Pros Point 52,WL,519,424
Wainwright 28,WL,215,210
Moore 51,WL,121,117
Derry 40,WL,74,85
Eureka 5 42(*),WL,0,0
College 07,WL,159,100
Prescott 64,WL,40,45
Green Park 10,WL,110,83
Twin Grove 57,WL,134,107
Tausick 26,WL,125,140
Marcus 17,WL,340,306
Braden 37,WL,258,257
McNary 54,WL,199,35
Maple 16,WL,279,267
Total,WL,9239,8106
Abbott 31,WL,202,111
Clark 06,WL,95,72
