Row Label,County,Eddie Yoon,Charles W. Johnson
LEMOLO 435,KP,85,256
ANNAPOLIS 212,KP,133,395
MEADOWDALE 150,KP,89,219
BELLA VISTA 413,KP,97,225
LIGHTHOUSE POINT 292,KP,101,333
CLEAR CREEK 120,KP,107,257
AUGUSTA 461,KP,65,176
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,92,175
TORVANGER 345,KP,122,365
BREMERTON 012,KP,30,52
BREMERTON 013,KP,96,228
BREMERTON 015,KP,132,245
BREMERTON 016,KP,25,59
WINSLOW 304,KP,157,508
HIGHLAND 423,KP,71,170
LAKE HELENA 214,KP,88,263
DICKENSON 282,KP,91,297
UNIVERSITY POINT 142,KP,84,205
SANDY HOOK 464,KP,78,218
BARKER CREEK 147,KP,127,347
BAYVIEW 087,KP,27,87
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,94,307
EVERGREEN RIDGE 426,KP,48,104
REGAL 131,KP,35,81
COUNTRY CLUB 113,KP,66,161
POULSBO 405,KP,111,308
POULSBO 404,KP,113,339
POULSBO 407,KP,92,240
POULSBO 406,KP,158,325
SEDGWICK 272,KP,112,331
BERRY LAKE 279,KP,91,170
POULSBO 403,KP,94,261
EBBERT 247,KP,112,343
ILLAHEE 065,KP,131,328
COTTONWOOD 125,KP,107,244
MARION 090,KP,27,47
OLYMPIC 099,KP,14,32
KITSAP LAKE 085(*),KP,0,0
GILBERTON 140,KP,91,235
STRIEBEL 453,KP,114,285
AZALEA 302,KP,117,363
YUKON 241,KP,75,230
FOREST RIDGE 126,KP,61,177
FAIRVIEW 135,KP,58,190
ANDERSON CREEK 163,KP,85,243
PORT GAMBLE 450,KP,100,306
RAINIER 067,KP,112,320
BRASCH 213,KP,128,304
GAMBLEWOOD 454,KP,84,199
CENTRAL VALLEY 128,KP,139,322
HOLLY 158,KP,33,81
BURLEY 218,KP,116,308
LUOTO 122,KP,63,164
POINT JEFFERSON 419,KP,100,219
BREMERTON 296,KP,0,0
MORKEN 161,KP,158,364
INDIANOLA 420,KP,165,371
TWIN LAKES 285,KP,28,75
BELFAIR VALLEY 280,KP,36,106
KARIOTIS 143,KP,126,286
TRACYTON 170,KP,81,212
ROCKY POINT 083,KP,156,345
HERITAGE PARK 112,KP,84,208
BREMERTON 294,KP,0,0
ORCA 421,KP,78,207
MINTERBROOK 216,KP,56,153
ALASKA 221,KP,159,320
GLENWOOD 232,KP,126,386
MEADOWMEER 321,KP,38,134
APEX 162,KP,129,330
OLALLA 265,KP,96,206
WINSTON 129,KP,58,111
RIDGETOP 149,KP,79,228
EAGLE CREST 164,KP,136,330
LOCKER 246,KP,142,369
BROWNSVILLE 105,KP,125,413
KINGSTON 430,KP,189,412
VENA 173,KP,110,247
CEDAR 211,KP,97,264
BREMERTON 041,KP,82,221
BREMERTON 040,KP,90,245
POULSBO 401,KP,179,355
BREMERTON 046,KP,108,232
CAMBRIDGE 144,KP,91,171
BREMERTON 056,KP,99,229
TWIN SPITS 417,KP,112,349
BIG VALLEY 441,KP,82,229
CHARLAND 110,KP,77,223
SKIFF POINT 328,KP,86,271
LOST HIGHWAY 157,KP,128,300
TRIDENT 101,KP,29,57
WILSON CREEK 242,KP,90,268
SYLVAN 066,KP,136,258
PORT ORCHARD 201,KP,105,226
EVERGREEN 257,KP,152,397
FERNWOOD 230,KP,117,363
MANCHESTER 255,KP,94,235
SUNNYSLOPE 281,KP,114,227
LOFALL 442,KP,146,409
BLAKELY 310,KP,90,272
PORT ORCHARD 207,KP,121,241
WOODMERE 127,KP,146,319
BREMERTON 058,KP,103,247
UELAND 082,KP,0,0
WATERMAN 295,KP,75,197
BREMERTON 054,KP,79,149
PIONEER 152,KP,130,376
SILVERDALE 160,KP,142,265
BREMERTON 051,KP,11,27
BREMERTON 052,KP,68,178
BREMERTON 053,KP,142,332
SEABECK 155,KP,146,408
PARKWOOD 270,KP,148,304
ISLAND LAKE 427,KP,107,272
BREMERTON 109,KP,7,25
BREIDABLIK 410,KP,99,303
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,121,315
FRAGARIA 259,KP,109,251
LOVGREN 332,KP,41,201
BANDIX 263,KP,103,346
FORT WARD 318,KP,106,334
FUSON 175,KP,114,251
HARPER 240,KP,90,277
WILLOCK 258,KP,101,248
LIBERTY 325,KP,93,269
PORT ORCHARD 203,KP,77,123
SPRING CREEK 217,KP,72,212
MULLENIX 260,KP,132,340
LARSON 153,KP,113,376
FINCH 314,KP,78,226
ROLLING BAY 330,KP,104,313
BREMERTON 029,KP,83,227
TOTTEN 463,KP,103,229
WOODRIDGE 222,KP,69,163
MANZANITA 336,KP,63,224
OLD FRONTIER 106,KP,159,319
BREMERTON 022,KP,76,182
NEBRASKA 223,KP,113,270
EAGLE HARBOR 317,KP,79,229
NEW BROOKLYN 322,KP,77,198
TOLO 333,KP,92,280
FERNCLIFF 315,KP,148,437
S&#39;KLALLAM 418,KP,11,26
PORT ORCHARD 202,KP,130,301
NAVY YARD CITY 095,KP,126,242
PORT ORCHARD 200,KP,73,131
SANTA FE 148,KP,109,230
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,88,177
PORT ORCHARD 204,KP,104,221
PORT ORCHARD 205,KP,198,597
HUNTER 219,KP,97,233
CONIFER 271,KP,71,157
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,117,347
SCANDIA 455,KP,99,293
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,68,241
ALPINE 111,KP,82,246
LUNDBERG 250,KP,128,279
POINT NO POINT 416,KP,208,390
VINLAND 412,KP,117,347
LINCOLN 440,KP,100,256
BREMERTON 032,KP,16,40
OVERLOOK 267,KP,84,236
BREMERTON 030,KP,78,242
BREMERTON 031,KP,52,121
BREMERTON 037,KP,111,380
