Row Label,County,Deanna C. Walter
210,CH,211
1149,CH,26
133,CH,224
132,CH,24
131,CH,35
136,CH,4
135,CH,359
134,CH,365
490,CH,580
540,CH,335
163,CH,19
1151,CH,2
1150,CH,6
710,CH,239
120,CH,191
121,CH,178
122,CH,102
123,CH,24
124,CH,41
125,CH,360
126,CH,47
127,CH,75
128,CH,39
129,CH,134
410,CH,292
530,CH,416
590,CH,340
310,CH,142
190,CH,28
115,CH,22
114,CH,248
116,CH,90
111,CH,59
110,CH,190
113,CH,36
112,CH,17
520,CH,566
420,CH,310
580,CH,260
440,CH,463
100,CH,6
510,CH,212
430,CH,410
450,CH,388
330,CH,241
175,CH,424
174,CH,245
173,CH,14
172,CH,11
171,CH,10
730,CH,383
182,CH,269
183,CH,153
181,CH,314
560,CH,358
460,CH,359
164,CH,134
165,CH,83
161,CH,27
162,CH,23
220,CH,257
720,CH,348
151,CH,3
150,CH,36
153,CH,483
152,CH,3
155,CH,146
154,CH,422
157,CH,348
156,CH,43
159,CH,8
158,CH,159
320,CH,216
146,CH,66
147,CH,359
144,CH,19
145,CH,18
142,CH,28
143,CH,3
140,CH,104
141,CH,8
610,CH,255
148,CH,149
149,CH,167
480,CH,383
Total,CH,15194
