Row Label,County,Brian Dansel,Tony Booth
MILL CREEK,ST,113,55
KETTLE FALLS 1,ST,267,71
COLUMBIA,ST,336,156
ARDEN 1,ST,258,75
COLVILLE 1,ST,106,32
COLVILLE 2,ST,147,42
DAISY,ST,145,38
COLVILLE 4,ST,305,97
COLVILLE 5,ST,250,87
COLVILLE 6,ST,163,43
COLVILLE 7,ST,163,52
COLVILLE VALLEY,ST,476,139
STONE LODGE,ST,227,107
ECHO VALLEY,ST,171,46
LOON LAKE 2,ST,149,91
NARCISSE,ST,350,122
LOON LAKE 1,ST,303,136
COLVILLE 3,ST,145,50
CAMAS PRAIRIE,ST,136,69
EVANS,ST,177,52
SPRINGDALE,ST,33,30
MEYERS FALLS 2,ST,379,116
NORTHPORT,ST,70,32
SUMMIT,ST,164,94
KELLY HILL,ST,85,29
CLAYTON 2,ST,268,118
CLAYTON 1,ST,162,69
ARDEN 2,ST,285,91
MEYERS FALLS 1,ST,246,66
WAITTS LAKE,ST,226,121
WELLPINIT,ST,73,59
CHEWELAH 3,ST,135,74
HUNTERS,ST,232,136
ONION CREEK,ST,92,42
CHEWELAH 2,ST,99,38
CHEWELAH 1,ST,184,79
ECHO,ST,302,96
QUARTZITE 1,ST,377,167
QUARTZITE 2,ST,200,81
TUM TUM 5,ST,211,106
TUM TUM 4,ST,195,88
ROCK CUT,ST,59,27
TUM TUM 1,ST,152,57
TUM TUM 3,ST,330,134
TUM TUM 2,ST,300,99
MARCUS,ST,40,26
Total,ST,11381,4483
FIRST THOUGHT,ST,43,17
WALKERS PRAIRIE,ST,134,108
CAMAS,ST,223,110
ADDY,ST,284,115
WILLIAMS VALLEY,ST,302,136
ORIN 1,ST,215,56
ORIN 2,ST,257,90
KETTLE FALLS 2,ST,165,43
CHEWELAH FORE,ST,119,42
RICE,ST,164,39
VALLEY 1,ST,36,22
VALLEY 2,ST,153,70
