Row Label,County,David A. Svaren
VAN FLEET,SK,232
GEAR,SK,280
BIRDSVIEW,SK,295
BURLINGTON 7,SK,159
BOW,SK,372
ROCKPORT,SK,220
ROSARIO,SK,346
MOUNT VERNON 16,SK,334
EDISON,SK,162
MOUNT VERNON 14,SK,375
MOUNT VERNON 12,SK,129
RIDGEWAY,SK,194
MOUNT VERNON 10,SK,163
SAMISH,SK,187
MOUNT VERNON 19,SK,319
BAY VIEW,SK,231
BURLINGTON 2,SK,160
STARBIRD,SK,210
BURLINGTON 1,SK,135
BURLINGTON 6,SK,151
TERRACE,SK,481
BURLINGTON 4,SK,229
BURLINGTON 5,SK,279
MANSFORD,SK,37
MAPES,SK,105
FIR,SK,114
LYMAN,SK,61
GAGES,SK,78
NOOKACHAMPS,SK,157
SAUK,SK,283
VEDERE,SK,221
HAMILTON,SK,39
VIEW TERRACE,SK,1
POINT WILLIAMS,SK,209
SKYRIDGE,SK,227
CONCRETE,SK,102
ALDER,SK,142
CLEAR LAKE,SK,251
FRUITDALE,SK,129
SWINOMISH,SK,309
SEDRO WOOLLEY  6,SK,278
MINKLER,SK,166
ANACORTES 20,SK,410
TINGLEY,SK,142
ANACORTES 22,SK,375
ANACORTES 24,SK,501
BIG LAKE,SK,337
ANACORTES 5,SK,10
COLLINS,SK,157
AVON,SK,268
MARCH POINT,SK,22
MOUNT VERNON 30,SK,331
FIDALGO,SK,306
MOUNT VERNON  4,SK,392
MOUNT VERNON  5,SK,77
MOUNT VERNON  6,SK,204
MOUNT VERNON  7,SK,287
WHITNEY,SK,112
MOUNT VERNON  2,SK,129
MOUNT VERNON  3,SK,254
LAKE SIXTEEN,SK,135
MOUNT VERNON  8,SK,503
MOUNT VERNON  9,SK,134
DEWEY,SK,429
BELFAST,SK,149
MOUNT VERNON 15,SK,181
MCMURRAY EAST,SK,57
LAKE CAVANAUGH,SK,60
SHELTER BAY,SK,291
MOUNT VERNON 27,SK,97
MOUNT VERNON 22,SK,458
MOUNT VERNON 21,SK,458
LOOKOUT,SK,307
MOUNT VERNON 11,SK,250
ANACORTES  9,SK,265
COUNTRY CLUB,SK,117
ANACORTES 21,SK,508
MOUNT VERNON  1,SK,109
SEDRO WOOLLEY  2,SK,299
SEDRO WOOLLEY  3,SK,224
SEDRO WOOLLEY  1,SK,266
MCMURRAY WEST,SK,129
SEDRO WOOLLEY  7,SK,6
SEDRO WOOLLEY  4,SK,277
SEDRO WOOLLEY  5,SK,363
MCRAE,SK,383
ANACORTES  6,SK,223
ANACORTES  7,SK,492
ANACORTES  4,SK,205
ANACORTES  1,SK,223
SNEE OOSH,SK,212
MONTBORNE,SK,365
STERLING,SK,86
FREDONIA,SK,59
CASCADE,SK,47
DIGBY,SK,25
HARMONY,SK,156
PADILLA,SK,58
DUNBAR,SK,52
LA CONNER,SK,261
CEDARDALE,SK,95
BURLINGTON 3,SK,79
PRAIRIE,SK,269
RIVERBEND,SK,13
HAMBURG,SK,132
ANACORTES 11,SK,385
ALLEN,SK,109
ANACORTES 17,SK,466
CONWAY,SK,110
LITTLE MOUNTAIN,SK,114
GUEMES,SK,216
ALGER,SK,174
BLANCHARD,SK,251
DODGE VALLEY,SK,132
Total,SK,24330
