Row Label,County,Suzan DelBene,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Pedro Celis
RED 48-2467,KI,154,398,6,215,0,0,55
MED 48-0749,KI,165,485,12,285,0,0,108
KIR 01-2767,KI,220,573,20,359,0,1,118
KIR 45-2421,KI,149,515,7,274,0,0,118
KIR 01-2762,KI,193,618,9,308,0,1,105
RED 48-2466,KI,299,749,24,460,0,3,134
MABEL,KI,89,331,5,212,0,0,118
KIR 01-2768,KI,234,624,21,383,0,1,127
YPT 48-1234,KI,138,411,10,250,0,0,102
CAR 05-3290,KI,165,515,23,309,0,1,120
KMR 46-0820,KI,145,365,8,212,0,1,58
RED 48-0950,KI,140,444,7,214,0,3,64
RED 48-0953,KI,257,758,15,418,1,0,145
KMR 46-2771,KI,242,699,17,412,0,1,152
DUV 45-3218,KI,244,840,13,454,0,0,197
DUV 45-3219,KI,157,548,7,298,0,1,133
PROVAN,KI,184,551,9,340,0,0,147
TOLT,KI,97,317,9,188,0,1,81
KIR 48-2921,KI,146,418,5,231,0,2,78
KIR 48-2920,KI,123,381,7,189,0,0,59
KIR 48-2922,KI,147,504,10,242,0,0,85
KIR 48-2731,KI,152,483,6,233,0,0,75
MILLIKIN,KI,232,650,19,422,0,2,169
RED 48-0945,KI,141,453,8,245,0,0,96
DUV 45-2959,KI,135,514,10,267,0,0,122
KIR 45-3646,KI,69,276,3,101,0,0,29
KMR 46-3594,KI,80,322,2,155,0,0,73
STEED,KI,233,759,17,501,0,1,250
KIR 01-2678,KI,256,695,7,375,0,0,112
KIR 48-0638,KI,136,551,12,281,0,2,131
KIR 45-2489,KI,185,559,10,295,0,0,100
KIR 48-0636,KI,161,449,8,248,0,1,78
KMR 46-0501,KI,209,546,14,304,0,2,79
KIR 48-0633,KI,196,468,12,285,0,0,77
KIR 48-0614,KI,244,751,11,384,0,2,127
SHEFFIELD,KI,160,447,7,288,0,1,120
C-H 48-0323,KI,127,440,5,258,0,0,126
RED 48-0948,KI,79,246,2,124,0,1,42
RED 48-0949,KI,170,433,4,234,0,0,60
KIR 01-2457,KI,219,709,15,376,0,0,142
JAY,KI,140,492,14,280,0,0,126
KIR 48-3401,KI,196,632,15,342,0,1,130
MED 48-0751,KI,141,510,8,331,0,0,182
BOT 01-2495,KI,151,580,14,304,0,0,139
LAKE JOY,KI,245,845,30,478,0,1,202
BOT 01-0262,KI,208,779,17,367,0,0,142
RED 48-0947,KI,140,360,8,215,0,1,66
BOT 01-0260,KI,294,769,14,482,0,0,174
BOT 01-0261,KI,239,634,15,378,0,2,122
KMR 46-0535,KI,184,610,11,324,0,0,129
YPT 48-1233,KI,111,401,7,226,0,0,108
BACUS,KI,159,443,5,271,0,1,106
ELSIE,KI,246,726,19,393,0,0,128
WOD 45-2680,KI,231,627,16,384,0,0,137
WEBSTER,KI,142,430,8,282,0,0,132
WOD 45-3192,KI,108,352,7,211,0,0,96
MOUNT SI,KI,98,274,11,166,0,1,56
NAPOLEON,KI,164,505,10,324,0,2,148
KIR 01-0421,KI,292,724,22,468,0,2,152
C-H 48-0322,KI,62,252,9,159,0,0,88
C-H 48-0321,KI,95,356,7,216,0,1,113
KIR 01-0422,KI,204,612,19,309,0,1,85
C-H 48-0326,KI,73,268,3,161,0,0,85
C-H 48-0325,KI,124,446,9,276,0,1,142
C-H 48-0324,KI,151,434,10,265,0,1,103
ROSE,KI,159,409,9,280,0,0,112
KIR 01-2561,KI,208,649,15,340,0,0,117
RED 48-2969,KI,162,443,11,253,1,1,78
MERLOT,KI,180,527,10,349,0,0,159
WEEKS,KI,195,713,17,390,0,1,177
DIPPER,KI,197,675,14,346,0,1,134
KIR 48-0628,KI,236,664,7,356,0,1,112
KIR 48-0629,KI,248,587,9,344,0,3,84
COTTAGE LAKE,KI,119,452,4,228,0,0,105
BOT 01-3271,KI,144,431,9,229,0,0,76
KIR 45-1040,KI,266,783,11,433,0,0,156
KMR 46-0696,KI,310,728,12,455,0,0,133
DUV 45-3502,KI,95,398,11,243,0,0,137
KIR 45-0554,KI,129,451,6,200,0,1,64
RED 48-3391,KI,298,704,14,404,0,0,92
RED 48-0939,KI,145,457,11,255,0,0,99
KIR 01-0019,KI,248,752,21,433,0,0,164
KIR 45-0623,KI,135,378,9,229,0,0,85
KIR 45-0622,KI,163,390,6,214,0,0,45
RED 48-0935,KI,191,591,18,291,0,4,78
KIR 45-0620,KI,213,552,8,340,0,2,117
KIR 45-0627,KI,248,628,28,376,0,0,100
WOD 45-2769,KI,240,748,15,444,0,1,188
DOUGLAS,KI,176,568,18,337,0,1,142
KIR 45-0624,KI,303,793,8,501,0,1,189
KIR 48-2925,KI,171,498,11,284,0,0,102
HOLLYMORE,KI,196,525,13,337,0,2,126
KIR 45-2962,KI,130,453,7,208,0,1,70
DUV 45-3642,KI,133,443,12,249,0,0,104
MEANDER,KI,156,581,13,340,0,0,171
DUV 45-3481,KI,197,692,5,400,0,0,198
KMR 46-0572,KI,247,629,9,356,0,1,99
ISABELLA,KI,250,660,11,409,0,0,148
BOT 01-2677,KI,117,344,10,204,0,0,77
BOT 01-2676,KI,248,825,16,391,0,1,126
KIR 01-3422,KI,153,546,15,266,0,0,98
TWIN PEAKS,KI,221,700,21,401,1,1,157
MOUNT CLARE,KI,198,571,11,348,0,2,137
TRILLIUM,KI,238,799,13,476,0,0,225
RED 48-3664,KI,182,594,12,243,0,0,49
RED 48-0951,KI,149,379,6,223,0,0,68
KIR 48-3439,KI,204,531,15,324,0,0,105
KIR 01-2759,KI,234,695,10,359,0,1,114
KMR 46-0689,KI,230,550,11,347,0,3,103
MARYMOOR,KI,0,0,0,0,0,0,0
KIR 48-0615,KI,214,542,12,307,0,1,80
HILL,KI,164,493,10,312,0,2,136
BIG BEND,KI,54,216,5,124,0,0,65
RED 48-2629,KI,195,648,10,295,0,2,88
RED 48-2628,KI,149,472,6,211,0,0,56
KIR 45-2786,KI,158,351,5,236,0,0,73
KIR 45-1019,KI,212,767,13,364,0,1,138
KMR 46-0686,KI,204,478,5,283,0,0,74
KIR 48-2788,KI,110,354,10,215,0,0,95
WOD 45-3530,KI,217,692,6,364,1,0,140
RED 48-2642,KI,82,263,3,117,0,1,31
RED 48-2641,KI,247,645,20,396,0,0,129
RED 48-2640,KI,144,356,10,208,0,0,54
RED 45-3547,KI,251,711,12,388,0,3,122
KIR 45-0630,KI,183,518,5,259,0,3,68
KIR 45-0631,KI,193,585,15,308,0,2,98
KIR 45-0632,KI,182,475,12,273,0,0,79
ELSOM,KI,187,586,11,353,0,1,154
FOX,KI,119,434,10,247,0,0,118
LAKE LEOTA,KI,188,562,12,313,0,0,113
RED 45-3315,KI,302,705,21,503,0,0,180
KIR 48-3337,KI,244,809,23,463,1,0,195
KIR 45-3668,KI,132,428,10,206,0,0,64
KIR 45-2760,KI,227,618,14,386,0,0,145
KIR 45-2761,KI,209,601,18,342,0,0,115
