Row Label,County,Mike Manus,Write-In: Mark Zorica
Usk,PE,125,54
Diamond Lk East,PE,58,46
Sacheen,PE,135,72
Diamond Lk,PE,220,104
Diamond Lk West,PE,90,73
Noble,PE,172,124
Furport,PE,144,76
Deer Valley South,PE,44,26
Cusick,PE,71,56
Ione East,PE,115,23
Kalispel Leclerc,PE,96,41
Tiger Dry Canyon,PE,200,70
Ruby,PE,20,3
Ione West,PE,129,52
Newport NE,PE,150,83
Metaline,PE,66,22
Newport SE,PE,58,55
Skookum,PE,35,21
Newport NW,PE,148,79
Newport SW,PE,87,87
Dalkena,PE,187,88
Deer Valley North,PE,135,77
Locke,PE,24,10
Fertile Valley South,PE,96,41
Fertile Valley North,PE,97,47
Camden,PE,103,48
Total,PE,2931,1510
Metaline Falls,PE,126,32
