Row Label,County,Elizabeth D. Stephenson,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
VASHON,KI,97,390,118,215,0,0
DOLPHIN,KI,91,275,90,183,0,2
FED 30-3372,KI,131,450,95,227,0,1
BUR 34-0377,KI,173,607,116,293,0,4
DES 33-2455,KI,121,579,52,175,0,2
FED 30-3012,KI,101,301,93,194,0,0
WESTWOOD,KI,0,0,0,0,0,0
BUR 34-0465,KI,71,228,61,132,0,0
BUR 34-1047,KI,195,744,157,355,0,3
DES 33-0016,KI,97,281,83,180,0,0
TROUT LAKE,KI,201,719,147,352,0,4
DES 33-1146,KI,159,591,132,299,0,8
BILOXI,KI,144,430,143,287,0,0
SEALTH,KI,114,378,115,229,0,0
DES 33-0362,KI,130,554,78,209,0,1
TUK 11-1165,KI,188,752,150,340,0,2
SET 33-3066,KI,101,491,77,179,0,1
SET 33-3076,KI,182,623,122,310,0,6
SET 33-3081,KI,162,738,106,269,0,1
DES 30-1227,KI,211,635,164,378,0,3
FED 30-3034,KI,83,359,86,171,0,2
BUR 33-0701,KI,188,722,103,291,0,0
FED 30-3036,KI,96,342,51,148,0,1
FED 30-3037,KI,131,359,58,191,0,2
FED 30-3030,KI,102,361,69,175,0,4
BUR 33-0705,KI,149,701,108,260,0,3
FED 30-3032,KI,83,267,48,131,0,0
FED 30-3033,KI,126,408,74,201,0,1
SET 33-3101,KI,139,366,85,228,0,4
FED 30-3238,KI,98,359,49,148,0,1
DES 33-1071,KI,104,390,77,181,0,0
FED 30-3038,KI,63,198,52,115,0,0
FED 30-3039,KI,123,331,58,186,0,5
FED 30-3237,KI,208,745,165,376,0,3
TUK 11-2951,KI,126,601,108,236,0,2
CHAUTAUQUA,KI,115,416,140,259,0,4
BUR 34-0344,KI,148,420,151,301,0,2
ROUNDTABLE,KI,121,602,91,212,0,0
TUK 11-2952,KI,77,294,49,126,0,0
BUR 34-1058,KI,166,493,149,315,0,0
BUR 34-1059,KI,187,614,130,321,0,4
BUR 34-1057,KI,214,660,208,423,0,1
BAKER,KI,184,599,162,347,0,1
FED 30-3055,KI,182,575,97,280,0,1
COVE,KI,162,545,187,350,0,1
BUR 34-0699,KI,273,823,213,489,0,3
BUR 34-1116,KI,121,387,68,192,0,3
FED 30-3085,KI,140,416,115,257,0,2
FED 30-3087,KI,151,508,103,259,0,5
FED 30-3086,KI,164,526,114,279,0,1
BURTON,KI,78,241,85,163,0,0
FED 30-3088,KI,157,538,104,263,0,2
DES 33-0532,KI,88,271,60,148,0,0
TUK 11-2751,KI,64,273,72,136,0,0
TUK 11-3499,KI,60,245,46,109,0,3
FED 30-3008,KI,107,365,55,163,0,1
SET 33-3618,KI,85,325,36,125,0,4
FED 30-3001,KI,228,622,128,357,0,1
FED 30-3000,KI,123,479,71,197,0,3
FED 30-3003,KI,158,563,111,270,0,1
FED 30-3002,KI,195,690,115,314,0,4
BUR 33-0289,KI,115,412,69,188,0,4
FED 30-3004,KI,116,442,70,188,0,2
FED 30-3007,KI,85,242,59,144,0,0
DOLLOFF,KI,119,412,103,223,0,1
TUK 11-2956,KI,71,460,41,112,0,0
FED 30-3574,KI,70,353,45,117,0,2
TUK 11-3393,KI,81,347,38,119,0,0
TUK 11-2949,KI,141,585,82,225,0,2
BERNICE,KI,176,601,63,240,0,1
STAR LAKE,KI,103,325,79,182,0,0
SHAWNEE,KI,125,426,163,291,0,3
BUR 34-1219,KI,175,530,168,345,0,2
SET 33-3069,KI,89,353,79,169,0,1
ILLAHEE,KI,130,328,92,222,0,0
DES 33-3131,KI,67,266,52,119,0,0
FED 30-3005,KI,122,298,79,201,0,0
SET 33-3065,KI,102,464,41,146,0,3
SET 33-3064,KI,104,468,62,167,0,1
SET 33-3063,KI,101,330,72,173,0,0
SET 33-3062,KI,99,316,56,155,0,0
SET 33-3061,KI,95,340,69,166,0,2
DES 30-0954,KI,246,745,168,415,0,1
BUR 34-1104,KI,95,325,90,186,0,1
FED 30-3097,KI,242,720,185,429,0,2
FED 30-3094,KI,166,595,106,277,0,5
FED 30-3095,KI,107,501,65,173,0,1
FED 30-3092,KI,135,631,73,213,0,5
FED 30-3093,KI,140,612,80,221,0,1
FED 30-3090,KI,105,356,91,198,0,2
FED 30-3091,KI,242,552,146,388,0,0
FED 30-3006,KI,139,466,66,207,0,2
FED 30-3098,KI,137,528,113,252,0,2
NPK 33-0853,KI,126,338,117,243,0,0
DES 33-1128,KI,95,289,78,174,0,1
BUR 33-0805,KI,186,591,82,270,0,2
BUR 33-0729,KI,196,864,120,320,2,2
EXCALIBUR,KI,124,403,99,226,0,3
GENEVA,KI,111,408,105,218,0,2
FED 30-3018,KI,86,327,67,155,0,2
FED 30-3019,KI,105,427,124,231,0,2
FED 30-3017,KI,250,715,206,458,0,2
FED 30-3014,KI,149,461,127,277,0,1
BUR 34-0900,KI,116,391,78,194,0,0
BUR 33-1189,KI,171,639,111,283,0,1
FED 30-3013,KI,77,266,46,124,0,1
DENVER,KI,143,588,85,229,0,1
FED 30-3011,KI,82,343,56,138,0,0
TUK 11-1164,KI,173,660,137,312,0,2
PEGGY,KI,201,775,186,390,0,3
TUK 11-1166,KI,88,443,73,165,0,4
TUK 11-1167,KI,1,6,3,4,0,0
THISTLE,KI,77,334,75,152,0,0
BUR 34-0295,KI,127,479,140,269,0,2
