Row Label,County,Bernard F. Veljacic,Robert Vukanovich
669,CR,253,157
668,CR,305,185
667,CR,234,115
664,CR,283,193
663,CR,173,146
662,CR,252,223
660,CR,279,191
130,CR,310,178
571,CR,238,186
490,CR,186,152
491,CR,28,8
626,CR,236,202
692,CR,259,236
693,CR,137,131
690,CR,288,187
691,CR,228,204
696,CR,315,230
697,CR,306,270
694,CR,85,84
695,CR,259,230
698,CR,250,182
699,CR,235,175
450,CR,344,219
540,CR,255,240
340,CR,265,187
400,CR,184,83
930,CR,250,196
452,CR,253,168
935,CR,249,223
570,CR,244,206
678,CR,207,145
679,CR,176,127
674,CR,248,155
675,CR,190,127
677,CR,247,199
670,CR,298,210
672,CR,225,166
455,CR,186,159
120,CR,335,217
914,CR,280,177
917,CR,153,143
528,CR,230,209
910,CR,226,201
537,CR,94,81
415,CR,205,138
535,CR,303,284
410,CR,293,232
913,CR,271,237
298,CR,172,113
530,CR,124,84
296,CR,180,139
370,CR,183,167
294,CR,163,129
912,CR,217,167
925,CR,223,166
290,CR,271,181
538,CR,110,111
591,CR,306,302
590,CR,316,266
593,CR,261,227
592,CR,314,255
595,CR,124,145
594,CR,11,7
597,CR,37,19
200,CR,289,200
598,CR,9,5
629,CR,224,196
700,CR,42,36
190,CR,280,215
985,CR,225,157
390,CR,316,216
110,CR,322,185
113,CR,135,112
112,CR,24,17
250,CR,329,208
536,CR,147,128
628,CR,287,208
524,CR,23,22
525,CR,146,161
527,CR,201,195
520,CR,125,139
521,CR,3,6
522,CR,93,73
523,CR,5,2
420,CR,261,196
423,CR,196,147
255,CR,272,187
425,CR,195,147
424,CR,299,228
360,CR,260,211
426,CR,349,248
586,CR,243,162
587,CR,217,175
449,CR,384,237
448,CR,336,229
582,CR,186,178
583,CR,183,179
580,CR,168,131
581,CR,99,131
441,CR,251,208
440,CR,249,199
447,CR,332,247
446,CR,251,177
445,CR,344,226
444,CR,360,231
245,CR,321,191
920,CR,209,171
108,CR,267,167
240,CR,345,225
102,CR,226,141
100,CR,315,189
615,CR,129,81
106,CR,268,160
649,CR,224,176
104,CR,334,148
903,CR,271,191
900,CR,236,179
905,CR,249,226
641,CR,102,80
640,CR,243,209
643,CR,233,191
642,CR,112,96
645,CR,322,228
644,CR,276,193
647,CR,184,135
646,CR,112,99
436,CR,140,123
510,CR,144,153
434,CR,200,117
435,CR,193,145
515,CR,311,217
430,CR,186,131
588,CR,143,123
579,CR,13,2
578,CR,24,22
627,CR,219,225
338,CR,221,209
625,CR,257,219
624,CR,56,52
335,CR,211,149
451,CR,285,172
337,CR,249,183
453,CR,264,165
577,CR,337,253
330,CR,269,203
456,CR,391,237
574,CR,17,5
600,CR,119,115
175,CR,174,153
257,CR,291,194
170,CR,207,163
543,CR,253,206
654,CR,181,141
656,CR,137,102
710,CR,111,95
180,CR,204,157
655,CR,222,204
652,CR,224,208
653,CR,222,171
650,CR,273,194
651,CR,189,150
505,CR,299,235
502,CR,210,194
503,CR,191,164
500,CR,291,216
659,CR,260,206
630,CR,194,169
631,CR,295,219
632,CR,126,117
633,CR,212,202
634,CR,227,164
635,CR,193,156
636,CR,186,188
560,CR,291,162
639,CR,236,159
545,CR,179,151
460,CR,388,259
566,CR,139,163
225,CR,411,235
160,CR,183,180
220,CR,212,138
964,CR,303,165
965,CR,250,191
966,CR,173,115
967,CR,165,127
960,CR,291,218
961,CR,51,34
962,CR,200,141
963,CR,205,148
968,CR,229,171
969,CR,137,120
658,CR,257,155
720,CR,188,169
947,CR,219,150
575(*),CR,0,0
605,CR,209,214
150,CR,178,118
153,CR,188,127
606,CR,42,46
395,CR,81,59
603,CR,139,142
555,CR,323,216
550,CR,294,234
553,CR,248,159
584,CR,229,182
681,CR,184,190
959,CR,18,3
958,CR,40,34
951,CR,234,167
950,CR,252,188
953,CR,120,78
576(*),CR,0,0
957,CR,49,48
638,CR,216,190
327,CR,295,206
585,CR,292,252
325,CR,210,151
620,CR,277,234
147,CR,241,148
618,CR,267,228
563,CR,280,234
613,CR,131,96
610,CR,350,274
617,CR,236,210
565,CR,223,155
511,CR,18,9
648,CR,209,139
487,CR,127,95
485,CR,189,153
673,CR,301,202
483,CR,393,249
573,CR,280,294
480,CR,359,263
686,CR,201,134
432,CR,182,154
940,CR,215,211
680,CR,221,155
470,CR,347,251
689,CR,249,232
688,CR,209,162
350,CR,219,169
685,CR,57,73
687,CR,214,216
Total,CR,53026,40447
572,CR,333,250
596(*),CR,0,0
683,CR,227,174
682,CR,226,176
