Row Label,County,Mary Yu
VAN FLEET,SK,228
GEAR,SK,272
BIRDSVIEW,SK,304
BURLINGTON 7,SK,151
BOW,SK,360
ROCKPORT,SK,242
ROSARIO,SK,378
MOUNT VERNON 16,SK,350
EDISON,SK,151
MOUNT VERNON 14,SK,384
MOUNT VERNON 12,SK,126
RIDGEWAY,SK,189
MOUNT VERNON 10,SK,161
SAMISH,SK,193
MOUNT VERNON 19,SK,308
BAY VIEW,SK,232
BURLINGTON 2,SK,150
STARBIRD,SK,207
BURLINGTON 1,SK,138
BURLINGTON 6,SK,145
TERRACE,SK,430
BURLINGTON 4,SK,224
BURLINGTON 5,SK,266
MANSFORD,SK,41
MAPES,SK,111
FIR,SK,114
LYMAN,SK,54
GAGES,SK,64
NOOKACHAMPS,SK,150
SAUK,SK,294
VEDERE,SK,188
HAMILTON,SK,41
VIEW TERRACE,SK,0
POINT WILLIAMS,SK,206
SKYRIDGE,SK,222
CONCRETE,SK,103
ALDER,SK,145
CLEAR LAKE,SK,265
FRUITDALE,SK,128
SWINOMISH,SK,318
SEDRO WOOLLEY  6,SK,280
MINKLER,SK,171
ANACORTES 20,SK,433
TINGLEY,SK,145
ANACORTES 22,SK,405
ANACORTES 24,SK,573
BIG LAKE,SK,318
ANACORTES 5,SK,9
COLLINS,SK,142
AVON,SK,246
MARCH POINT,SK,17
MOUNT VERNON 30,SK,330
FIDALGO,SK,320
MOUNT VERNON  4,SK,407
MOUNT VERNON  5,SK,79
MOUNT VERNON  6,SK,236
MOUNT VERNON  7,SK,293
WHITNEY,SK,113
MOUNT VERNON  2,SK,131
MOUNT VERNON  3,SK,259
LAKE SIXTEEN,SK,137
MOUNT VERNON  8,SK,496
MOUNT VERNON  9,SK,141
DEWEY,SK,453
BELFAST,SK,132
MOUNT VERNON 15,SK,188
MCMURRAY EAST,SK,51
LAKE CAVANAUGH,SK,64
SHELTER BAY,SK,310
MOUNT VERNON 27,SK,93
MOUNT VERNON 22,SK,443
MOUNT VERNON 21,SK,459
LOOKOUT,SK,312
MOUNT VERNON 11,SK,252
ANACORTES  9,SK,293
COUNTRY CLUB,SK,108
ANACORTES 21,SK,550
MOUNT VERNON  1,SK,115
SEDRO WOOLLEY  2,SK,290
SEDRO WOOLLEY  3,SK,221
SEDRO WOOLLEY  1,SK,269
MCMURRAY WEST,SK,139
SEDRO WOOLLEY  7,SK,7
SEDRO WOOLLEY  4,SK,279
SEDRO WOOLLEY  5,SK,368
MCRAE,SK,380
ANACORTES  6,SK,241
ANACORTES  7,SK,534
ANACORTES  4,SK,204
ANACORTES  1,SK,239
SNEE OOSH,SK,224
MONTBORNE,SK,363
STERLING,SK,77
FREDONIA,SK,56
CASCADE,SK,52
DIGBY,SK,24
HARMONY,SK,152
PADILLA,SK,55
DUNBAR,SK,48
LA CONNER,SK,283
CEDARDALE,SK,82
BURLINGTON 3,SK,77
PRAIRIE,SK,271
RIVERBEND,SK,16
HAMBURG,SK,129
ANACORTES 11,SK,398
ALLEN,SK,91
ANACORTES 17,SK,509
CONWAY,SK,107
LITTLE MOUNTAIN,SK,110
GUEMES,SK,254
ALGER,SK,177
BLANCHARD,SK,270
DODGE VALLEY,SK,134
Total,SK,24667
