Row Label,County,Yes,No
BELFAIR,MA,248,240
MILL CREEK,MA,326,377
HARSTINE,MA,381,408
DAYTON,MA,200,257
DOWNTOWN,MA,264,191
AIRPORT,MA,349,390
MATLOCK,MA,244,288
AGATE,MA,286,269
JOHN&#39;S PRAIRIE,MA,240,187
OLYMPIC VIEW,MA,372,275
ISABELLA,MA,147,204
CUSHMAN,MA,357,287
MASON LAKE,MA,221,279
SAND HILL,MA,298,293
KAMILCHE POINT,MA,163,151
HILLCREST,MA,203,171
EELLS,MA,104,111
BORDEAUX,MA,45,43
ANGLESIDE,MA,336,233
ARCADIA,MA,327,357
HOOD CANAL,MA,300,358
UNION,MA,432,471
LIMERICK,MA,430,366
FAWN LAKE,MA,327,333
TIGER LAKE,MA,161,161
PICKERING,MA,237,299
CALLANAN,MA,13,10
KAMILCHE,MA,110,138
VICTOR,MA,207,239
TWANOH,MA,196,170
OAKLAND BAY,MA,224,247
TAHUYA,MA,261,312
ALLYN,MA,476,544
DEWATTO,MA,268,377
TIMBERLAKE,MA,336,337
GRAPEVIEW,MA,318,394
FAIR HARBOR,MA,242,200
TRAIL&#39;S END,MA,298,333
SKOKOMISH,MA,86,28
Total,MA,10033,10328
