Row Label,County,Wade W. Magers
HARRINGTON IN,LI,134
LONG LAKE,LI,61
S REARDAN RURAL,LI,46
DAVENPORT RURAL,LI,77
IRBY,LI,23
KELLER,LI,62
LAMONA,LI,24
HAWK CREEK,LI,57
EDWALL,LI,63
MOHLER,LI,45
EGYPT,LI,104
WEST LARENE,LI,33
SPRAGUE RURAL,LI,98
WHEATLAND,LI,76
EAST LARENE,LI,81
GRAVELLE,LI,36
GRAND COULEE,LI,31
REARDAN IN,LI,185
PEACH,LI,114
ALMIRA RURAL,LI,33
N REARDAN RURAL,LI,33
HARR RURAL,LI,55
GOVAN,LI,20
LAKEVIEW,LI,107
ODESSA IN,LI,298
SPRAGUE IN,LI,101
RIVERVIEW,LI,126
ENOS,LI,9
LAYTON,LI,19
CANBY,LI,33
EARL,LI,32
WILBUR RURAL,LI,81
WAUKON,LI,41
WILBUR IN,LI,318
DOWNS,LI,21
SHERMAN,LI,61
MONDOVI,LI,69
ALMIRA IN,LI,87
SPRING CREEK,LI,66
SEVEN BAYS,LI,62
CRESTON RURAL,LI,45
CRESTON IN,LI,77
ODESSA RURAL,LI,84
WILSON CREEK,LI,31
Total,LI,3774
DAVENPORT IN,LI,501
BLUESTEM,LI,14
