Row Label,County,Kathy A Brack
Salzer,LE,121
Napavine #2,LE,0
Napavine #3,LE,3
Packwood,LE,73
Napavine #5,LE,0
Napavine #6,LE,0
Napavine #1,LE,369
Union,LE,204
Paradise,LE,37
Napavine #4,LE,0
Urquhart,LE,167
Mossyrock,LE,112
Independence,LE,56
Sommerville,LE,49
Stillwater West,LE,141
Veness,LE,279
Greenwood,LE,11
Stearns Creek,LE,104
Elk Crk,LE,91
Stillwater East,LE,81
Agate,LE,137
Skookumchuck,LE,270
Silver Creek,LE,265
Meskill,LE,54
Onalaska,LE,525
Jackson,LE,347
Toledo,LE,143
Mauermann,LE,63
Chehalis #9,LE,12
Chehalis #8,LE,198
Harmony,LE,273
Chehalis #1,LE,202
Chehalis #3,LE,156
Chehalis #2,LE,146
Chehalis #5,LE,134
Chehalis #4,LE,142
Chehalis #7,LE,47
Chehalis #6,LE,277
Centralia #2,LE,311
Centralia #3,LE,119
Centralia #1,LE,121
Centralia #6,LE,235
Centralia #7,LE,121
Centralia #4,LE,180
Centralia #5,LE,128
Centralia #8,LE,139
Centralia #9,LE,304
Mineral,LE,144
Salkum,LE,233
Randle West,LE,190
Ethel,LE,352
Fair,LE,0
Crego,LE,622
Parcuvia,LE,218
Evaline West,LE,147
Pe Ell,LE,151
Newaukum,LE,243
Forest,LE,301
Dryad,LE,91
Temple,LE,216
Cowlitz,LE,457
Drews Prairie,LE,143
Seminary Hill,LE,139
Klickitat,LE,161
Verndale,LE,246
Cinebar,LE,235
Whealdon,LE,204
Roswell,LE,7
Sears,LE,205
Emery North,LE,2
Adna ,LE,461
Big Bottom,LE,288
Fords Prairie,LE,317
Jackson North,LE,0
Boistfort,LE,103
Claquato,LE,267
Curtis,LE,110
Vader,LE,109
Logan,LE,268
Alpha,LE,363
Berwick,LE,413
Evaline East,LE,95
Lincoln Creek,LE,222
Randle East,LE,239
Salmon Creek,LE,469
Emery,LE,158
Winlock,LE,214
Prescott,LE,529
Total,LE,17654
Kelly,LE,0
Mellen,LE,1
Centralia #10,LE,123
Centralia #11,LE,297
Centralia #12,LE,368
Centralia #13,LE,373
Morton,LE,213
