Row Label,County,Ketu Shah,Registered Voters,Sarah Hayne,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,111,416,102,68,281,0,0
RIVERBEND,KI,65,762,167,110,345,0,3
N-B 05-2683,KI,91,706,147,107,351,0,6
PROVAN,KI,90,551,132,118,340,0,0
TWIN PEAKS,KI,106,700,168,125,401,1,1
BEL 48-1023,KI,95,322,62,49,206,0,0
KIR 48-2731,KI,72,483,76,83,233,0,2
SAM 45-3293,KI,117,661,133,131,382,0,1
SAM 41-0816,KI,120,687,144,120,385,0,1
SAM 45-3298,KI,106,523,101,89,297,0,1
BEL 41-0211,KI,112,373,60,57,229,0,0
BEL 41-0210,KI,79,367,59,48,186,0,0
KIR 01-2678,KI,132,695,139,103,375,0,1
BEL 41-0219,KI,95,623,106,61,264,0,2
SAM 41-2973,KI,164,723,134,136,434,0,0
KIR 01-2923,KI,102,642,116,90,311,0,3
MED 48-0750,KI,163,661,102,124,389,0,0
MED 48-0751,KI,130,510,106,95,331,0,0
BEL 48-2559,KI,102,431,88,68,259,0,1
RED 48-3208,KI,39,415,69,48,156,0,0
SAM 45-2575,KI,202,770,167,125,496,0,2
WINTERGREEN,KI,55,279,56,49,161,0,1
WOD 45-2680,KI,163,627,123,96,384,1,1
ISS 05-0550,KI,50,300,61,57,172,0,4
KIR 45-2730,KI,95,686,118,84,298,0,1
GRAFF,KI,19,105,24,21,64,0,0
RED 48-3664,KI,94,594,69,80,243,0,0
BEL 41-2782,KI,35,183,28,17,81,0,1
KIR 48-2788,KI,86,354,60,68,215,0,1
KIR 48-2922,KI,64,504,92,86,242,0,0
KIR 45-0554,KI,71,451,73,55,200,0,1
NEW 41-3578,KI,43,396,65,47,156,0,1
KIR 45-2679,KI,127,614,151,101,379,0,0
ISS 05-2461,KI,118,572,146,99,364,0,1
N-B 05-0858,KI,48,469,87,85,222,0,2
RED 48-2640,KI,83,356,63,62,208,0,0
SEAN,KI,74,690,162,131,367,0,0
HOLLYMORE,KI,125,525,120,92,337,0,0
KIR 45-2471,KI,171,720,168,112,453,0,2
ISABELLA,KI,143,660,159,106,409,0,1
KIR 01-3422,KI,103,546,83,80,266,0,0
MOUNT CLARE,KI,145,571,111,91,348,0,1
ALDARRA,KI,132,711,149,153,434,0,0
EDGEHILL,KI,15,67,15,14,44,0,0
BIG BEND,KI,32,216,47,45,124,0,0
BEL 48-2412,KI,65,308,61,42,168,0,0
RED 48-2628,KI,72,472,62,77,211,0,0
KIR 45-2786,KI,104,351,62,69,236,0,1
TIGER MTN,KI,166,742,140,137,447,3,1
SHANGRI-LA,KI,88,394,88,54,233,0,3
RED 45-3315,KI,231,705,141,130,503,0,1
BEL 48-2778,KI,75,243,39,34,148,0,0
BEL 48-2773,KI,55,287,43,44,142,0,0
BEL 48-2772,KI,90,345,58,56,205,0,1
BEL 48-2777,KI,23,229,48,18,89,0,0
BEL 48-2776,KI,107,495,100,66,274,1,0
BEL 48-2775,KI,120,478,70,72,264,0,2
BEL 48-2774,KI,51,434,85,50,186,0,0
BEL 41-3671,KI,76,337,42,46,164,0,0
COUNTRYSIDE,KI,77,667,116,87,280,0,0
SAM 41-3384,KI,110,764,157,123,391,0,1
SAM 41-3385,KI,124,616,109,95,328,0,0
M-I 41-0756,KI,185,738,110,106,402,0,1
SNQ 05-3511,KI,119,860,184,173,477,0,1
M-I 41-0757,KI,115,403,49,66,231,0,1
KIR 45-3198,KI,48,492,76,56,182,0,2
KIR 45-3199,KI,115,416,64,62,241,0,0
BEL 41-3695,KI,81,390,46,54,183,0,2
ISS 05-3634,KI,67,422,47,76,190,0,0
BOT 01-1207,KI,103,553,90,89,282,0,0
HOLLYWOOD,KI,139,538,92,128,359,0,0
BEL 41-3593,KI,65,534,69,48,182,0,0
CAR 05-0290,KI,68,512,112,96,276,0,0
M-I 41-0759,KI,111,379,49,51,211,0,0
BEL 48-0188,KI,85,472,68,90,244,0,1
BEL 48-0189,KI,88,523,63,81,232,0,0
BEL 48-0186,KI,64,277,48,53,165,0,0
BROOKSIDE,KI,137,548,105,103,345,0,0
RING HILL,KI,159,757,183,145,488,0,1
ISS 41-2733,KI,178,843,148,133,462,0,3
KIR 45-3109,KI,93,469,76,61,230,0,0
BEL 41-3608,KI,145,714,113,91,349,0,0
KIR 45-3450,KI,44,251,31,50,125,0,0
SAM 41-2690,KI,115,526,76,80,271,0,0
RIDGE,KI,160,669,128,100,393,0,5
KINGLET,KI,68,532,83,76,227,0,0
SAM 45-3454,KI,46,233,41,29,116,0,0
KIR 01-3678,KI,73,349,59,61,193,0,0
WOD 45-3270,KI,103,612,120,75,298,0,0
ISS 05-3527,KI,90,587,92,66,249,0,1
BOT 01-3661,KI,78,528,111,55,245,0,1
BEL 41-1235,KI,71,334,52,57,180,0,0
N-B 05-0859,KI,93,487,97,101,291,0,0
BEL 41-0733,KI,99,718,117,99,315,0,0
GOLDFINCH,KI,67,281,46,52,165,0,0
KIR 45-3200,KI,69,455,80,60,209,0,0
BOT 01-0868,KI,102,650,112,78,292,0,0
SPRINKLE,KI,31,107,20,15,66,0,0
KIR 01-2918,KI,113,667,124,83,321,0,1
HUNTER,KI,124,811,144,120,389,0,1
RED 48-0948,KI,56,246,43,24,124,0,1
SNQ 05-3409,KI,108,787,176,114,399,0,1
SAM 41-1130,KI,94,651,89,100,283,0,0
RED 48-2967,KI,133,821,139,100,373,0,1
WEEKS,KI,147,713,130,113,390,0,0
SNQ 05-3645,KI,0,0,0,0,0,0,0
BROOKTRAILS,KI,123,564,120,103,347,0,1
N-B 05-3611,KI,80,664,122,111,316,0,3
KIR 48-3401,KI,121,632,110,110,342,0,1
COUGAR MTN,KI,6,8,1,1,8,0,0
BEL 48-0160,KI,46,268,53,30,130,0,1
QUAIL,KI,36,235,41,51,131,0,3
SALISH,KI,162,674,139,116,418,0,1
MED 48-0752,KI,121,527,77,112,311,0,1
KIR 01-0019,KI,156,752,164,112,433,0,1
SAM 41-2813,KI,118,567,102,116,337,0,1
WOD 45-1205,KI,115,507,141,84,340,0,0
BOT 01-2865,KI,68,356,84,53,205,0,0
RED 45-3584,KI,116,449,72,71,259,0,0
RED 48-3475,KI,71,356,88,50,210,0,1
RED 48-0944,KI,64,375,82,67,217,0,4
BRIDLE TRAILS,KI,0,0,0,0,0,0,0
KIR 45-2722,KI,100,626,105,90,296,0,1
RED 48-0945,KI,65,453,108,71,245,0,1
YPT 48-1233,KI,97,401,68,61,226,0,0
BEL 48-0207,KI,67,327,69,50,186,0,0
ALDER SPRINGS,KI,106,550,116,126,349,0,1
BEL 48-0201,KI,136,512,82,75,293,0,0
M-I 41-2809,KI,90,240,29,33,152,0,0
SAM 41-0100,KI,131,667,126,105,362,0,0
SAM 41-3638,KI,121,717,124,100,346,0,1
KIR 01-2767,KI,124,573,116,118,359,0,1
KIR 01-2762,KI,115,618,116,75,308,0,2
KIR 01-2768,KI,156,624,115,111,383,0,1
SAM 45-2564,KI,164,749,133,118,418,0,3
CHALLENGER,KI,59,293,57,69,185,0,0
BEL 48-0149,KI,91,416,87,55,234,0,1
RED 48-0951,KI,75,379,74,74,223,0,0
RED 48-0950,KI,79,444,75,60,214,0,0
RED 48-0953,KI,129,758,181,107,418,0,1
RED 48-0952,KI,54,311,62,44,160,0,0
BEL 48-0142,KI,62,299,62,34,159,0,1
BEL 48-0143,KI,54,291,61,37,152,0,0
BEL 48-0140,KI,93,425,93,47,234,0,1
BEL 48-0146,KI,58,298,65,50,173,0,0
BEL 48-0147,KI,74,444,75,57,207,0,1
BEL 48-0144,KI,48,320,69,51,169,0,1
BEL 48-0145,KI,74,274,35,28,137,0,0
BEL 41-0116,KI,45,290,38,28,111,0,0
BEL 41-0117,KI,48,263,49,43,140,0,0
BEL 41-0114,KI,115,459,86,91,292,0,0
BEL 41-0112,KI,124,712,134,100,358,0,0
BEL 41-0113,KI,57,255,48,53,158,0,0
BEL 41-0110,KI,105,571,85,67,257,0,0
BEL 41-0111,KI,117,544,140,72,330,0,1
BEL 41-3312,KI,199,796,148,142,489,0,0
BEL 41-0119,KI,96,295,39,62,197,0,0
WELCOME LAKE,KI,217,735,233,126,578,0,2
ISS 05-2806,KI,97,399,74,72,243,0,0
KIR 48-0638,KI,88,551,72,121,281,0,0
KIR 48-0636,KI,101,449,72,75,248,0,0
BEL 41-2484,KI,87,404,63,49,199,0,0
KIR 48-0633,KI,114,468,83,88,285,0,0
SAM 45-3412,KI,127,738,163,116,406,0,0
ISS 41-2401,KI,115,657,96,130,342,0,1
JAY,KI,75,492,104,100,280,0,1
BOT 01-0262,KI,138,779,124,103,367,0,2
ISS 41-2409,KI,313,1074,324,191,829,0,1
BOT 01-0260,KI,169,769,187,125,482,0,1
BOT 01-0261,KI,146,634,134,98,378,0,0
KIR 45-2917,KI,82,603,93,76,254,0,3
ELSIE,KI,149,726,138,105,393,0,1
BARCLAY,KI,62,295,61,39,162,0,0
C-H 48-0323,KI,110,440,84,64,258,0,0
C-H 48-0322,KI,61,252,52,46,159,0,0
C-H 48-0321,KI,95,356,50,71,216,0,0
KIR 01-0422,KI,77,612,133,97,309,0,2
C-H 48-0326,KI,76,268,38,47,161,0,0
C-H 48-0325,KI,116,446,65,94,276,0,1
C-H 48-0324,KI,115,434,60,89,265,0,1
BEL 41-0203,KI,148,688,153,108,410,0,1
BEL 41-0206,KI,122,729,126,94,344,0,2
BEL 41-0205,KI,66,288,62,43,171,0,0
DIPPER,KI,111,675,127,106,346,0,2
BOT 01-3271,KI,83,431,84,61,229,0,1
DUV 45-0389,KI,118,817,167,129,414,0,0
NEW 41-3261,KI,88,503,115,63,267,0,1
BEL 41-2386,KI,60,279,71,38,169,0,0
SKY 39-1091,KI,18,130,27,29,74,0,0
TWO RIVERS,KI,116,779,189,159,465,0,1
WOD 45-2769,KI,140,748,142,161,444,0,1
SALAL,KI,74,359,73,78,225,0,0
MEANDER,KI,117,581,115,108,340,0,0
BEL 48-1049,KI,74,344,73,68,215,0,0
BOT 01-2677,KI,82,344,64,58,204,0,0
BOT 01-2676,KI,113,825,172,106,391,0,0
PRESTON,KI,118,661,158,106,383,0,1
ISS 05-3552,KI,113,742,93,101,308,0,1
