Row Label,County,Michael Finkle,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,153,416,128,281,0,0
RIVERBEND,KI,170,762,172,345,0,3
N-B 05-2683,KI,186,706,155,351,0,10
PROVAN,KI,167,551,172,340,0,1
TWIN PEAKS,KI,186,700,213,401,0,2
BEL 48-1023,KI,100,322,104,206,0,2
KIR 48-2731,KI,115,483,117,233,0,1
SAM 45-3293,KI,183,661,197,382,0,2
SAM 41-0816,KI,184,687,198,385,0,3
SAM 45-3298,KI,166,523,130,297,0,1
BEL 41-0211,KI,116,373,108,229,0,5
BEL 41-0210,KI,86,367,99,186,0,1
KIR 01-2678,KI,213,695,159,375,0,3
BEL 41-0219,KI,147,623,116,264,0,1
SAM 41-2973,KI,208,723,226,434,0,0
KIR 01-2923,KI,166,642,139,311,0,6
MED 48-0750,KI,187,661,201,389,0,1
MED 48-0751,KI,189,510,142,331,0,0
BEL 48-2559,KI,139,431,118,259,0,2
RED 48-3208,KI,88,415,68,156,0,0
SAM 45-2575,KI,278,770,212,496,0,6
WINTERGREEN,KI,91,279,70,161,0,0
WOD 45-2680,KI,206,627,176,384,0,2
ISS 05-0550,KI,85,300,80,172,0,7
KIR 45-2730,KI,165,686,132,298,0,1
GRAFF,KI,30,105,34,64,0,0
RED 48-3664,KI,128,594,113,243,0,2
BEL 41-2782,KI,50,183,31,81,0,0
KIR 48-2788,KI,103,354,112,215,0,0
KIR 48-2922,KI,102,504,139,242,0,1
KIR 45-0554,KI,113,451,87,200,0,0
NEW 41-3578,KI,89,396,66,156,0,1
KIR 45-2679,KI,177,614,202,379,0,0
ISS 05-2461,KI,214,572,148,364,0,2
N-B 05-0858,KI,98,469,122,222,0,2
RED 48-2640,KI,122,356,86,208,0,0
SEAN,KI,195,690,172,367,0,0
HOLLYMORE,KI,185,525,148,337,0,4
KIR 45-2471,KI,262,720,187,453,0,4
ISABELLA,KI,234,660,174,409,0,1
KIR 01-3422,KI,145,546,121,266,0,0
MOUNT CLARE,KI,202,571,145,348,0,1
ALDARRA,KI,214,711,220,434,0,0
EDGEHILL,KI,21,67,22,44,0,1
BIG BEND,KI,59,216,65,124,0,0
BEL 48-2412,KI,97,308,70,168,0,1
RED 48-2628,KI,109,472,101,211,0,1
KIR 45-2786,KI,116,351,120,236,0,0
TIGER MTN,KI,224,742,222,447,0,1
SHANGRI-LA,KI,120,394,110,233,0,3
RED 45-3315,KI,302,705,201,503,0,0
BEL 48-2778,KI,91,243,57,148,0,0
BEL 48-2773,KI,73,287,69,142,0,0
BEL 48-2772,KI,109,345,94,205,0,2
BEL 48-2777,KI,60,229,29,89,0,0
BEL 48-2776,KI,161,495,110,274,0,3
BEL 48-2775,KI,133,478,128,264,0,3
BEL 48-2774,KI,109,434,75,186,0,2
BEL 41-3671,KI,98,337,65,164,0,1
COUNTRYSIDE,KI,168,667,112,280,0,0
SAM 41-3384,KI,213,764,177,391,0,1
SAM 41-3385,KI,176,616,150,328,0,2
M-I 41-0756,KI,220,738,180,402,0,2
SNQ 05-3511,KI,238,860,238,477,0,1
M-I 41-0757,KI,112,403,118,231,0,1
KIR 45-3198,KI,104,492,75,182,0,3
KIR 45-3199,KI,120,416,121,241,0,0
BEL 41-3695,KI,99,390,81,183,0,3
ISS 05-3634,KI,85,422,103,190,0,2
BOT 01-1207,KI,151,553,131,282,0,0
