Row Label,County,John Komen,Tom Farmer
BELFAIR,MA,128,268
MILL CREEK,MA,250,327
HARSTINE,MA,298,334
DAYTON,MA,138,205
DOWNTOWN,MA,177,212
AIRPORT,MA,274,330
MATLOCK,MA,155,232
AGATE,MA,209,217
JOHN&#39;S PRAIRIE,MA,184,168
OLYMPIC VIEW,MA,257,283
ISABELLA,MA,94,184
CUSHMAN,MA,257,266
MASON LAKE,MA,226,204
SAND HILL,MA,179,321
KAMILCHE POINT,MA,119,112
HILLCREST,MA,165,146
EELLS,MA,13,23
BORDEAUX,MA,28,45
ANGLESIDE,MA,233,246
ARCADIA,MA,244,285
HOOD CANAL,MA,35,33
UNION,MA,134,127
LIMERICK,MA,328,306
FAWN LAKE,MA,248,266
TIGER LAKE,MA,96,169
PICKERING,MA,187,243
CALLANAN,MA,8,9
KAMILCHE,MA,81,114
VICTOR,MA,128,238
TWANOH,MA,118,182
OAKLAND BAY,MA,152,212
TAHUYA,MA,158,324
ALLYN,MA,251,552
DEWATTO,MA,144,414
TIMBERLAKE,MA,249,303
GRAPEVIEW,MA,227,350
FAIR HARBOR,MA,119,247
TRAIL&#39;S END,MA,177,334
Total,MA,6468,8831
