Row Label,County,Steve Bergquist,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Sarah Sanoy-Wright
WOODSIDE,KI,120,580,32,259,0,0,107
SEA 11-1550,KI,181,563,12,222,0,1,28
SEA 11-1552,KI,119,379,19,166,0,2,26
RNT 11-0456,KI,177,635,18,291,0,0,96
RNT 11-3660,KI,99,341,14,174,0,0,61
RNT 11-1109,KI,103,484,25,180,0,0,52
FAIRMONT,KI,97,394,23,216,0,1,95
RNT 11-0354,KI,129,491,23,227,0,0,75
CEDAR PARK,KI,69,245,9,118,0,1,39
EASTWOOD,KI,179,487,22,281,1,0,79
TUK 11-1164,KI,206,660,21,312,0,0,85
KEN 11-0918,KI,155,605,19,257,0,0,83
TUK 11-2955,KI,174,653,22,274,0,0,78
RNT 11-0964,KI,147,557,24,260,0,0,89
RNT 11-0962,KI,78,309,12,127,0,0,37
SEA 11-1624,KI,135,577,22,208,1,0,50
MORRIS,KI,158,736,37,359,0,1,163
TUK 11-2956,KI,68,460,11,112,0,0,33
RNT 11-2739,KI,93,274,9,140,0,0,38
RNT 11-3555,KI,103,477,23,219,0,1,92
CANDLEWOOD,KI,66,412,9,120,0,2,43
SEA 11-1256,KI,157,627,31,242,0,0,54
FAIRHAVEN,KI,244,808,47,439,1,0,147
KEN 11-3663,KI,125,387,16,225,1,0,83
RED MILL,KI,114,418,19,217,0,0,84
GRIFFITH,KI,182,576,26,288,0,0,80
TUK 11-3499,KI,78,245,10,109,0,0,21
RNT 11-0978,KI,146,506,14,223,0,0,63
RNT 11-0979,KI,55,284,7,100,0,0,38
RNT 11-0975,KI,208,861,34,339,0,2,95
TUK 11-3393,KI,81,347,10,119,1,1,26
RNT 11-0970,KI,67,246,15,108,0,0,26
RNT 11-0971,KI,184,579,24,291,0,0,83
RNT 11-0973,KI,141,542,26,245,0,0,78
HONEY,KI,21,102,4,57,0,0,32
SEA 11-3580,KI,129,401,22,175,0,0,24
TUK 11-2949,KI,142,585,14,225,0,0,69
RNT 11-3604,KI,133,591,25,234,0,0,76
RNT 11-2815,KI,144,677,16,215,0,0,55
RNT 11-1008,KI,143,662,24,264,0,4,93
RNT 11-1007,KI,84,315,17,149,0,1,47
RNT 11-1006,KI,121,453,22,194,0,1,50
RNT 11-1004,KI,95,317,13,141,0,0,33
RNT 11-1002,KI,96,332,7,142,1,0,38
RNT 11-3609,KI,87,461,24,173,0,0,62
