Row Label,County,Chris Wood
CLARKSTON #2,AS,181
SWALLOWS NEST,AS,365
WEST CLARKSTON #1,AS,224
WEST CLARKSTON #2,AS,225
WEST CLARKSTON #3,AS,260
ASOTIN #1,AS,180
ASOTIN #2,AS,179
SOUTH CLARKSTON #1,AS,212
SOUTH CLARKSTON #2,AS,276
W ASOTIN,AS,145
CLARKSTON #6,AS,201
CLARKSTON #7,AS,126
RURAL ASOTIN,AS,132
CLARKSTON #4,AS,196
Total,AS,5839
ANATONE,AS,118
CLARKSTON #3,AS,166
CLARKSTON HTS #4,AS,248
CLARKSTON #8,AS,179
CLARKSTON HTS #3,AS,107
CLARKSTON HTS #2,AS,445
CLARKSTON HTS #1,AS,262
CLARKSTON #5,AS,125
CLARKSTON HTS #7,AS,306
CLARKSTON HTS #6,AS,388
CLARKSTON HTS #5,AS,455
CLARKSTON #1,AS,138
