Row Label,County,Norm Johnson,Michael S. Brumback
0134,YA,493,290
0113,YA,75,97
0110,YA,113,115
0116,YA,254,189
0131,YA,148,152
0132,YA,196,120
0133,YA,338,260
0170,YA,194,144
0118,YA,73,74
0173,YA,162,137
0138,YA,348,256
0139,YA,317,204
0177,YA,288,230
4101,YA,109,60
3004,YA,8,8
4102,YA,215,179
4104,YA,160,120
3308,YA,230,163
3309,YA,131,110
0130,YA,127,122
3305,YA,234,129
1301,YA,144,73
0185,YA,280,209
0184,YA,179,158
0187,YA,251,181
0186,YA,337,231
0181,YA,277,241
0180,YA,171,110
0183,YA,291,132
0182,YA,401,306
4001,YA,67,50
0189,YA,172,154
0188,YA,311,243
3102,YA,174,135
4626,YA,10,6
0142,YA,252,219
5012,YA,144,148
5020,YA,136,124
1901,YA,80,50
0127,YA,129,163
0126,YA,77,74
0169,YA,361,206
0168,YA,353,184
3605,YA,379,320
0120,YA,80,119
0163,YA,318,182
0167,YA,360,193
0101,YA,77,92
3205,YA,311,242
0129,YA,85,93
4623,YA,24,20
5003,YA,213,140
4114,YA,70,65
4115,YA,135,97
4625,YA,10,2
4503,YA,24,19
4609,YA,98,86
3310,YA,139,137
3313,YA,97,53
3701,YA,160,112
0701,YA,49,36
4601,YA,125,76
4801,YA,334,295
0179,YA,265,205
3204,YA,31,22
3203,YA,309,197
5010,YA,88,41
3208,YA,31,33
3904,YA,74,66
0154,YA,215,182
3905,YA,61,58
0153,YA,198,158
4627,YA,83,42
0190,YA,147,118
Total,YA,13607,10231
5014,YA,207,174
