Row Label,County,Darryl Pheasant,Casey Cooper
Ephrata 7 012,GR,234,87
Hartline Rural S 020,GR,11,14
Moses Lake 5 029,GR,196,115
Ephrata 9 013,GR,370,156
Beverly 002,GR,15,18
East Wahluke 061,GR,38,48
Royal City 044,GR,78,38
Moses Lake 2 067,GR,149,110
Marlin 024,GR,10,8
Lakeview Park 021,GR,174,114
Moses Lake 9  068,GR,158,169
Coulee City 005,GR,132,75
North Banks Lake 037,GR,50,28
Ephrata Rural E,GR,173,113
Moses Lake 7 033,GR,191,210
George 015,GR,18,22
Mae 023,GR,443,356
Ruff 045,GR,16,36
Cascade Valley 058,GR,330,222
Wilson Crk Rural 056,GR,12,17
Electric City 007,GR,229,99
Coulee Cty Rur N 072,GR,35,39
Moses Lake 1 066,GR,139,89
Smyrna 2 060,GR,16,10
Hartline 019,GR,39,15
Moses Lake 4 031,GR,172,121
Cascade Fairgrnd 004,GR,153,85
Warden 050,GR,96,79
Ephrata 5 008,GR,212,65
Quincy 4 040,GR,99,47
Ephrata 4 011,GR,281,133
Quincy 1 039,GR,148,105
Stratford 049,GR,24,21
Westslope 1 053,GR,47,54
McConihe 1 028,GR,92,94
Marlin Rural 025,GR,22,20
Coulee Cty Rur W 006,GR,48,41
Coulee Cty Rur E 062,GR,9,13
Moses Lake 6 032,GR,234,215
Wheeler 2 070,GR,344,277
Longview 022,GR,210,162
Greenfield 065,GR,36,19
Mattawa Rural 027,GR,277,170
Airport 2 057,GR,103,91
Soap Lake 1 047,GR,131,63
Airport 1 001,GR,128,116
Grand Coulee 018,GR,187,65
Moses Lake 12 036,GR,195,157
Gloyd 017,GR,159,123
Hartline Rural N 073,GR,21,14
Smyrna 1 046,GR,73,41
Westslope 2 059,GR,47,36
Moses Lake 3 030,GR,240,236
Mattawa 026,GR,29,15
O Sullivan Dam 2 069,GR,329,302
Soap Lake 2 052,GR,126,60
Quincy Rural S 064,GR,338,214
Ephrata Rural ,GR,173,100
Ephrata 3 010,GR,170,74
Wheeler 1 054,GR,136,91
Warden Rural 051,GR,210,184
George Rural 016,GR,265,219
McConihe 2 063,GR,84,73
Quincy 6 041,GR,270,180
Block 71 003,GR,346,202
Wilson Creek 055,GR,45,27
Quincy Rural N 042,GR,127,96
Moses Lake 8 034,GR,286,216
O Sullivan Dam 1 038,GR,248,215
Soap Lake Rur E ,GR,62,33
Royal Camp 043,GR,254,184
Total,GR,11336,7845
Soap Lake Rur W ,GR,243,107
Ephrata 2 009,GR,248,105
Moses Lake 11 035,GR,303,277
