Row Label,County,Ed Orcutt,John Morgan
536,CR,252,78
537,CR,155,61
525,CR,279,80
535,CR,580,135
520,CR,237,71
530,CR,177,71
511,CR,21,9
510,CR,293,87
Total,CR,2386,722
528,CR,392,130
