Row Label,County,Jamie Pedersen,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 43-1368,KI,129,292,52,184,0,3
SEA 43-1369,KI,118,285,46,165,0,1
SEA 43-1364,KI,234,535,85,321,0,2
SEA 43-1365,KI,186,459,75,262,0,1
SEA 43-1366,KI,138,287,47,186,0,1
SEA 43-1367,KI,180,375,68,253,0,5
SEA 43-1360,KI,299,622,76,379,0,4
SEA 43-1361,KI,171,417,62,238,0,5
SEA 43-1362,KI,235,660,110,351,0,6
SEA 43-1363,KI,267,725,114,386,0,5
SEA 43-2017,KI,209,430,49,267,0,9
SEA 43-2016,KI,158,333,37,197,0,2
SEA 43-2015,KI,136,333,58,195,0,1
SEA 43-2014,KI,205,352,55,260,0,0
SEA 43-2013,KI,162,310,52,216,0,2
SEA 43-1818,KI,122,295,72,196,0,2
SEA 43-1787,KI,205,564,66,277,0,6
SEA 43-1817,KI,98,264,35,134,0,1
SEA 43-1280,KI,238,669,93,337,0,6
SEA 43-2018,KI,274,559,85,363,0,4
SEA 43-3571,KI,120,464,34,156,0,2
SEA 43-3570,KI,325,1056,92,429,0,12
SEA 43-1351,KI,223,561,90,315,0,2
SEA 43-1350,KI,95,265,36,133,0,2
SEA 43-1353,KI,202,449,56,260,0,2
SEA 43-1352,KI,228,608,88,322,0,6
SEA 43-1355,KI,193,401,48,244,0,3
SEA 43-1354,KI,175,435,63,240,0,2
SEA 43-1357,KI,147,355,43,192,0,2
SEA 43-1359,KI,224,518,63,291,0,4
SEA 43-1358,KI,161,418,56,224,0,7
SEA 43-2081,KI,24,385,11,35,0,0
SEA 43-2083,KI,150,422,64,215,0,1
SEA 43-2545,KI,278,699,94,375,0,3
SEA 43-2058,KI,102,247,44,150,0,4
SEA 43-2004,KI,148,356,54,206,0,4
SEA 43-2006,KI,112,298,56,169,0,1
SEA 43-2007,KI,136,256,26,164,0,2
SEA 43-2000,KI,216,550,74,294,0,4
SEA 43-2001,KI,315,648,113,433,0,5
SEA 43-1370,KI,181,332,54,237,0,2
SEA 43-3230,KI,200,626,98,309,0,11
SEA 43-1291,KI,381,684,103,487,0,3
SEA 43-2008,KI,128,257,39,169,0,2
SEA 43-2009,KI,265,487,60,329,0,4
SEA 43-1869,KI,205,465,61,270,0,4
SEA 43-1868,KI,177,353,54,233,0,2
SEA 43-1863,KI,190,475,63,255,0,2
SEA 43-1862,KI,182,476,47,234,0,5
SEA 43-1861,KI,337,750,93,432,0,2
SEA 43-1860,KI,268,745,98,368,0,2
SEA 43-1867,KI,228,546,65,299,0,6
SEA 43-1347,KI,322,726,106,435,0,7
SEA 43-1344,KI,212,452,79,292,0,1
SEA 43-1345,KI,185,424,84,274,0,5
SEA 43-1342,KI,178,366,57,237,0,2
SEA 43-1343,KI,146,355,67,215,0,2
SEA 43-1341,KI,265,499,83,351,0,3
SEA 43-2002,KI,294,587,95,391,0,2
SEA 43-1348,KI,233,555,80,317,0,4
SEA 43-1349,KI,158,359,69,231,0,4
