Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Yelm 1,TH,169,67
Griffin,TH,220,42
Kaiser,TH,106,34
Smith Prairie,TH,223,94
Olympia 01,TH,201,47
Lacey 29,TH,218,72
Scott Lake South,TH,145,73
Tri Lakes,TH,104,48
Woodland,TH,214,49
Plumb,TH,211,93
Montgomery,TH,107,34
Olympia 10,TH,261,43
Delta(*),TH,0,0
Olympia 12,TH,96,40
Olympia 13,TH,217,59
Pleasant Hill,TH,242,65
Olympia 15,TH,173,45
Smith Lake,TH,223,58
Olympia 17,TH,129,46
Olympia 18,TH,210,48
Rocky Prairie,TH,126,67
Scatter Creek,TH,154,66
Lacey 06,TH,71,30
Henderson,TH,295,84
Mullen,TH,245,80
Marvin,TH,245,81
Rochester 4,TH,151,70
Rochester 5,TH,186,99
Rochester 2,TH,183,78
Rochester 3,TH,179,86
French,TH,260,54
Rochester 1,TH,241,92
Tumwater 11,TH,310,82
Evergreen Ballroom,TH,277,81
Littlerock,TH,349,120
Lacey 10,TH,260,44
Skookumchuck,TH,175,98
Delphi,TH,215,48
Tolmie,TH,90,20
Quince(*),TH,0,0
St Clair,TH,232,55
Olympia 58,TH,187,63
Tenino 01,TH,118,52
James,TH,159,77
Tumwater 10,TH,260,81
Lacey 14,TH,69,28
Olympia 07,TH,101,38
Olympia 06,TH,321,92
Olympia 05,TH,172,66
Olympia 04,TH,180,58
Olympia 03,TH,220,41
Olympia 02,TH,195,52
Plainview,TH,378,78
Lacey 27,TH,179,51
Delridge,TH,63,18
Military,TH,95,39
Lacey 16,TH,216,22
Lacey 39,TH,329,68
Olympia 09,TH,353,77
Sweet Briar,TH,290,74
Olympia 43,TH,261,55
Rainier 01,TH,134,62
Puget,TH,294,64
Olympia 11,TH,208,35
Vail,TH,234,107
Stedman,TH,151,57
Tumwater 13,TH,91,21
Zenkner Valley,TH,45,14
Trailblazer,TH,67,33
Libby,TH,185,54
Lackamas,TH,69,34
Broadway,TH,297,77
Johnson Point,TH,289,81
Sleater Kinney,TH,190,70
Medicine Creek,TH,100,35
Lacey 42,TH,71,15
Olympia 16,TH,42,5
Tumwater 12,TH,200,60
Prine,TH,34,20
Long Lake,TH,57,10
Lacey 33,TH,114,30
Olympia 53,TH,204,39
Lacey 31,TH,142,57
Lacey 30,TH,274,91
Greenridge,TH,130,42
Lacey 36,TH,122,37
Rich,TH,168,45
Olympia 19,TH,179,41
Butler Cove,TH,231,47
Lacey 34,TH,100,44
Mud Bay,TH,207,67
Olympia 14,TH,187,46
Mclane,TH,166,48
Tumwater 15,TH,243,69
Lawrence Lake,TH,252,105
Lacey 45,TH,104,28
Olympia 38,TH,45,21
Tilley,TH,214,109
Yelm 3,TH,204,84
Hunter Point,TH,134,48
Skokomish,TH,160,66
Schneiders Prairie,TH,160,55
Grand Mound,TH,88,51
Alpine,TH,360,109
Hays,TH,157,51
Luhr Beach,TH,258,75
