Row Label,County,Jim Raymond,Richard Lathim
Pct 008,FR,140,81
Pct 009,FR,46,28
Pct 002,FR,71,39
Pct 003,FR,43,14
Pct 001,FR,131,78
Pct 006,FR,64,54
Pct 007,FR,58,45
Pct 004,FR,55,26
Pct 005,FR,47,24
Pct 082,FR,56,61
Pct 083,FR,22,75
Pct 080,FR,107,192
Pct 081,FR,23,49
Pct 086,FR,27,59
Pct 087,FR,26,43
Pct 084,FR,29,20
Pct 085,FR,23,30
Pct 088,FR,8,37
Pct 089,FR,23,104
Pct 079,FR,62,67
Pct 078,FR,27,68
Pct 077,FR,23,42
Pct 076,FR,24,65
Pct 075,FR,9,33
Pct 074,FR,94,165
Pct 073,FR,128,153
Pct 072,FR,77,55
Pct 071,FR,57,108
Pct 070,FR,29,42
Pct 101,FR,38,75
Pct 100,FR,39,65
Pct 069,FR,9,31
Pct 064,FR,72,129
Pct 065,FR,52,60
Pct 066,FR,153,161
Pct 060,FR,58,41
Pct 061,FR,187,110
Pct 062,FR,248,144
Pct 063,FR,115,91
Pct 067(*),FR,0,0
Pct 059,FR,182,136
Pct 058,FR,17,11
Pct 051,FR,138,100
Pct 050,FR,136,107
Pct 053,FR,93,90
Pct 052,FR,41,22
Pct 055,FR,177,184
Pct 054,FR,48,47
Pct 057,FR,111,86
Pct 056,FR,72,100
Pct 046,FR,161,131
Pct 047,FR,19,10
Pct 044,FR,112,86
Pct 045,FR,146,113
Pct 042,FR,89,72
Pct 043,FR,93,86
Pct 040,FR,123,80
Pct 041,FR,85,59
Pct 048,FR,153,93
Pct 049,FR,165,107
Pct 033,FR,94,67
Pct 032,FR,236,159
Pct 031,FR,45,35
Pct 030,FR,33,28
Pct 037,FR,158,139
Pct 036,FR,184,126
Pct 035,FR,50,69
Pct 034,FR,165,119
Pct 039,FR,122,101
Pct 038,FR,121,87
Pct 020,FR,42,32
Pct 021,FR,31,16
Pct 022,FR,124,69
Pct 023,FR,203,132
Pct 024,FR,89,66
Pct 025,FR,43,27
Pct 026,FR,74,47
Pct 027,FR,53,27
Pct 028,FR,47,38
Pct 029,FR,67,38
Pct 068(*),FR,0,0
Pct 019,FR,104,81
Pct 018,FR,42,21
Pct 015,FR,72,49
Pct 014,FR,50,48
Pct 017,FR,74,57
Pct 016,FR,11,7
Pct 011,FR,74,35
Pct 010,FR,89,39
Pct 013,FR,51,30
Pct 012,FR,49,31
Pct 095,FR,11,59
Pct 094,FR,0,0
Pct 097,FR,17,34
Pct 096,FR,18,71
Pct 091,FR,3,10
Pct 090,FR,26,127
Pct 093,FR,35,126
Pct 092,FR,33,106
Total,FR,7534,7016
Pct 099,FR,6,29
Pct 098,FR,6,21
