Row Label,County,Katy Butler (Rapacz)
Griffin,BE,2
215,BE,133
Ridge,BE,0
Kiona,BE,279
210,BE,131
Hedges,BE,154
Weidle,BE,35
Randy,BE,72
W2 - P641,BE,128
W2 - P640,BE,188
135,BE,151
165,BE,133
W1 - P685,BE,243
W1 - P686,BE,195
W1 - P680,BE,247
W1 - P681,BE,191
W1 - P682,BE,271
W1 - P683,BE,182
Columbia,BE,0
El Rancho,BE,269
Benton South,BE,186
W3 - P545,BE,114
French,BE,25
289,BE,286
288,BE,179
(none),BE,179
281,BE,263
280,BE,233
283,BE,149
220,BE,106
285,BE,291
284,BE,179
287,BE,132
286,BE,143
235,BE,121
Pearson,BE,3
Apricot,BE,54
Benton East,BE,0
McBee,BE,1
Candy,BE,5
455,BE,187
Reata,BE,166
W1 - P670,BE,185
W3-P511,BE,18
W1 - P675,BE,91
W1 - P674,BE,140
265,BE,156
W1 - P676,BE,287
Harrington,BE,228
W3 - P558,BE,271
W3 - P559,BE,255
Carley,BE,0
W3 - P552,BE,210
W3 - P553,BE,189
W3 - P550,BE,202
W3 - P551,BE,185
W3 - P556,BE,268
W3 - P557,BE,227
WR 11,BE,198
W3 - P555,BE,171
WR 17,BE,155
130,BE,154
WR 16,BE,145
Benton North,BE,250
292,BE,152
293,BE,108
290,BE,224
Badger,BE,144
Sacagawea,BE,1
Crow Butte,BE,24
195,BE,148
Washington,BE,75
311,BE,0
310,BE,207
Mills,BE,246
Rattlesnake,BE,40
Liberty,BE,9
Vineyard,BE,0
271,BE,96
W1 - P660,BE,182
W1 - P667,BE,100
W1 - P664,BE,314
W1 - P665,BE,254
278,BE,219
279,BE,87
W1 - P668,BE,313
W1 - P669,BE,132
175,BE,321
Susie,BE,17
Walnut Grove,BE,131
Kennewick Valley,BE,193
Yakima,BE,3
Hawthorne,BE,130
Expansion,BE,0
W3 - P560,BE,94
255,BE,175
Yellowstone,BE,110
Cook,BE,12
Celilo,BE,215
WR 10,BE,20
Orchard,BE,9
300,BE,189
301,BE,192
Jewel,BE,28
305,BE,168
W1 - P657,BE,166
W1 - P656,BE,103
W1 - P655,BE,124
Shockley,BE,4
240,BE,260
W1 - P651,BE,42
W1 - P650,BE,231
Ivey,BE,150
105,BE,136
245,BE,149
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,172
270,BE,202
Roe,BE,11
WR 1,BE,105
W2 - P633,BE,191
Cone,BE,121
W3 - P540,BE,198
160,BE,230
291,BE,231
282,BE,287
W2 - P635,BE,238
Elk,BE,0
125,BE,128
450,BE,231
Salmon,BE,34
Umatilla,BE,86
W1 - P645,BE,52
W1 - P646,BE,76
Gage,BE,4
Bobbie,BE,0
W2 - P639,BE,126
W2 - P601,BE,109
W2 - P600,BE,104
Riverside,BE,210
W2 - P605,BE,135
W1 - P691,BE,36
170,BE,153
W3 - P505,BE,145
Buena Vista,BE,311
W3 - P500,BE,38
Demoss,BE,11
Sunny,BE,44
316,BE,0
180,BE,104
W2 - P570,BE,177
186,BE,62
Dot,BE,104
W2 - P575,BE,83
185,BE,85
250,BE,193
Onion,BE,0
465,BE,200
Horse Heaven,BE,28
460,BE,167
190,BE,194
315,BE,293
Enterprise,BE,128
W2 - P590,BE,149
W2 - P610,BE,130
W2 - P595,BE,145
Prosser North,BE,196
W2 - P615,BE,57
115,BE,116
W3 - P515,BE,112
W3 - P510,BE,109
225,BE,156
W2 - P565,BE,93
Canyon,BE,186
295,BE,190
W2 - P560,BE,108
Roza,BE,0
Edgewater,BE,145
W2 - P625,BE,205
110,BE,156
151,BE,338
150,BE,233
Vista,BE,89
WR 4,BE,261
Legion,BE,170
Cherry,BE,223
Oak,BE,101
WR 9,BE,151
WR 8,BE,261
W1-P663,BE,162
Paterson,BE,12
WR 2,BE,126
WR 3,BE,105
W2 - P626,BE,121
W2 - P580,BE,124
W3 - P520,BE,82
WR 7,BE,251
Chandler,BE,22
W3 - P525,BE,116
W2 - P585,BE,99
W2-P574,BE,108
230,BE,135
WR12,BE,238
WR13,BE,149
WR14,BE,269
WR15,BE,179
WR 6,BE,239
320,BE,265
WR 5,BE,80
155,BE,276
W2 - P620,BE,130
White Bluffs,BE,251
200,BE,151
145,BE,241
205,BE,137
140,BE,137
275,BE,79
W3 - P535,BE,94
W2 - P630,BE,184
Goose Ridge,BE,41
W2 - P634,BE,253
Reese,BE,22
W2 - P636,BE,193
W2 - P637,BE,230
W2 - P638,BE,220
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,254
W3 - P530,BE,118
South,BE,146
Ida,BE,0
120,BE,194
Finley,BE,286
Tumble Weed,BE,32
Miller,BE,1
470,BE,154
260,BE,149
W3-P516,BE,11
Red Mountain,BE,168
Total,BE,33428
Clements,BE,38
