Row Label,County,Cary Condotta
210,CH,216
1149,CH,28
133,CH,238
132,CH,24
131,CH,32
136,CH,4
135,CH,376
134,CH,388
490,CH,557
540,CH,336
163,CH,19
1151,CH,2
1150,CH,6
710,CH,249
120,CH,207
121,CH,188
122,CH,108
123,CH,29
124,CH,44
125,CH,366
126,CH,44
127,CH,75
128,CH,40
129,CH,142
410,CH,304
530,CH,419
590,CH,360
310,CH,151
190,CH,33
115,CH,21
114,CH,277
116,CH,99
111,CH,63
110,CH,207
113,CH,40
112,CH,18
520,CH,568
420,CH,297
580,CH,263
440,CH,462
100,CH,6
510,CH,220
430,CH,415
450,CH,407
330,CH,234
175,CH,461
174,CH,256
173,CH,12
172,CH,17
171,CH,9
730,CH,385
182,CH,291
183,CH,153
181,CH,331
560,CH,374
460,CH,362
164,CH,154
165,CH,91
161,CH,30
162,CH,24
220,CH,258
720,CH,367
151,CH,3
150,CH,30
153,CH,500
152,CH,3
155,CH,147
154,CH,434
157,CH,356
156,CH,43
159,CH,9
158,CH,179
320,CH,212
146,CH,67
147,CH,366
144,CH,16
145,CH,19
142,CH,28
143,CH,2
140,CH,106
141,CH,10
610,CH,257
148,CH,144
149,CH,165
480,CH,382
Total,CH,15635
