Row Label,County,Yes,No
601 Queets,JE,14,27
704 Port Townsend,JE,203,48
101 Gardiner,JE,90,97
501 Port Ludlow I,JE,328,302
200 Coyle,JE,147,101
708 Port Townsend,JE,488,181
302 Center I,JE,147,139
702 Port Townsend,JE,208,70
306 Irondale II,JE,306,191
300 Chimacum I,JE,196,165
102 Port Discovery,JE,114,107
105 Discovery Bay,JE,332,167
305 Irondale I,JE,229,136
710 Port Townsend,JE,280,114
500 Port Ludlow,JE,280,320
106 North Jacob,JE,245,144
503 Port Ludlow III,JE,197,227
301 Chimacum II,JE,113,103
706 Port Townsend,JE,539,183
401 Nordland,JE,343,201
502 Port Ludlow II,JE,215,206
505 Port Ludlow V,JE,231,218
709 Port Townsend,JE,446,131
303 Hadlock,JE,287,206
304 Kala Point,JE,326,263
107 South Jacob,JE,313,196
201 Quilcene,JE,290,245
308 Center II,JE,120,73
705 Port Townsend,JE,208,107
204 Brinnon,JE,297,359
707 Port Townsend,JE,439,212
104 Cape George,JE,323,199
103 Crocker,JE,96,78
600 Hoh,JE,19,29
703 Port Townsend,JE,245,95
700 Port Townsend,JE,340,156
504 Port Ludlow IV,JE,135,145
Total,JE,9471,6147
701 Port Townsend,JE,173,58
307 Four Corners,JE,169,148
