Row Label,County,R.W. Buzzard
Salzer,LE,117
Napavine #2,LE,0
Napavine #3,LE,3
Packwood,LE,69
Napavine #5,LE,0
Napavine #6,LE,0
Napavine #1,LE,348
Union,LE,187
Paradise,LE,37
Napavine #4,LE,0
Urquhart,LE,159
Mossyrock,LE,108
Independence,LE,49
Sommerville,LE,44
Stillwater West,LE,138
Veness,LE,249
Greenwood,LE,9
Stearns Creek,LE,94
Elk Crk,LE,76
Stillwater East,LE,74
Agate,LE,130
Skookumchuck,LE,263
Silver Creek,LE,234
Meskill,LE,50
Onalaska,LE,468
Jackson,LE,330
Toledo,LE,142
Mauermann,LE,55
Chehalis #9,LE,12
Chehalis #8,LE,184
Harmony,LE,242
Chehalis #1,LE,208
Chehalis #3,LE,161
Chehalis #2,LE,135
Chehalis #5,LE,134
Chehalis #4,LE,148
Chehalis #7,LE,45
Chehalis #6,LE,261
Centralia #2,LE,303
Centralia #3,LE,119
Centralia #1,LE,121
Centralia #6,LE,251
Centralia #7,LE,121
Centralia #4,LE,176
Centralia #5,LE,127
Centralia #8,LE,149
Centralia #9,LE,310
Mineral,LE,123
Salkum,LE,213
Randle West,LE,165
Ethel,LE,314
Fair,LE,0
Crego,LE,578
Parcuvia,LE,200
Evaline West,LE,144
Pe Ell,LE,134
Newaukum,LE,228
Forest,LE,288
Dryad,LE,84
Temple,LE,187
Cowlitz,LE,411
Drews Prairie,LE,126
Seminary Hill,LE,136
Klickitat,LE,142
Verndale,LE,225
Cinebar,LE,212
Whealdon,LE,211
Roswell,LE,8
Sears,LE,203
Emery North,LE,2
Adna ,LE,444
Big Bottom,LE,256
Fords Prairie,LE,308
Jackson North,LE,0
Boistfort,LE,87
Claquato,LE,261
Curtis,LE,101
Vader,LE,110
Logan,LE,258
Alpha,LE,343
Berwick,LE,379
Evaline East,LE,95
Lincoln Creek,LE,226
Randle East,LE,224
Salmon Creek,LE,399
Emery,LE,155
Winlock,LE,214
Prescott,LE,480
Total,LE,16643
Kelly,LE,0
Mellen,LE,1
Centralia #10,LE,110
Centralia #11,LE,315
Centralia #12,LE,344
Centralia #13,LE,371
Morton,LE,188
