Row Label,County,Anthony E. Howard,Remy Stephanson Leonard
SLIVER(*),SN,0,0
ALMA,SN,16,11
OLIVIA,SN,18,15
TULALIP 3,SN,156,91
HIWAY,SN,14,14
TOWER,SN,154,96
EVERETT   6,SN,100,78
EVERETT   7,SN,66,44
WELANGDON,SN,15,4
EVERETT   5,SN,127,85
EVERETT   2,SN,132,120
EVERETT   3,SN,122,75
EVERETT  75,SN,85,83
EVERETT   1,SN,160,175
EVERETT  79,SN,123,92
EVERETT  78,SN,68,50
EVERETT   8,SN,112,93
EVERETT   9,SN,190,186
MARYSVILLE 27,SN,203,114
MARYSVILLE 26,SN,177,100
MARYSVILLE 25,SN,89,53
MARYSVILLE 24,SN,141,84
MARYSVILLE 23,SN,200,147
MARYSVILLE 22,SN,203,140
MARYSVILLE 21,SN,221,160
MARYSVILLE 20,SN,151,95
CHATHAM,SN,23,27
MARYSVILLE 29,SN,80,62
MARYSVILLE 28,SN,112,40
MARYSVILLE 45,SN,204,124
MARYSVILLE 44,SN,211,128
MUKILTEO 18,SN,224,112
MUKILTEO 19,SN,127,88
MARYSVILLE 41,SN,102,74
MARYSVILLE 40,SN,121,80
MARYSVILLE 43,SN,156,87
MARYSVILLE 42,SN,113,97
MUKILTEO 12,SN,237,134
MUKILTEO 13,SN,140,116
MUKILTEO 10,SN,116,74
MUKILTEO 11,SN,151,89
MUKILTEO 16,SN,229,119
MUKILTEO 17,SN,208,146
MUKILTEO 14,SN,209,116
MUKILTEO 15,SN,50,42
HAMPTON,SN,164,103
HILTONS LAKE,SN,142,123
TULALIP 2,SN,129,96
WOODRIDGE,SN,181,153
TULALIP 1,SN,150,111
TULALIP 6,SN,66,50
TULALIP 4,SN,158,99
TULALIP 5,SN,112,51
EVERETT  60,SN,142,86
EVERETT  61,SN,23,26
EVERETT  62,SN,92,80
EVERETT  63,SN,117,67
EVERETT  64,SN,72,44
EVERETT  65,SN,118,103
EVERETT  66,SN,138,93
EVERETT  67,SN,110,107
EVERETT  68,SN,199,124
EVERETT  69,SN,116,118
MARYSVILLE 30,SN,167,114
MARYSVILLE 31,SN,222,145
MARYSVILLE 32,SN,113,62
MARYSVILLE 33,SN,2,2
MARYSVILLE 34,SN,123,84
MARYSVILLE 35,SN,163,88
MARYSVILLE 36,SN,115,69
MARYSVILLE 37,SN,104,65
MARYSVILLE 38,SN,120,69
MARYSVILLE 39,SN,139,77
EBEY,SN,17,11
MARYSVILLE 54,SN,179,105
MARYSVILLE 55,SN,113,59
MARYSVILLE 52,SN,197,117
MARYSVILLE 53,SN,101,64
MARYSVILLE 50,SN,146,107
MARYSVILLE 51,SN,62,42
SUNNYSIDE,SN,46,32
SPENCER(*),SN,0,0
EVERETT  55,SN,37,28
EVERETT  54,SN,121,114
EVERETT  57,SN,136,97
EVERETT  56,SN,129,82
EVERETT  51,SN,141,93
EVERETT  50,SN,127,118
EVERETT  53,SN,136,119
EVERETT  52,SN,120,97
EVERETT  59,SN,96,98
EVERETT  58,SN,15,14
RIVERCREST,SN,107,77
LIND,SN,156,97
EVERETT  73,SN,133,114
EVERETT  72,SN,67,57
EVERETT   4,SN,131,120
EVERETT  48,SN,120,73
EVERETT  49,SN,172,127
SHELTON,SN,196,123
EVERETT  42,SN,97,89
EVERETT  43,SN,79,61
EVERETT  40,SN,53,60
EVERETT  41,SN,117,77
EVERETT  46,SN,97,83
EVERETT  47,SN,151,87
EVERETT  44,SN,86,78
EVERETT  45,SN,102,83
FIRGROVE,SN,100,87
HAT ISLAND,SN,15,10
EVERETT  74,SN,72,76
SYLVAN,SN,5,9
HAVEN,SN,155,130
EVERETT  71,SN,84,48
EVERETT  76,SN,119,87
MARYSVILLE 48,SN,115,82
EVERETT  39,SN,131,94
EVERETT  38,SN,27,37
EVERETT  37,SN,134,107
EVERETT  36,SN,123,74
EVERETT  35,SN,134,117
EVERETT  34,SN,111,60
EVERETT  33,SN,181,146
EVERETT  32,SN,142,101
EVERETT  31,SN,103,72
EVERETT  30,SN,171,122
BOEING,SN,121,80
EVERETT  70(*),SN,0,0
EVERETT  77,SN,92,103
MARYSVILLE  4,SN,113,83
EVERETT  28,SN,115,83
EVERETT  29,SN,87,100
EVERETT  24,SN,128,132
EVERETT  25,SN,98,108
EVERETT  26,SN,191,177
EVERETT  27,SN,143,119
EVERETT  20,SN,126,101
EVERETT  21,SN,170,157
EVERETT  22,SN,121,83
EVERETT  23,SN,27,21
VILLE,SN,55,39
EVERETT  13,SN,112,84
PRIEST POINT,SN,86,70
EVERETT  12,SN,110,103
MARYSVILLE  9,SN,73,43
MARYSVILLE  8,SN,156,76
COHO,SN,83,22
MARYSVILLE  1,SN,95,70
MARYSVILLE  3,SN,164,116
MARYSVILLE  2,SN,63,46
MARYSVILLE  5,SN,194,131
MARYSVILLE 47,SN,149,93
MARYSVILLE  7,SN,94,72
MARYSVILLE  6,SN,123,69
EVERETT  11,SN,163,139
EVERETT  10,SN,110,74
MUKILTEO 21,SN,102,57
MUKILTEO 20,SN,192,111
EVERETT  15,SN,121,105
EVERETT  14,SN,124,102
EVERETT  17,SN,79,57
EVERETT  16,SN,96,85
EVERETT  19,SN,117,99
EVERETT  18,SN,168,144
EASTMONT,SN,106,90
WHALEBACK,SN,15,3
EVERETT  91,SN,96,78
EVERETT  90,SN,42,31
EVERETT  93,SN,86,64
EVERETT  95,SN,80,32
EVERETT  94,SN,76,65
MUKILTEO  5,SN,221,142
MUKILTEO  4,SN,120,79
MUKILTEO  7,SN,151,71
MUKILTEO  6,SN,149,121
MUKILTEO  1,SN,197,146
MUKILTEO  3,SN,146,78
MUKILTEO  2,SN,233,152
MARYSVILLE 49,SN,126,75
MUKILTEO  9,SN,159,93
MUKILTEO  8,SN,124,79
STOCK SHOW,SN,72,52
JORDAN,SN,235,158
TYEE,SN,149,94
LANTERN,SN,139,117
MARYSVILLE 46,SN,216,122
Total,SN,25018,17975
EVERETT  88,SN,106,143
EVERETT  89,SN,117,72
EVERETT  86,SN,128,89
EVERETT  87,SN,84,74
EVERETT  84,SN,37,28
EVERETT  85,SN,99,81
EVERETT  82,SN,81,99
EVERETT  83,SN,111,92
EVERETT  80,SN,136,149
EVERETT  81,SN,69,59
EVERETT  92(*),SN,0,0
MARYSVILLE 18,SN,188,117
MARYSVILLE 19,SN,125,98
MARYSVILLE 14,SN,191,144
MARYSVILLE 12,SN,172,96
MARYSVILLE 13,SN,112,80
MARYSVILLE 10,SN,107,76
MARYSVILLE 11,SN,196,131
MARYSVILLE 16,SN,204,98
MARYSVILLE 17,SN,138,94
SUNRISE,SN,107,124
MARYSVILLE 15,SN,150,98
