Row Label,County,Lillian Ortiz-Self,Jeff Scherrer
EDMONDS 51,SN,195,113
ROYAL,SN,205,216
MEADOWCREST,SN,165,118
OLIVIA,SN,26,17
MANORDALE,SN,144,116
HIWAY,SN,22,10
EDMONDS  2,SN,195,156
EDMONDS  3,SN,247,135
HAMPTON,SN,187,121
EDMONDS  1,SN,177,151
EDMONDS  7,SN,281,136
EDMONDS  4,SN,202,105
SHELBY,SN,152,84
EVERETT  79,SN,155,101
EDMONDS  9,SN,141,93
RHODY RIDGE,SN,119,85
KEELER,SN,152,86
TERRACE,SN,41,24
MARTHA LAKE,SN,155,150
MUKILTEO 18,SN,212,204
MUKILTEO 19,SN,130,139
MUKILTEO 12,SN,287,181
MUKILTEO 13,SN,173,160
MUKILTEO 10,SN,138,82
MUKILTEO 11,SN,154,120
MUKILTEO 16,SN,239,172
COVE,SN,161,116
MUKILTEO 14,SN,229,170
MUKILTEO 15,SN,48,56
EDMONDS  5,SN,133,80
POPPY,SN,104,87
EAST SHORE,SN,158,130
EVERETT  61,SN,29,23
EVERETT  64,SN,71,60
EVERETT  65,SN,129,109
EVERETT  66,SN,200,82
CASCADIAN,SN,195,167
ALDER,SN,147,106
HIPOINT,SN,132,58
EMERALD,SN,134,133
LUNDS GULCH,SN,73,37
HEMLOCK,SN,236,161
EVERETT  83(*),SN,0,0
FREEWAY,SN,159,141
PIONEER,SN,152,123
SHORE,SN,188,141
EDMONDS  8,SN,270,175
EVERETT  57,SN,151,114
EVERETT  56,SN,131,106
EVERETT  52,SN,148,98
EDMONDS 11,SN,231,155
EDMONDS 10,SN,237,152
EDMONDS 13,SN,278,133
EDMONDS 17,SN,190,98
LIND,SN,194,87
MUKILTEO  9,SN,180,130
AVALON,SN,96,48
POST,SN,164,113
STOCK SHOW,SN,81,70
PUGET,SN,158,103
ELFIN,SN,82,76
FILBERT,SN,206,155
EDMONDS 24,SN,147,92
NORTHROAD,SN,211,158
EDMONDS 21,SN,230,200
EDMONDS 22,SN,197,130
EDMONDS 23,SN,211,201
EDMONDS 28,SN,192,130
FAIRWOOD,SN,73,64
LYNNWOOD 34,SN,100,58
JEFFERSON,SN,128,76
BEVERLY,SN,177,102
EVERETT  35,SN,150,145
MARINER,SN,142,91
EDMONDS 39,SN,228,199
EDMONDS 38,SN,191,157
KENTISH,SN,134,93
MANOR,SN,185,92
EDMONDS 33,SN,176,109
EDMONDS 32,SN,201,112
EDMONDS 31,SN,220,132
EDMONDS 30,SN,167,96
EDMONDS 37,SN,203,107
EDMONDS 36,SN,195,123
EDMONDS 35,SN,150,126
EDMONDS 34,SN,223,120
ASH,SN,221,160
SHADOW WOOD,SN,180,97
PICNIC POINT,SN,137,110
FIELD,SN,157,125
YORK,SN,174,143
EVERGREEN,SN,114,77
STONE GATE,SN,161,72
EDMONDS 46,SN,310,236
WOODGATE,SN,77,84
WALNUT,SN,114,93
MEADOWDALE,SN,175,99
WINGATE,SN,177,154
BUTTERNUT,SN,159,126
DALE,SN,168,123
CLOVER,SN,115,120
SERENE,SN,167,120
JEFF,SN,122,91
ALICIA,SN,188,145
MUKILTEO 21,SN,113,81
MUKILTEO 20,SN,214,171
ADMIRALTY,SN,143,67
EVERETT  91,SN,116,81
NORMA,SN,149,82
EVERETT  95,SN,77,55
EDMONDS 26,SN,150,97
GROVE,SN,186,159
FOREST,SN,184,131
EMANDER,SN,183,111
GIBSON,SN,124,73
MUKILTEO  5,SN,246,191
MUKILTEO  4,SN,138,103
MUKILTEO  7,SN,144,110
MUKILTEO  6,SN,183,147
MUKILTEO  1,SN,243,169
MUKILTEO  3,SN,146,115
MUKILTEO  2,SN,287,182
STICKNEY,SN,146,155
MUKILTEO  8,SN,154,88
MUKILTEO 17,SN,231,196
HILLMAN,SN,140,121
MADISON,SN,230,163
CASCADE,SN,121,73
EVERETT  84,SN,55,30
EDMONDS 29,SN,246,99
EVERETT  92(*),SN,0,0
LYNNWOOD 19,SN,166,130
Total,SN,21554,15239
