Row Label,County,Kathy A Martin
Yellowhawk 58,WL,29
Touchet 5 56,WL,5
CP 3 63,WL,385
Spruce 24,WL,166
Birch 05,WL,184
Baumeister 04,WL,295
Jefferson 13,WL,447
Ice Harbor 34,WL,328
Alder 02,WL,134
Eureka 4 43,WL,2
Waitsburg 65,WL,386
Lincoln 49,WL,53
CP 1 61,WL,396
Watertown 29,WL,181
Frenchtown 4 45,WL,40
Ritz 53,WL,437
CP 2 62,WL,288
Frenchtown 5 44,WL,165
Alderbrook 01,WL,179
Baker 33,WL,87
Edison 08,WL,220
Pine 21,WL,140
Mill Creek 50,WL,201
Sharpstein 23,WL,183
Gose 47,WL,94
CP 5 67,WL,347
Henderson 11,WL,207
Burbank 38,WL,410
Garfield 09,WL,247
Washington 60,WL,123
Garrison 46,WL,184
Berney 35,WL,208
Isaacs 12,WL,151
Paine 20,WL,98
Pleasant 22,WL,412
Wallula 59,WL,28
Monroe 18,WL,493
Ash 03,WL,309
Dixie 41,WL,205
Touchet 4 55,WL,263
CP 6 68,WL,59
Blalock 36,WL,366
Stadium 25,WL,176
Clyde 39,WL,27
CP 4 66,WL,451
Pros Point 52,WL,749
Wainwright 28,WL,368
Moore 51,WL,180
Eureka 5 42,WL,46
Derry 40,WL,122
College 07,WL,189
Prescott 64,WL,72
Green Park 10,WL,135
Twin Grove 57,WL,186
Tausick 26,WL,197
Marcus 17,WL,536
Braden 37,WL,410
McNary 54,WL,198
Maple 16,WL,406
Total,WL,13983
Abbott 31,WL,262
Clark 06,WL,138
