Row Label,County,David E. Meyer,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
B-D 05-0239,KI,150,560,134,284,0,0
AUB 47-3585,KI,95,374,57,152,0,0
M-V 05-2841,KI,107,385,81,188,0,0
KEN 33-3232,KI,123,502,81,204,0,0
COV 47-0279,KI,219,832,145,369,0,5
COV 47-2843,KI,213,792,179,395,0,3
RNT 11-1012,KI,132,589,107,242,0,3
KEN 33-3629,KI,16,61,11,27,0,0
KEN 47-0835,KI,145,645,130,276,0,1
RNT 11-0964,KI,135,557,125,260,0,0
RNT 11-0962,KI,85,309,40,127,0,2
TIMBER,KI,190,664,165,358,0,3
B-D 05-0240,KI,107,419,95,207,0,5
KEN 47-3190,KI,141,693,97,241,0,3
M-V 05-3600,KI,142,616,128,270,0,0
RNT 11-3660,KI,96,341,76,174,0,2
AUB 47-3518,KI,152,640,157,309,0,0
KEN 47-2838,KI,194,650,110,307,0,3
PAC 30-0885,KI,178,762,161,342,0,3
PAC 30-0887,KI,207,796,121,332,0,4
PAC 30-0886,KI,167,668,119,287,0,1
DARWOOD,KI,145,472,135,285,0,5
RNT 41-3438,KI,87,365,73,160,0,0
BRIARWOOD,KI,143,582,148,293,0,2
KEN 47-0880,KI,92,362,54,148,0,2
KEN 47-3537,KI,136,557,112,249,0,1
AUB 47-0059,KI,185,678,180,365,0,0
RNT 33-0455,KI,182,767,153,339,0,4
KEN 47-3447,KI,67,248,39,107,0,1
KEN 47-2667,KI,113,528,61,176,0,2
RNT 11-1008,KI,143,662,113,264,0,8
RNT 11-1007,KI,64,315,85,149,0,0
RNT 11-1006,KI,102,453,92,194,0,0
RNT 11-1004,KI,77,317,64,141,0,0
AUB 47-0055,KI,88,391,68,156,0,0
KEN 47-0498,KI,62,231,30,94,0,2
PTARMIGAN,KI,105,344,86,195,0,4
SPRING LAKE,KI,194,745,236,431,0,1
AUB 31-0078,KI,104,404,89,193,0,0
AUB 31-0070,KI,188,655,77,267,0,2
RNT 37-0965,KI,219,708,123,346,0,4
AUB 47-3635,KI,155,746,137,295,0,3
WANDA,KI,117,417,86,205,0,2
RNT 11-3590,KI,196,710,126,327,0,5
M-V 05-3589,KI,208,725,134,343,0,1
COV 47-3551,KI,103,375,75,181,0,3
BETTY,KI,168,775,92,263,0,3
AUB 30-2702,KI,112,470,43,156,0,1
AUB 30-2703,KI,47,262,16,63,0,0
KEN 47-2985,KI,133,571,63,198,0,2
RNT 05-3698,KI,20,52,7,27,0,0
RNT 11-3564,KI,119,491,126,246,0,1
FAIRWEATHER,KI,90,269,74,164,0,0
MONEYSMITH,KI,203,669,187,390,0,0
MAPLE HILLS,KI,216,719,173,391,0,2
M-V 05-2748,KI,206,806,138,347,0,3
CROW,KI,80,389,115,197,0,2
KEN 33-3378,KI,202,725,130,333,0,1
RNT 37-0969,KI,0,0,0,0,0,0
RNT 11-2583,KI,209,838,158,368,0,1
RNT 11-2582,KI,179,795,85,270,0,6
RNT 11-2581,KI,163,668,152,322,0,7
RNT 37-0967,KI,145,503,88,236,0,3
KEN 33-2618,KI,194,795,108,306,0,4
M-V 05-3510,KI,128,381,85,213,0,0
RNT 11-0719,KI,76,243,58,134,0,0
RNT 11-0804,KI,203,842,135,342,0,4
TOTEM,KI,11,70,20,31,0,0
AUB 47-2729,KI,103,396,77,182,0,2
CLAY,KI,121,438,115,237,0,1
FARLEY,KI,176,739,235,414,0,3
KEN 11-0893,KI,118,580,89,209,0,2
