Row Label,County,Jaime Herrera Beutler,Bob Dingethal
NORTH BONNEVILLE,SM,190,131
STABLER,SM,183,103
UNDERWOOD SOUTH,SM,85,101
WIND RIVER,SM,138,62
CAPE HORN,SM,145,76
SKAMANIA,SM,170,94
ROCK CREEK,SM,98,49
CARSON CREEK,SM,162,73
SOUTH STEVENSON,SM,32,23
SKYE,SM,114,74
HOT SPRINGS SOUTH,SM,110,48
NORTH STEVENSON,SM,103,84
CHENOWITH,SM,99,61
MT. PLEASANT,SM,105,59
BEAR PRAIRIE,SM,121,39
CASCADES,SM,7,3
NELSON CREEK,SM,58,46
HOT SPRINGS NORTH,SM,68,29
LEWIS RIVER,SM,8,8
UNDERWOOD NORTH,SM,120,102
UPPER WASHOUGAL,SM,141,59
WIND MOUNTAIN,SM,71,48
MAPLE VIEW,SM,145,123
Total,SM,2473,1495
