Row Label,County,Tam T. Bui
ALMA,SN,24
OLIVIA,SN,29
TULALIP 3,SN,210
HIWAY,SN,25
TOWER,SN,210
EVERETT   6,SN,151
EVERETT   7,SN,90
WELANGDON,SN,17
EVERETT   5,SN,190
EVERETT   2,SN,201
EVERETT   3,SN,162
EVERETT  75,SN,114
EVERETT   1,SN,248
EVERETT  79,SN,200
EVERETT  78,SN,103
EVERETT   8,SN,171
EVERETT   9,SN,315
MARYSVILLE 27,SN,271
MARYSVILLE 26,SN,240
MARYSVILLE 25,SN,130
MARYSVILLE 24,SN,189
MARYSVILLE 23,SN,291
MARYSVILLE 22,SN,270
MARYSVILLE 21,SN,302
MARYSVILLE 20,SN,212
CHATHAM,SN,45
MARYSVILLE 29,SN,119
MARYSVILLE 28,SN,126
MARYSVILLE 45,SN,261
MARYSVILLE 44,SN,295
MUKILTEO 18,SN,288
MUKILTEO 19,SN,159
MARYSVILLE 41,SN,149
MARYSVILLE 40,SN,161
MARYSVILLE 43,SN,198
MARYSVILLE 42,SN,181
MUKILTEO 12,SN,319
MUKILTEO 13,SN,199
MUKILTEO 10,SN,169
MUKILTEO 11,SN,214
MUKILTEO 16,SN,288
MUKILTEO 17,SN,290
MUKILTEO 14,SN,271
MUKILTEO 15,SN,82
HAMPTON,SN,229
HILTONS LAKE,SN,217
TULALIP 2,SN,188
WOODRIDGE,SN,284
TULALIP 1,SN,210
TULALIP 6,SN,110
TULALIP 4,SN,218
TULALIP 5,SN,130
EVERETT  60,SN,197
EVERETT  61,SN,35
EVERETT  62,SN,155
EVERETT  63,SN,150
EVERETT  64,SN,100
EVERETT  65,SN,185
EVERETT  66,SN,205
EVERETT  67,SN,186
EVERETT  68,SN,287
EVERETT  69,SN,166
MARYSVILLE 30,SN,243
MARYSVILLE 31,SN,303
MARYSVILLE 32,SN,149
MARYSVILLE 33,SN,4
MARYSVILLE 34,SN,181
MARYSVILLE 35,SN,209
MARYSVILLE 36,SN,138
MARYSVILLE 37,SN,139
MARYSVILLE 38,SN,150
MARYSVILLE 39,SN,180
EBEY,SN,26
MARYSVILLE 54,SN,219
MARYSVILLE 55,SN,148
MARYSVILLE 52,SN,273
MARYSVILLE 53,SN,146
MARYSVILLE 50,SN,219
MARYSVILLE 51,SN,91
SUNNYSIDE,SN,54
EVERETT  55,SN,59
EVERETT  54,SN,179
EVERETT  57,SN,203
EVERETT  56,SN,188
EVERETT  51,SN,177
EVERETT  50,SN,197
EVERETT  53,SN,194
EVERETT  52,SN,192
EVERETT  59,SN,172
EVERETT  58,SN,28
RIVERCREST,SN,146
LIND,SN,214
EVERETT  73,SN,215
EVERETT  72,SN,105
EVERETT   4,SN,200
EVERETT  48,SN,150
EVERETT  49,SN,242
SHELTON,SN,260
EVERETT  42,SN,153
EVERETT  43,SN,124
EVERETT  40,SN,86
EVERETT  41,SN,163
EVERETT  46,SN,154
EVERETT  47,SN,208
EVERETT  44,SN,135
EVERETT  45,SN,162
FIRGROVE,SN,151
HAT ISLAND,SN,18
EVERETT  74,SN,123
SYLVAN,SN,11
HAVEN,SN,235
EVERETT  71,SN,113
EVERETT  76,SN,168
MARYSVILLE 48,SN,167
EVERETT  39,SN,181
EVERETT  38,SN,48
EVERETT  37,SN,206
EVERETT  36,SN,164
EVERETT  35,SN,204
EVERETT  34,SN,133
EVERETT  33,SN,259
EVERETT  32,SN,188
EVERETT  31,SN,138
EVERETT  30,SN,230
EVERETT  70,SN,2
BOEING,SN,162
EVERETT  77,SN,152
MARYSVILLE  4,SN,170
EVERETT  28,SN,146
EVERETT  29,SN,143
EVERETT  24,SN,202
EVERETT  25,SN,166
EVERETT  26,SN,273
EVERETT  27,SN,214
EVERETT  20,SN,198
EVERETT  21,SN,255
EVERETT  22,SN,178
EVERETT  23,SN,32
VILLE,SN,81
EVERETT  13,SN,163
PRIEST POINT,SN,121
EVERETT  12,SN,170
SLIVER,SN,1
MARYSVILLE  9,SN,101
MARYSVILLE  8,SN,191
COHO,SN,83
SPENCER,SN,0
MARYSVILLE  1,SN,133
MARYSVILLE  3,SN,253
MARYSVILLE  2,SN,88
MARYSVILLE  5,SN,273
MARYSVILLE 47,SN,195
MARYSVILLE  7,SN,128
MARYSVILLE  6,SN,161
EVERETT  11,SN,233
EVERETT  10,SN,154
MUKILTEO 21,SN,127
MUKILTEO 20,SN,249
EVERETT  15,SN,187
EVERETT  14,SN,190
EVERETT  17,SN,119
EVERETT  16,SN,148
EVERETT  19,SN,191
EVERETT  18,SN,253
EASTMONT,SN,169
WHALEBACK,SN,15
EVERETT  91,SN,148
EVERETT  90,SN,63
EVERETT  93,SN,135
EVERETT  92,SN,3
EVERETT  95,SN,97
EVERETT  94,SN,107
MUKILTEO  5,SN,306
MUKILTEO  4,SN,152
MUKILTEO  7,SN,168
MUKILTEO  6,SN,232
MUKILTEO  1,SN,263
MUKILTEO  3,SN,188
MUKILTEO  2,SN,322
MARYSVILLE 49,SN,165
MUKILTEO  9,SN,201
