Row Label,County,Rea L. Culwell,Randell O. Lewis
ALTO,CU,25,34
TOUCHET,CU,105,54
STARBUCK COUNTRY,CU,9,15
STAR,CU,63,47
MUSTARD,CU,100,74
DAYTON,CU,134,69
PING,CU,105,73
BROOKLYN,CU,104,82
TUCANNON,CU,27,37
STARBUCK CITY,CU,27,42
COLUMBIA,CU,144,111
RAINWATER,CU,80,61
Total,CU,1018,768
PATIT,CU,95,69
