Row Label,County,Ruth Kagi,Alvin A. Rutledge
LYNNWOOD 30,SN,200,121
LYNNWOOD 33,SN,178,114
EDMONDS 49,SN,188,100
EDMONDS 44,SN,218,80
LYNNWOOD  5,SN,104,54
LYNNWOOD  4,SN,140,76
LYNNWOOD  7,SN,215,120
LYNNWOOD  6,SN,169,82
LYNNWOOD  1,SN,102,43
NILE,SN,0,0
LYNNWOOD  3,SN,153,104
LYNNWOOD  2,SN,130,78
HILLTOP,SN,220,181
ALDERCREST,SN,24,37
LYNNWOOD  9,SN,223,106
LYNNWOOD  8,SN,134,77
CHAPEL,SN,147,85
EDMONDS 14,SN,165,70
EDMONDS  6,SN,263,168
WOODWAY 2,SN,104,105
MAGNOLIA,SN,156,79
EDMONDS 45,SN,176,87
HOLLY,SN,228,105
EDMONDS 50,SN,145,63
PACIFIC,SN,53,20
MOUNTLAKE TERRACE 10,SN,268,144
EDMONDS 12,SN,137,56
MOUNTLAKE TERRACE  8,SN,187,74
MOUNTLAKE TERRACE  9,SN,110,80
EDMONDS 16,SN,171,76
EDMONDS 19,SN,253,102
EDMONDS 15,SN,158,85
MOUNTLAKE TERRACE  7,SN,77,81
ROB,SN,134,79
LYNNWOOD 31(*),SN,0,0
LYNNWOOD 23,SN,189,76
LYNNWOOD 22,SN,134,64
LYNNWOOD 21,SN,171,109
LYNNWOOD 20,SN,179,93
LYNNWOOD 26,SN,183,106
LYNNWOOD 25,SN,217,133
LYNNWOOD 24,SN,155,65
LYNNWOOD 29,SN,223,145
LYNNWOOD 28,SN,98,74
SUMMIT,SN,158,106
EDMONDS 18,SN,214,90
WOODWAY 1,SN,187,161
ANN,SN,177,87
Total,SN,11436,6343
EDMONDS 52,SN,201,76
EDMONDS 48,SN,196,91
LARCH,SN,166,113
EDMONDS 47,SN,123,45
CYPRESS,SN,173,115
RIDGEVIEW,SN,99,55
EDMONDS 42,SN,151,83
EDMONDS 43,SN,241,128
EDMONDS 40,SN,221,94
EDMONDS 41,SN,150,71
LAURA,SN,220,121
EDMONDS 25,SN,199,89
LYNNWOOD 18,SN,178,105
EDMONDS 27,SN,178,97
LYNNWOOD 32(*),SN,0,0
LYNNWOOD 12,SN,181,103
LYNNWOOD 13,SN,118,103
LYNNWOOD 10,SN,103,63
LYNNWOOD 11,SN,173,100
LYNNWOOD 16,SN,154,94
LYNNWOOD 17,SN,232,130
LYNNWOOD 14,SN,136,83
LYNNWOOD 15,SN,127,77
