Row Label,County,Jeff Stevens,Jessie (Weno) Dominguez 
Washtucna City #1,AD,64,27
Batum,AD,60,16
Othello Rural #1,AD,26,50
Hatton Rural,AD,27,4
Ralston,AD,22,11
Othello Rural #6,AD,123,48
Othello Rural #4,AD,74,79
Othello Rural #5,AD,70,24
Ritzville Rural NW,AD,80,59
Fairview,AD,24,2
Benge,AD,14,7
Ritzville Rural SE,AD,74,61
Ritzville Ward #5,AD,64,70
Ritzville Ward #4,AD,77,50
Ritzville Ward #1,AD,57,38
Ritzville Ward #3,AD,83,65
Ritzville Ward #2,AD,46,41
Schrag,AD,24,7
Othello Rural #2,AD,59,45
Othello Rural #3,AD,113,90
Othello City #2,AD,97,92
Othello City #3,AD,79,97
Othello City #1,AD,11,10
Othello City #6,AD,49,60
Othello City #4,AD,108,88
Othello City #5,AD,104,82
Cunningham(*),AD,0,0
Hatton City(*),AD,0,0
Lind #1,AD,93,80
Washtucna Rural,AD,34,17
Lind Rural,AD,52,16
Total,AD,1830,1338
