Row Label,County,Ryan P. Jurvakainen,Sue Baur
Memorial,CZ,145,139
Windemere,CZ,375,294
Olson,CZ,193,131
Modrow,CZ,211,195
Ostrander,CZ,276,220
Baltimore,CZ,216,231
Magnolia,CZ,349,408
Hudson,CZ,209,285
Lake,CZ,204,211
Kessler,CZ,287,293
St. Helens,CZ,101,118
Woodage,CZ,219,133
Arkansas,CZ,121,91
Elk Ridge(*),CZ,0,0
Woodland South,CZ,279,241
Tunstall,CZ,113,78
Brynion,CZ,195,180
Marigold,CZ,276,325
Crawford,CZ,238,200
Chinook,CZ,304,237
Ridgecrest,CZ,22,12
Cloverdale,CZ,200,171
Woodland North,CZ,398,228
Mill,CZ,255,291
Ponderosa,CZ,212,200
Owl Creek,CZ,360,289
Willow Grove,CZ,81,66
Robbins,CZ,317,313
Powell,CZ,225,221
Ocean Beach,CZ,265,201
Sparks,CZ,179,120
Beacon,CZ,379,275
Harris,CZ,255,180
Delameter,CZ,222,198
Ryderwood,CZ,106,103
Redpath,CZ,168,188
Nevada,CZ,231,187
Sandy Bend,CZ,261,203
Mint Valley,CZ,315,380
Burcham,CZ,388,385
Columbia Valley Gdns,CZ,201,156
Lexington,CZ,210,193
Rose Valley,CZ,203,135
Mt. Solo,CZ,70,72
Haussler,CZ,185,132
Silver Lake,CZ,458,285
Ammons,CZ,187,169
Kalama North,CZ,182,190
Yale,CZ,234,133
Bakers,CZ,14,8
Sacajawea,CZ,386,493
Alabama,CZ,148,129
Kalama South,CZ,241,243
Carrolls,CZ,306,190
Caples,CZ,118,72
Lone Oak,CZ,163,139
Lewis River,CZ,407,246
Industrial,CZ,0,0
Castle Rock,CZ,309,294
West Kelso,CZ,63,50
Stella,CZ,234,210
Toutle,CZ,326,227
Tower,CZ,379,315
Columbia Heights,CZ,152,134
Pacific,CZ,272,232
McGowan,CZ,54,52
Hillcrest,CZ,423,381
Boondox,CZ,11,8
View,CZ,188,138
Coal Creek,CZ,410,271
Laurel,CZ,319,284
Douglas(*),CZ,0,0
Total,CZ,16153,13970
