Row Label,County,Mary Yu
ENDICOTT 147,WT,73
LACROSSE IN,WT,85
GARFIELD IN,WT,149
PULLMAN CITY 114,WT,22
PULLMAN 235,WT,288
FARMINGTON 103,WT,22
LAMONT IN,WT,18
PULLMAN 234,WT,64
COLFAX CITY 139,WT,172
PULLMAN CITY 127,WT,26
MALDEN IN,WT,35
PULLMAN CITY 125,WT,16
PULLMAN CITY 124,WT,24
PULLMAN CITY 123,WT,186
PULLMAN CITY 122,WT,101
PULLMAN CITY 121,WT,118
PULLMAN CITY 120,WT,451
UNIONTOWN 109,WT,50
TEKOA 101,WT,40
PULLMAN CITY 129,WT,60
PULLMAN CITY 128,WT,52
COLFAX RURAL 137,WT,174
DUSTY 143,WT,31
ALBION 112,WT,82
COLFAX CITY 142,WT,231
PULLMAN CITY 126,WT,23
COLTON 108,WT,85
COLFAX CITY 141,WT,130
WILCOX 138,WT,88
HAY 144,WT,19
PULLMAN 228,WT,19
ALBION IN,WT,121
COLFAX RURAL 136,WT,96
COLTON IN,WT,143
ROSALIA IN,WT,158
TEKOA IN,WT,161
MALDEN 150,WT,9
HOOPER 145,WT,12
OAKESDALE IN,WT,144
ST JOHN IN,WT,147
LAMONT 148,WT,27
ROSALIA 151,WT,56
ST JOHN 149,WT,139
PULLMAN CITY 135,WT,177
ENDICOTT IN,WT,94
COLFAX CITY 140,WT,154
PULLMAN 218,WT,253
PULLMAN CITY 134,WT,20
OAKESDALE 102,WT,62
PULLMAN CITY 118,WT,240
PULLMAN CITY 119,WT,186
PULLMAN CITY 130,WT,60
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,276
PULLMAN RURAL 111,WT,85
THORNTON 152,WT,47
LACROSSE 146,WT,50
PULLMAN CITY 116,WT,318
PULLMAN CITY 117,WT,126
PALOUSE 107,WT,230
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,135
UNIONTOWN IN,WT,75
STEPTOE 104,WT,73
FARMINGTON IN,WT,55
PULLMAN CITY 113,WT,109
GARFIELD 105,WT,57
Total,WT,7040
