Row Label,County,Bill Benedict
BLUFFS 210,CM,204
PORT ANGELES 109,CM,491
PORT ANGELES 108,CM,211
BELLEVIEW 205,CM,403
CARLSBORG 214,CM,263
PORT ANGELES 103,CM,447
PORT ANGELES 102,CM,419
PORT ANGELES 101,CM,257
OLYMPIC 254,CM,252
PORT ANGELES 107,CM,451
PORT ANGELES 106,CM,313
PORT ANGELES 105,CM,400
PORT ANGELES 104,CM,302
AGNEW 201,CM,292
JAMESTOWN 240,CM,222
FRESHWATER BAY 233,CM,432
DUNGENESS EAST 222,CM,437
SUN 269,CM,103
CLARK 216,CM,131
MOUNT PLEASANT 251,CM,320
PORT WILLIAMS 258,CM,205
MILLER PENINSULA 246,CM,180
ELK 229,CM,82
FAIRVIEW 232,CM,370
OBRIEN 253,CM,298
HAPPY VALLEY 237,CM,172
EAGLE 226,CM,287
COYOTE 218,CM,416
BOGACHIEL 212,CM,112
ROBIN HILL 266,CM,274
PRAIRIE NORTH 259,CM,296
JOYCE 241,CM,386
NEAH BAY 252,CM,159
SEQUIM 406,CM,324
MADISON CREEK 248,CM,127
FORKS 301,CM,190
DEER PARK 220,CM,381
DIAMOND POINT 221,CM,367
BEAVER 204,CM,206
MONTERRA 249,CM,367
PORT ANGELES 110,CM,113
PORT ANGELES 111,CM,461
PORT ANGELES 112,CM,271
PORT ANGELES 113,CM,257
QUILEUTE 262,CM,110
CLINE 217,CM,356
FORKS 302,CM,244
BELL HILL 207,CM,379
PRAIRIE SOUTH 260,CM,362
MOUNT ANGELES 250,CM,212
SUNLAND NORTH 270,CM,414
BLYN 211,CM,281
DUNGENESS WEST 223,CM,186
BLUE MOUNTAIN 209,CM,361
MACLEAY 247,CM,342
SEQUIM 404,CM,460
SEQUIM 405,CM,304
SEQUIM 402,CM,199
SEQUIM 403,CM,354
DRY CREEK 224,CM,307
CLALLAM BAY 215,CM,170
LOST MOUNTAIN 245,CM,208
SEQUIM 401,CM,190
RIVERSIDE 265,CM,338
BLACK DIAMOND 208,CM,211
SUNLAND SOUTH 271,CM,264
ELWHA 230,CM,92
Total,CM,18995
