Row Label,County,Edward E. Wolfe,Linda Streissguth
LEMOLO 435,KP,217,209
ANNAPOLIS 212,KP,336,298
MEADOWDALE 150,KP,224,138
BELLA VISTA 413,KP,220,195
LIGHTHOUSE POINT 292,KP,311,213
CLEAR CREEK 120,KP,268,183
AUGUSTA 461,KP,102,196
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,196,154
TORVANGER 345,KP,176,460
BREMERTON 012,KP,45,57
BREMERTON 013,KP,155,218
BREMERTON 015,KP,215,227
BREMERTON 016,KP,35,69
WINSLOW 304,KP,187,664
HIGHLAND 423,KP,160,146
LAKE HELENA 214,KP,272,160
DICKENSON 282,KP,305,175
UNIVERSITY POINT 142,KP,192,141
SANDY HOOK 464,KP,166,197
BARKER CREEK 147,KP,312,257
BAYVIEW 087,KP,67,66
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,142,326
EVERGREEN RIDGE 426,KP,120,77
REGAL 131,KP,74,54
COUNTRY CLUB 113,KP,157,120
POULSBO 405,KP,213,305
POULSBO 404,KP,277,277
POULSBO 407,KP,211,212
POULSBO 406,KP,306,310
SEDGWICK 272,KP,308,221
BERRY LAKE 279,KP,178,142
POULSBO 403,KP,221,225
EBBERT 247,KP,318,209
ILLAHEE 065,KP,303,242
COTTONWOOD 125,KP,232,184
MARION 090,KP,44,43
OLYMPIC 099,KP,30,29
KITSAP LAKE 085(*),KP,0,0
GILBERTON 140,KP,225,182
STRIEBEL 453,KP,259,264
AZALEA 302,KP,143,461
YUKON 241,KP,201,181
FOREST RIDGE 126,KP,161,129
FAIRVIEW 135,KP,176,117
ANDERSON CREEK 163,KP,271,157
PORT GAMBLE 450,KP,245,249
RAINIER 067,KP,299,229
BRASCH 213,KP,327,187
GAMBLEWOOD 454,KP,176,164
CENTRAL VALLEY 128,KP,292,233
HOLLY 158,KP,77,57
BURLEY 218,KP,304,238
LUOTO 122,KP,177,96
POINT JEFFERSON 419,KP,202,218
BREMERTON 296,KP,0,0
MORKEN 161,KP,390,272
INDIANOLA 420,KP,189,464
TWIN LAKES 285,KP,94,50
BELFAIR VALLEY 280,KP,112,61
KARIOTIS 143,KP,255,224
TRACYTON 170,KP,190,156
ROCKY POINT 083,KP,328,277
HERITAGE PARK 112,KP,209,159
BREMERTON 294,KP,0,0
ORCA 421,KP,155,205
MINTERBROOK 216,KP,150,86
ALASKA 221,KP,309,296
GLENWOOD 232,KP,422,209
MEADOWMEER 321,KP,62,170
APEX 162,KP,387,199
OLALLA 265,KP,219,172
WINSTON 129,KP,125,91
RIDGETOP 149,KP,215,146
EAGLE CREST 164,KP,332,235
LOCKER 246,KP,374,280
BROWNSVILLE 105,KP,395,263
KINGSTON 430,KP,333,403
VENA 173,KP,205,213
CEDAR 211,KP,235,201
BREMERTON 041,KP,160,191
BREMERTON 040,KP,167,241
POULSBO 401,KP,328,301
BREMERTON 046,KP,198,224
CAMBRIDGE 144,KP,190,122
BREMERTON 056,KP,191,183
TWIN SPITS 417,KP,281,320
BIG VALLEY 441,KP,212,170
CHARLAND 110,KP,218,145
SKIFF POINT 328,KP,110,325
LOST HIGHWAY 157,KP,335,182
TRIDENT 101,KP,74,30
WILSON CREEK 242,KP,241,197
