Row Label,County,Tom Dent,Dannette (Dani) Bolyard
HARRINGTON IN,LI,67,65
LONG LAKE,LI,50,16
S REARDAN RURAL,LI,29,20
DAVENPORT RURAL,LI,66,24
IRBY,LI,21,7
KELLER,LI,46,16
LAMONA,LI,21,5
HAWK CREEK,LI,36,31
EDWALL,LI,39,29
MOHLER,LI,40,10
EGYPT,LI,73,35
WEST LARENE,LI,28,13
SPRAGUE RURAL,LI,74,28
WHEATLAND,LI,59,27
EAST LARENE,LI,66,23
GRAVELLE,LI,22,10
GRAND COULEE,LI,18,11
REARDAN IN,LI,119,81
PEACH,LI,95,29
ALMIRA RURAL,LI,20,13
N REARDAN RURAL,LI,26,16
HARR RURAL,LI,31,22
GOVAN,LI,14,6
LAKEVIEW,LI,71,41
ODESSA IN,LI,196,127
SPRAGUE IN,LI,69,49
RIVERVIEW,LI,74,63
ENOS,LI,15,5
LAYTON,LI,11,6
CANBY,LI,19,16
EARL,LI,25,5
WILBUR RURAL,LI,79,16
WAUKON,LI,34,10
WILBUR IN,LI,198,131
DOWNS,LI,20,3
SHERMAN,LI,42,20
MONDOVI,LI,47,28
ALMIRA IN,LI,44,47
SPRING CREEK,LI,52,21
SEVEN BAYS,LI,41,23
CRESTON RURAL,LI,35,17
CRESTON IN,LI,48,33
ODESSA RURAL,LI,78,16
WILSON CREEK,LI,28,5
Total,LI,2647,1460
DAVENPORT IN,LI,346,238
BLUESTEM,LI,15,3
