Row Label,County,Cary Condotta
PRECINCT 107,DG,142
PRECINCT 106,DG,142
PRECINCT 105,DG,108
PRECINCT 104,DG,399
PRECINCT 103,DG,73
PRECINCT 102,DG,312
PRECINCT 101,DG,181
PRECINCT 109,DG,114
PRECINCT 108,DG,155
PRECINCT 305,DG,139
PRECINCT 304,DG,51
PRECINCT 307,DG,46
PRECINCT 306,DG,145
PRECINCT 208,DG,133
PRECINCT 209,DG,256
PRECINCT 303,DG,162
PRECINCT 302,DG,285
PRECINCT 204,DG,253
PRECINCT 205,DG,329
PRECINCT 206,DG,144
PRECINCT 207,DG,278
PRECINCT 309,DG,74
PRECINCT 201,DG,182
PRECINCT 202,DG,74
PRECINCT 203,DG,229
PRECINCT 311,DG,127
PRECINCT 310,DG,103
PRECINCT 316,DG,230
PRECINCT 308,DG,40
PRECINCT 314,DG,44
PRECINCT 315,DG,275
PRECINCT 114,DG,133
PRECINCT 110,DG,219
PRECINCT 111,DG,294
PRECINCT 112,DG,159
PRECINCT 113,DG,166
PRECINCT 318,DG,84
PRECINCT 312,DG,161
PRECINCT 313,DG,53
PRECINCT 215,DG,217
PRECINCT 214,DG,61
PRECINCT 213,DG,153
PRECINCT 212,DG,173
PRECINCT 211,DG,68
PRECINCT 210,DG,91
PRECINCT 317,DG,364
PRECINCT 301,DG,334
Total,DG,7955
