Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Ephrata 7 012,GR,208,58
Hartline Rural S 020,GR,14,8
Moses Lake 5 029,GR,208,57
Ephrata 9 013,GR,350,96
Beverly 002,GR,19,9
East Wahluke 061,GR,59,17
Royal City 044,GR,76,21
Moses Lake 2 067,GR,176,50
Marlin 024,GR,10,7
Lakeview Park 021,GR,181,63
Moses Lake 9  068,GR,222,64
Coulee City 005,GR,127,43
North Banks Lake 037,GR,50,13
Ephrata Rural E,GR,174,61
Moses Lake 7 033,GR,267,82
George 015,GR,23,12
Mae 023,GR,524,171
Ruff 045,GR,26,13
Cascade Valley 058,GR,368,107
Wilson Crk Rural 056,GR,20,6
Electric City 007,GR,223,59
Coulee Cty Rur N 072,GR,44,15
Moses Lake 1 066,GR,150,41
Smyrna 2 060,GR,16,2
Hartline 019,GR,43,10
Moses Lake 4 031,GR,193,63
Cascade Fairgrnd 004,GR,159,50
Warden 050,GR,128,37
Ephrata 5 008,GR,190,51
Quincy 4 040,GR,100,25
Ephrata 4 011,GR,276,75
Quincy 1 039,GR,172,56
Stratford 049,GR,30,6
Westslope 1 053,GR,57,25
McConihe 1 028,GR,125,35
Marlin Rural 025,GR,25,8
Coulee Cty Rur W 006,GR,57,17
Coulee Cty Rur E 062,GR,13,7
Moses Lake 6 032,GR,303,107
Wheeler 2 070,GR,375,108
Longview 022,GR,228,85
Greenfield 065,GR,33,10
Mattawa Rural 027,GR,273,114
Airport 2 057,GR,124,51
Soap Lake 1 047,GR,115,53
Airport 1 001,GR,167,58
Grand Coulee 018,GR,155,78
Moses Lake 12 036,GR,244,80
Gloyd 017,GR,171,78
Hartline Rural N 073,GR,26,3
Smyrna 1 046,GR,84,15
Westslope 2 059,GR,53,15
Moses Lake 3 030,GR,348,81
Mattawa 026,GR,33,7
O Sullivan Dam 2 069,GR,382,129
Soap Lake 2 052,GR,108,45
Quincy Rural S 064,GR,355,89
Ephrata Rural ,GR,148,70
Ephrata 3 010,GR,162,52
Wheeler 1 054,GR,127,43
Warden Rural 051,GR,246,73
George Rural 016,GR,344,82
McConihe 2 063,GR,101,34
Quincy 6 041,GR,317,61
Block 71 003,GR,377,79
Wilson Creek 055,GR,49,16
Quincy Rural N 042,GR,144,38
Moses Lake 8 034,GR,329,102
O Sullivan Dam 1 038,GR,301,90
Soap Lake Rur E ,GR,55,20
Royal Camp 043,GR,283,99
Total,GR,12532,3821
Soap Lake Rur W ,GR,213,71
Ephrata 2 009,GR,238,46
Moses Lake 11 035,GR,418,99
