Row Label,County,Peggy Semprimoznik
HARRINGTON IN,LI,126
LONG LAKE,LI,60
S REARDAN RURAL,LI,46
DAVENPORT RURAL,LI,81
IRBY,LI,22
KELLER,LI,56
LAMONA,LI,24
HAWK CREEK,LI,57
EDWALL,LI,65
MOHLER,LI,45
EGYPT,LI,104
WEST LARENE,LI,33
SPRAGUE RURAL,LI,97
WHEATLAND,LI,73
EAST LARENE,LI,76
GRAVELLE,LI,33
GRAND COULEE,LI,29
REARDAN IN,LI,191
PEACH,LI,117
ALMIRA RURAL,LI,31
N REARDAN RURAL,LI,37
HARR RURAL,LI,52
GOVAN,LI,19
LAKEVIEW,LI,104
ODESSA IN,LI,299
SPRAGUE IN,LI,108
RIVERVIEW,LI,126
ENOS,LI,8
LAYTON,LI,17
CANBY,LI,33
EARL,LI,30
WILBUR RURAL,LI,83
WAUKON,LI,40
WILBUR IN,LI,315
DOWNS,LI,20
SHERMAN,LI,58
MONDOVI,LI,68
ALMIRA IN,LI,83
SPRING CREEK,LI,68
SEVEN BAYS,LI,57
CRESTON RURAL,LI,45
CRESTON IN,LI,74
ODESSA RURAL,LI,76
WILSON CREEK,LI,31
Total,LI,3758
DAVENPORT IN,LI,525
BLUESTEM,LI,16
