Row Label,County,Karen Donohue,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,111,527,108,221,0,2
SEA 46-2344,KI,192,760,137,329,0,0
SEA 46-2311,KI,147,451,108,256,0,1
SEA 34-3648,KI,125,470,114,240,0,1
SEA 46-1968,KI,89,297,88,177,0,0
SEA 36-1391,KI,119,439,141,262,0,2
SEA 36-1390,KI,89,290,102,191,0,0
SEA 36-1393,KI,106,297,103,209,0,0
SEA 36-1392,KI,131,411,124,255,0,0
SEA 36-1395,KI,135,444,140,276,0,1
SEA 36-1394,KI,149,559,185,336,0,2
SEA 36-1397,KI,98,357,133,233,0,2
SEA 36-1396,KI,80,282,83,166,0,3
SEA 36-1399,KI,110,296,95,205,0,0
SEA 36-1816,KI,95,303,77,172,0,0
SEA 46-3687,KI,70,220,73,143,0,0
SEA 43-2017,KI,118,430,147,267,0,2
SEA 37-3416,KI,75,502,52,134,0,7
SEA 36-1403,KI,96,497,136,234,0,2
SEA 36-1402,KI,101,381,104,206,0,1
SEA 43-2013,KI,83,310,132,216,0,1
SEA 43-2011,KI,89,278,99,189,0,1
SEA 46-2353,KI,126,488,71,199,0,2
SEA 46-2096,KI,80,230,82,162,0,0
SEA 43-2018,KI,164,559,199,363,0,0
SEA 34-3637,KI,182,567,126,309,0,1
SEA 46-2097,KI,111,400,146,257,0,0
SEA 34-3632,KI,58,271,41,99,0,0
SEA 46-2276,KI,109,382,140,250,0,1
SEA 43-1351,KI,151,561,163,315,0,1
SEA 37-1936,KI,109,296,112,222,0,1
SEA 43-1353,KI,127,449,132,260,0,1
SEA 43-1352,KI,155,608,166,322,0,1
SEA 43-1355,KI,126,401,116,244,0,2
SEA 43-1354,KI,121,435,118,240,0,1
SEA 43-1357,KI,101,355,90,192,0,1
SEA 43-2049,KI,78,453,128,208,0,2
SEA 43-1359,KI,152,518,138,291,0,1
SEA 43-1358,KI,102,418,120,224,0,2
SEA 37-1934,KI,237,784,232,472,0,3
SEA 37-1935,KI,83,291,121,204,0,0
SEA 37-3647,KI,81,447,61,146,0,4
SEA 43-2059,KI,125,424,127,252,0,0
SEA 37-3159,KI,222,845,159,383,0,2
SEA 46-2271,KI,149,476,167,319,0,3
SEA 46-2347,KI,137,519,143,281,0,1
SEA 46-1952,KI,79,281,100,179,0,0
SEA 46-1953,KI,96,236,79,175,0,0
SEA 46-1954,KI,98,282,104,203,0,1
SEA 37-1638,KI,78,505,83,162,0,1
SEA 36-1308,KI,79,298,113,193,0,1
SEA 36-1309,KI,147,556,179,328,0,2
SEA 36-1306,KI,113,381,127,240,0,0
SEA 36-1307,KI,83,276,91,174,0,0
SEA 36-1304,KI,113,333,119,234,0,2
SEA 36-1305,KI,95,301,111,206,0,0
SEA 37-1631,KI,89,301,98,187,0,0
SEA 36-1303,KI,117,411,150,269,0,2
SEA 36-1300,KI,110,383,104,214,0,0
SEA 36-1301,KI,89,319,129,218,0,0
SEA 36-1715,KI,82,355,88,172,0,2
SEA 36-1714,KI,155,526,164,321,0,2
SEA 36-1717,KI,64,251,70,134,0,0
SEA 36-1716,KI,70,357,107,177,0,0
SEA 36-1711,KI,180,760,195,379,0,4
SEA 36-1710,KI,74,351,81,157,0,2
SEA 36-1713,KI,85,362,90,176,0,1
SEA 36-1712,KI,137,463,132,269,0,0
SEA 36-2147,KI,152,489,184,338,0,2
SEA 36-1719,KI,151,510,147,299,0,1
SEA 36-1718,KI,61,318,92,155,0,2
SEA 37-1834,KI,96,386,88,188,0,4
SEA 46-1404,KI,108,441,108,217,0,1
SEA 46-2371,KI,196,656,172,371,0,3
SEA 34-3263,KI,97,415,95,194,0,2
SEA 34-3265,KI,91,353,76,168,0,1
SEA 34-3264,KI,102,340,76,180,0,2
SEA 34-3266,KI,65,311,51,117,0,1
SEA 46-2285,KI,112,286,98,211,0,1
SEA 11-1928,KI,57,298,86,145,0,2
SEA 43-2850,KI,87,359,94,182,0,1
SEA 37-1938,KI,99,394,147,247,0,1
SEA 46-2283,KI,99,348,113,214,0,2
SEA 36-1398,KI,135,503,129,265,0,1
SEA 46-2326,KI,127,574,144,271,0,0
SEA 46-2327,KI,104,381,85,190,0,1
SEA 46-2324,KI,113,432,122,237,0,2
SEA 43-2047,KI,183,662,218,403,0,2
SEA 46-2289,KI,75,338,127,203,0,1
SEA 46-2323,KI,139,554,170,310,0,1
SEA 46-2320,KI,100,350,120,222,0,2
SEA 46-2321,KI,105,333,119,225,0,1
SEA 37-3694,KI,17,92,27,44,0,0
SEA 43-1368,KI,75,292,108,184,0,1
SEA 34-1461,KI,130,399,136,268,0,2
SEA 36-1273,KI,79,279,122,201,0,0
SEA 34-1508,KI,90,295,92,182,0,0
SEA 34-1509,KI,81,281,95,177,0,1
SEA 34-1465,KI,141,372,110,251,0,0
SEA 34-1464,KI,107,359,137,245,0,1
SEA 34-1467,KI,159,551,180,339,0,0
SEA 34-1466,KI,96,303,82,179,0,1
SEA 34-1502,KI,99,342,123,223,0,1
