Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Dan Satterberg
ISS 41-3554,KI,416,76,281,0,1,204
KEN 33-3232,KI,502,58,204,0,8,138
SEA 46-1968,KI,297,65,177,0,6,106
SEA 36-1391,KI,439,123,262,0,4,135
SEA 36-1390,KI,290,92,191,0,4,95
SEA 36-1393,KI,297,100,209,0,5,104
SEA 36-1392,KI,411,120,255,0,14,121
SEA 36-1395,KI,444,127,276,0,14,135
SEA 36-1394,KI,559,165,336,0,11,160
SEA 36-1397,KI,357,127,233,0,5,101
SEA 36-1396,KI,282,84,166,0,8,74
SEA 36-1399,KI,296,82,205,0,0,123
SEA 36-1398,KI,503,123,265,0,7,135
COV 47-2843,KI,792,110,395,0,11,274
BILOXI,KI,430,117,287,0,9,161
SHL 32-1209,KI,478,113,262,0,11,138
SEA 46-3687,KI,220,49,143,0,1,93
KIR 48-2731,KI,483,81,233,0,3,149
SEA 36-1403,KI,497,115,234,0,8,111
SEA 36-1402,KI,381,97,206,0,4,105
KEN 47-0835,KI,645,98,276,0,5,173
M-V 05-3368,KI,748,98,350,0,8,244
SEA 34-3637,KI,567,110,309,0,9,190
FED 30-3236,KI,746,107,351,0,7,237
FED 30-3237,KI,745,106,376,1,5,264
FED 30-3234,KI,382,50,163,0,3,110
FED 30-3235,KI,400,58,172,0,5,109
FED 30-3238,KI,359,41,148,0,9,98
SEA 37-1936,KI,296,81,222,0,1,140
BEL 48-2559,KI,431,71,259,0,3,185
SEA 37-1934,KI,784,236,472,0,16,220
AUB 30-0067,KI,430,49,164,0,5,110
WINTERGREEN,KI,279,39,161,0,2,120
TROUT LAKE,KI,719,72,352,0,8,272
SEA 34-1502,KI,342,93,223,0,8,122
ISS 05-0550,KI,300,53,172,0,3,116
SHL 32-0423,KI,389,74,224,0,9,141
SHL 32-0920,KI,314,74,188,0,2,112
SEA 37-1638,KI,505,74,162,0,2,86
SHL 32-0424,KI,318,55,192,0,4,133
SEA 37-1635,KI,524,89,199,0,10,100
SEA 37-1634,KI,473,74,191,0,6,111
SEA 37-1637,KI,760,92,295,0,11,192
SEA 37-1636,KI,586,72,217,0,6,139
SEA 37-1631,KI,301,69,187,0,2,116
GRAFF,KI,105,22,64,0,0,42
SEA 37-1633,KI,329,78,163,0,5,80
SEA 37-1632,KI,292,63,173,0,5,105
SEA 36-1715,KI,355,84,172,0,8,80
SEA 36-1714,KI,526,148,321,0,7,166
SEA 36-1717,KI,251,50,134,0,4,80
SEA 36-1716,KI,357,89,177,0,6,82
SEA 36-1711,KI,760,175,379,0,16,188
SEA 36-1710,KI,351,71,157,0,2,84
SEA 36-1713,KI,362,83,176,0,2,91
SEA 36-1712,KI,463,102,269,0,6,161
KMR 46-1181,KI,295,51,169,0,1,117
SEA 36-1719,KI,510,117,299,0,16,166
SEA 36-1718,KI,318,76,155,0,0,79
