Row Label,County,Irene Bowling,Tim Sheldon
Griffin,TH,172,155
Scott Lake South,TH,113,129
Delphi,TH,165,155
Evergreen Shores,TH,127,153
Black River,TH,187,279
Gallagher Cove,TH,250,278
Frye Cove,TH,202,193
Scheller,TH,73,81
Black Lake,TH,206,244
Mud Bay,TH,194,129
Mclane,TH,140,125
Greenridge,TH,100,110
Steamboat Island,TH,148,125
Tilley,TH,153,211
Littlerock,TH,203,313
Indian Summer,TH,181,189
Hunter Point,TH,112,103
Violet Prairie,TH,131,262
Schneiders Prairie,TH,139,142
Munn Lake,TH,93,96
Alpine,TH,287,272
Hays,TH,127,119
Hewitt Lake,TH,258,163
Salmon Creek,TH,89,109
Wards,TH,100,49
South Union,TH,200,236
Lakeside,TH,74,98
Trails End,TH,286,292
Chambers,TH,219,291
Delridge,TH,44,45
Tumwater 29,TH,0,0
Beaver Creek,TH,209,366
Sweet Briar,TH,241,213
Waddell Creek,TH,134,143
Wilderness,TH,272,179
Prine,TH,20,44
East Olympia,TH,140,163
Scott Lake North,TH,72,72
Camelot,TH,109,118
Henness,TH,182,338
Summit Lake,TH,120,176
Total,TH,6476,7136
Oyster Bay,TH,204,178
