Row Label,County,Randy A. Brandt,Aimee Maurer
PCT 3329,SP,110,191
PCT 4448,SP,154,179
PCT 3323,SP,173,215
PCT 3322,SP,128,181
PCT 3321,SP,168,223
PCT 3320,SP,106,199
PCT 3327,SP,100,165
PCT 3326,SP,61,97
PCT 4438,SP,287,274
PCT 4439,SP,204,220
PCT 3325,SP,151,305
PCT 4432,SP,206,208
PCT 4433,SP,140,140
PCT 4430,SP,252,211
PCT 3324,SP,135,231
PCT 4436,SP,304,242
PCT 4437,SP,235,243
PCT 4434,SP,310,268
PCT 4435,SP,225,198
PCT 7028,SP,306,219
PCT 7029,SP,176,198
PCT 7020,SP,244,176
PCT 7021,SP,125,135
PCT 7022,SP,168,153
PCT 7023,SP,161,169
PCT 7024,SP,284,218
PCT 7025,SP,220,160
PCT 7026,SP,219,194
PCT 7027,SP,154,175
PCT 3222,SP,53,132
PCT 3223,SP,82,180
PCT 3220,SP,214,227
PCT 3221,SP,187,247
PCT 6221,SP,212,277
PCT 6220,SP,199,259
PCT 6223,SP,257,226
PCT 6222,SP,170,151
PCT 6225,SP,209,257
PCT 6224,SP,162,231
PCT 3128,SP,134,184
PCT 3121,SP,142,152
PCT 3120,SP,165,162
PCT 3123,SP,134,150
PCT 3122,SP,168,202
PCT 3125,SP,121,165
PCT 3124,SP,131,193
PCT 3127,SP,141,144
PCT 3126,SP,32,39
PCT 9400,SP,18,11
PCT 4034,SP,150,150
PCT 4035,SP,139,107
PCT 4032,SP,134,112
PCT 4033,SP,168,136
PCT 4030,SP,141,131
PCT 4031,SP,161,143
PCT 6315,SP,97,145
PCT 6314,SP,177,217
PCT 6317,SP,131,178
PCT 6316,SP,75,110
PCT 6311,SP,186,146
PCT 6310,SP,194,171
PCT 6313,SP,189,249
PCT 6312,SP,174,165
PCT 6318,SP,184,146
PCT 6009,SP,160,165
PCT 6008,SP,183,153
PCT 9700,SP,61,66
PCT 6001,SP,168,205
PCT 6000,SP,131,136
PCT 6003,SP,207,211
PCT 6002,SP,54,55
PCT 6005,SP,188,162
PCT 6004,SP,144,134
PCT 6007,SP,195,161
PCT 6006,SP,199,174
PCT 3301,SP,279,263
PCT 3300,SP,171,176
PCT 3303,SP,149,220
PCT 3302,SP,180,220
PCT 3305,SP,146,166
PCT 3304,SP,181,210
PCT 3307,SP,124,147
PCT 3306,SP,200,180
PCT 3309,SP,177,195
PCT 3308,SP,174,212
PCT 6500,SP,28,55
PCT 6218,SP,182,188
PCT 6219,SP,226,193
PCT 6210,SP,238,262
PCT 6211,SP,135,174
PCT 6212,SP,101,159
PCT 6213,SP,218,245
PCT 6214,SP,137,218
PCT 6215,SP,173,300
PCT 6216,SP,168,225
PCT 6217,SP,204,266
PCT 3110,SP,110,143
PCT 3111,SP,120,130
PCT 3112,SP,11,7
PCT 3113,SP,168,200
PCT 3114,SP,156,195
PCT 3115,SP,160,181
PCT 3116,SP,177,181
PCT 3117,SP,119,124
PCT 3118,SP,115,115
PCT 3119,SP,129,160
PCT 4429,SP,216,237
PCT 4428,SP,133,165
PCT 4425,SP,149,166
PCT 4424,SP,193,189
PCT 4427,SP,264,244
PCT 4426,SP,113,121
PCT 4421,SP,137,168
PCT 4420,SP,99,86
PCT 4423,SP,295,246
PCT 4422,SP,235,192
PCT 7033,SP,146,123
PCT 7032,SP,195,224
PCT 7031,SP,181,194
PCT 7030,SP,220,191
PCT 7036,SP,147,159
PCT 7035,SP,139,113
PCT 7034,SP,150,109
PCT 6602,SP,178,198
PCT 6601,SP,149,173
PCT 6600,SP,139,227
PCT 6030,SP,267,266
PCT 6031,SP,148,150
PCT 6032,SP,108,109
PCT 6033,SP,277,273
PCT 6034,SP,212,211
PCT 6035,SP,121,116
PCT 6036,SP,98,145
PCT 6037,SP,118,95
PCT 4450,SP,107,101
PCT 4451,SP,139,184
PCT 4452,SP,141,167
PCT 4453,SP,204,191
PCT 4454,SP,150,138
PCT 4455,SP,172,144
PCT 4029,SP,199,169
PCT 4028,SP,261,233
PCT 4021,SP,215,212
PCT 4020,SP,224,211
PCT 4023,SP,67,95
PCT 4022,SP,170,173
PCT 4025,SP,159,185
PCT 4024,SP,152,134
PCT 4027,SP,192,159
PCT 4026,SP,159,154
PCT 4431,SP,165,193
PCT 4414,SP,247,251
PCT 4415,SP,168,163
PCT 4416,SP,205,193
PCT 4417,SP,127,137
PCT 4410,SP,216,217
PCT 4411,SP,225,210
PCT 4412,SP,170,149
PCT 4413,SP,186,223
PCT 4418,SP,202,200
PCT 4419,SP,236,189
PCT 4201,SP,84,105
PCT 4200,SP,151,167
PCT 9600,SP,34,22
PCT 6100,SP,108,117
PCT 6101,SP,171,167
PCT 6102,SP,184,166
PCT 6103,SP,62,82
PCT 6104,SP,112,147
PCT 6105,SP,152,152
PCT 6106,SP,217,220
PCT 6107,SP,107,139
PCT 6108,SP,136,151
PCT 6109,SP,105,107
PCT 3208,SP,197,166
PCT 3209,SP,200,245
PCT 3200,SP,98,171
PCT 3201,SP,149,251
PCT 3202,SP,95,119
PCT 3203,SP,114,231
PCT 3204,SP,76,182
PCT 3205,SP,125,198
PCT 3206,SP,91,194
PCT 3207,SP,73,116
PCT 6209,SP,130,259
PCT 6208,SP,201,274
PCT 6203,SP,178,297
PCT 6202,SP,169,239
PCT 6201,SP,108,215
PCT 6200,SP,211,299
PCT 6207,SP,249,238
PCT 6206,SP,172,316
PCT 6205,SP,162,311
PCT 6204,SP,217,355
PCT 3103,SP,108,133
PCT 3102,SP,87,116
PCT 3101,SP,129,132
PCT 3100,SP,127,174
PCT 3107,SP,143,191
PCT 3106,SP,152,150
PCT 3105,SP,141,145
PCT 3104,SP,144,190
PCT 3109,SP,129,156
PCT 3108,SP,114,121
PCT 4010,SP,205,172
PCT 4011,SP,313,233
PCT 4012,SP,324,265
PCT 4013,SP,215,140
PCT 4014,SP,132,147
PCT 4015,SP,139,149
PCT 4016,SP,193,205
PCT 4017,SP,251,242
PCT 4018,SP,135,125
PCT 4019,SP,167,144
PCT 6704,SP,165,185
PCT 6702,SP,105,143
PCT 6703,SP,122,203
PCT 6700,SP,142,204
PCT 6701,SP,143,204
PCT 7008,SP,234,232
PCT 7009,SP,285,263
