Row Label,County,Mary E. Fairhurst,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,176,416,102,281,0,3
KEN 33-3232,KI,130,502,74,204,0,0
SEA 46-1968,KI,105,297,71,177,0,1
SEA 36-1391,KI,135,439,124,262,0,3
SEA 36-1390,KI,100,290,90,191,0,1
SEA 36-1393,KI,122,297,86,209,0,1
SEA 36-1392,KI,145,411,110,255,0,0
SEA 36-1395,KI,147,444,127,276,0,2
SEA 36-1394,KI,167,559,166,336,0,3
SEA 36-1397,KI,112,357,120,233,0,1
SEA 36-1396,KI,81,282,82,166,0,3
SEA 36-1399,KI,128,296,76,205,0,1
SEA 36-1398,KI,148,503,115,265,0,2
COV 47-2843,KI,228,792,165,395,0,2
BILOXI,KI,161,430,125,287,0,1
SHL 32-1209,KI,147,478,112,262,0,3
SEA 46-3687,KI,73,220,70,143,0,0
KIR 48-2731,KI,135,483,96,233,0,2
SEA 36-1403,KI,108,497,123,234,0,3
SEA 36-1402,KI,111,381,95,206,0,0
KEN 47-0835,KI,158,645,117,276,0,1
M-V 05-3368,KI,192,748,155,350,0,3
SEA 34-3637,KI,185,567,121,309,0,3
FED 30-3236,KI,228,746,120,351,0,3
FED 30-3237,KI,218,745,147,376,0,11
FED 30-3234,KI,107,382,56,163,0,0
FED 30-3235,KI,105,400,64,172,0,3
FED 30-3238,KI,101,359,46,148,0,1
SEA 37-1936,KI,122,296,100,222,0,0
BEL 48-2559,KI,155,431,102,259,0,2
SEA 37-1934,KI,255,784,212,472,0,5
AUB 30-0067,KI,109,430,54,164,0,1
WINTERGREEN,KI,98,279,63,161,0,0
TROUT LAKE,KI,211,719,134,352,0,7
SEA 34-1502,KI,107,342,113,223,0,3
ISS 05-0550,KI,95,300,72,172,0,5
SHL 32-0423,KI,120,389,103,224,0,1
SHL 32-0920,KI,97,314,90,188,0,1
SEA 37-1638,KI,90,505,71,162,0,1
SHL 32-0424,KI,113,318,77,192,0,2
SEA 37-1635,KI,117,524,79,199,0,3
SEA 37-1634,KI,104,473,86,191,0,1
SEA 37-1637,KI,197,760,94,295,0,4
SEA 37-1636,KI,150,586,62,217,0,5
SEA 37-1631,KI,95,301,91,187,0,1
GRAFF,KI,32,105,32,64,0,0
SEA 37-1633,KI,90,329,72,163,0,1
SEA 37-1632,KI,101,292,70,173,0,2
SEA 36-1715,KI,82,355,88,172,0,2
SEA 36-1714,KI,178,526,141,321,0,2
SEA 36-1717,KI,67,251,67,134,0,0
SEA 36-1716,KI,81,357,95,177,0,1
SEA 36-1711,KI,211,760,165,379,0,3
SEA 36-1710,KI,85,351,71,157,0,1
SEA 36-1713,KI,86,362,88,176,0,2
SEA 36-1712,KI,162,463,107,269,0,0
KMR 46-1181,KI,100,295,66,169,0,3
SEA 36-1719,KI,177,510,118,299,0,4
SEA 36-1718,KI,74,318,78,155,0,3
TUK 11-2949,KI,145,585,78,225,0,2
AUB 47-0059,KI,206,678,158,365,0,1
RNT 11-2815,KI,138,677,75,215,0,2
KIR 45-2679,KI,196,614,181,379,0,2
AUB 47-0055,KI,91,391,64,156,0,1
SEA 11-1928,KI,67,298,75,145,0,3
SEA 43-2850,KI,102,359,78,182,0,2
SHL 32-0527,KI,182,626,88,274,0,4
KIR 45-2471,KI,272,720,175,453,0,6
KEN 47-0498,KI,58,231,35,94,0,1
SHL 32-0335,KI,112,414,81,195,0,2
PTARMIGAN,KI,111,344,79,195,0,5
SPRING LAKE,KI,208,745,221,431,0,2
SEA 36-2170,KI,149,450,134,285,0,2
SEA 36-2171,KI,170,491,155,329,0,4
SEA 36-2172,KI,113,319,101,214,0,0
AUB 31-0078,KI,109,404,84,193,0,0
ALDARRA,KI,215,711,215,434,0,4
SEA 46-2338,KI,161,543,97,260,0,2
BIG BEND,KI,61,216,62,124,0,1
AUB 31-0070,KI,192,655,73,267,0,2
KIR 45-2786,KI,135,351,100,236,0,1
SEA 46-2290,KI,93,289,102,195,0,0
WOD 45-3530,KI,234,692,128,364,0,2
SEA 46-2291,KI,129,387,74,204,0,1
BEL 48-2778,KI,91,243,57,148,0,0
BETTY,KI,175,775,86,263,0,2
BEL 48-2773,KI,82,287,60,142,0,0
BEL 48-2772,KI,121,345,82,205,0,2
SEA 46-2295,KI,162,481,148,310,0,0
BEL 48-2777,KI,64,229,25,89,0,0
BEL 48-2776,KI,170,495,101,274,0,3
BEL 48-2775,KI,144,478,116,264,0,4
BEL 48-2774,KI,116,434,69,186,0,1
SEA 36-3153,KI,120,390,67,187,0,0
MERLIN,KI,110,411,52,170,0,8
SEA 37-1918,KI,118,347,93,212,0,1
SEA 37-1919,KI,99,378,106,207,0,2
SEA 37-1914,KI,208,523,156,364,0,0
RNT 11-3563,KI,150,625,127,277,0,0
SEA 37-1916,KI,136,357,124,261,0,1
SEA 37-1917,KI,191,454,118,311,0,2
SEA 37-1910,KI,172,513,151,329,0,6
SEA 37-1911,KI,114,284,77,191,0,0
RNT 11-3564,KI,127,491,118,246,0,1
SEA 37-1913,KI,132,338,106,239,0,1
BUR 34-0033,KI,174,682,131,309,0,4
M-I 41-0755,KI,80,265,92,172,0,0
LAKE MORTON,KI,85,232,63,151,0,3
ISS 05-3634,KI,95,422,91,190,0,4
RNT 11-2583,KI,220,838,146,368,0,2
RNT 11-2582,KI,182,795,84,270,0,4
HOLLYWOOD,KI,194,538,163,359,0,2
SEA 43-1339,KI,94,298,91,187,0,2
M-V 05-3510,KI,134,381,79,213,0,0
BEL 41-3593,KI,112,534,68,182,0,2
SEA 43-1338,KI,156,449,145,302,0,1
