Row Label,County,Dean Takko,David A. Steenson
02 - GRAYS RIVER,WK,74,31
07 - COLUMBIA,WK,148,73
10 - SOUTH CATHLAMET,WK,107,29
03 - ROSBURG / ALTOONA,WK,91,47
11 - NORTH CATHLAMET,WK,42,21
05 - ELOCHOMAN,WK,150,87
04 - SKAMOKAWA,WK,103,47
09 - WEST PUGET ISLAND,WK,177,87
08 - EAST PUGET ISLAND,WK,107,41
06 - ROSEDALE,WK,84,54
Total,WK,1150,554
01 - DEEP RIVER,WK,67,37
