Row Label,County,Randy J. Flyckt
Washtucna City #1,AD,73
Batum,AD,57
Othello Rural #1,AD,65
Hatton Rural,AD,27
Ralston,AD,16
Hatton City,AD,15
Othello Rural #6,AD,139
Othello Rural #4,AD,121
Othello Rural #5,AD,75
Ritzville Rural NW,AD,116
Fairview,AD,24
Benge,AD,17
Ritzville Rural SE,AD,93
Ritzville Ward #5,AD,94
Ritzville Ward #4,AD,82
Ritzville Ward #1,AD,77
Ritzville Ward #3,AD,116
Ritzville Ward #2,AD,73
Schrag,AD,19
Cunningham,AD,7
Othello Rural #2,AD,79
Othello Rural #3,AD,173
Othello City #2,AD,136
Othello City #3,AD,134
Othello City #1,AD,17
Othello City #6,AD,88
Othello City #4,AD,148
Othello City #5,AD,147
Lind #1,AD,125
Washtucna Rural,AD,46
Lind Rural,AD,50
Total,AD,2449
