Row Label,County,Matt Beaton
Pct 008,FR,169
Pct 009,FR,53
Pct 002,FR,95
Pct 003,FR,46
Pct 001,FR,169
Pct 006,FR,91
Pct 007,FR,83
Pct 004,FR,72
Pct 005,FR,65
Pct 082,FR,92
Pct 083,FR,80
Pct 080,FR,238
Pct 081,FR,65
Pct 086,FR,66
Pct 087,FR,56
Pct 084,FR,39
Pct 085,FR,35
Pct 088,FR,33
Pct 089,FR,107
Pct 079,FR,103
Pct 078,FR,71
Pct 077,FR,49
Pct 076,FR,78
Pct 075,FR,39
Pct 074,FR,188
Pct 073,FR,210
Pct 072,FR,117
Pct 071,FR,140
Pct 070,FR,50
Pct 101,FR,96
Pct 100,FR,81
Pct 068,FR,11
Pct 069,FR,31
Pct 064,FR,168
Pct 065,FR,81
Pct 066,FR,229
Pct 067,FR,163
Pct 060,FR,81
Pct 061,FR,231
Pct 062,FR,277
Pct 063,FR,168
Pct 059,FR,239
Pct 058,FR,18
Pct 051,FR,197
Pct 050,FR,196
Pct 053,FR,154
Pct 052,FR,49
Pct 055,FR,264
Pct 054,FR,82
Pct 057,FR,151
Pct 056,FR,139
Pct 046,FR,236
Pct 047,FR,25
Pct 044,FR,152
Pct 045,FR,210
Pct 042,FR,133
Pct 043,FR,147
Pct 040,FR,164
Pct 041,FR,100
Pct 048,FR,185
Pct 049,FR,195
Pct 033,FR,133
Pct 032,FR,330
Pct 031,FR,57
Pct 030,FR,51
Pct 037,FR,247
Pct 036,FR,232
Pct 035,FR,93
Pct 034,FR,195
Pct 039,FR,179
Pct 038,FR,162
Pct 020,FR,57
Pct 021,FR,39
Pct 022,FR,145
Pct 023,FR,253
Pct 024,FR,129
Pct 025,FR,50
Pct 026,FR,106
Pct 027,FR,69
Pct 028,FR,64
Pct 029,FR,81
Pct 019,FR,138
Pct 018,FR,51
Pct 015,FR,105
Pct 014,FR,78
Pct 017,FR,110
Pct 016,FR,16
Pct 011,FR,80
Pct 010,FR,99
Pct 013,FR,63
Pct 012,FR,62
Pct 095,FR,56
Pct 094,FR,0
Pct 097,FR,40
Pct 096,FR,70
Pct 091,FR,8
Pct 090,FR,134
Pct 093,FR,133
Pct 092,FR,113
Total,FR,11427
Pct 099,FR,26
Pct 098,FR,21
