Row Label,County,Diane L. Tischer 
02 - GRAYS RIVER,WK,91
07 - COLUMBIA,WK,164
10 - SOUTH CATHLAMET,WK,115
03 - ROSBURG / ALTOONA,WK,116
11 - NORTH CATHLAMET,WK,55
05 - ELOCHOMAN,WK,192
04 - SKAMOKAWA,WK,125
09 - WEST PUGET ISLAND,WK,213
08 - EAST PUGET ISLAND,WK,112
06 - ROSEDALE,WK,109
Total,WK,1369
01 - DEEP RIVER,WK,77
