Row Label,County,Yes,No
Washtucna City #1,AD,32,68
Batum,AD,21,67
Othello Rural #1,AD,54,26
Hatton Rural,AD,5,28
Ralston,AD,11,26
Hatton City,AD,5,9
Othello Rural #6,AD,61,122
Othello Rural #4,AD,71,84
Othello Rural #5,AD,30,68
Ritzville Rural NW,AD,43,108
Fairview,AD,13,16
Benge,AD,7,19
Ritzville Rural SE,AD,37,108
Ritzville Ward #5,AD,82,64
Ritzville Ward #4,AD,65,78
Ritzville Ward #1,AD,45,57
Ritzville Ward #3,AD,76,87
Ritzville Ward #2,AD,44,54
Schrag,AD,8,29
Cunningham,AD,3,7
Othello Rural #2,AD,52,58
Othello Rural #3,AD,89,130
Othello City #2,AD,122,70
Othello City #3,AD,107,72
Othello City #1,AD,14,9
Othello City #6,AD,46,64
Othello City #4,AD,110,92
Othello City #5,AD,94,93
Lind #1,AD,88,107
Washtucna Rural,AD,20,46
Lind Rural,AD,33,40
Total,AD,1488,1906
