Row Label,County,Mary E. Fairhurst
DUBUQUE,SN,189
IVERSON,SN,123
KEELER,SN,176
MILL CREEK 13,SN,202
MARTHA LAKE,SN,208
PARK PLACE,SN,74
BLUFF,SN,223
SISCO,SN,225
THOMAS CREEK,SN,193
TULALIP 3,SN,210
OLNEY,SN,233
TULALIP 1,SN,220
TULALIP 6,SN,114
TULALIP 4,SN,239
TULALIP 5,SN,135
EVERETT  60,SN,197
EVERETT  61,SN,38
EVERETT  62,SN,157
EVERETT  63,SN,156
SHOECRAFT,SN,229
EVERETT  65,SN,191
EVERETT  66,SN,216
EVERETT  67,SN,189
EVERETT  68,SN,285
ROSE,SN,168
LAKE,SN,228
HIPOINT,SN,145
MILL CREEK  3,SN,147
MILL CREEK  2,SN,187
MILL CREEK  1,SN,250
MILL CREEK  7,SN,17
MILL CREEK  6,SN,273
MILL CREEK  5,SN,291
MILL CREEK  4,SN,168
HEARTHSTONE,SN,166
MILL CREEK  9,SN,229
MILL CREEK  8,SN,264
CLIFF,SN,137
MARYSVILLE 54,SN,230
MARYSVILLE 55,SN,147
HEMLOCK,SN,296
MARYSVILLE 53,SN,151
BROCKLIN,SN,209
MARYSVILLE 51,SN,94
COUNTRY,SN,148
WITHERS,SN,259
PIONEER,SN,201
ELWOOD,SN,210
PEAK,SN,13
HOLLY,SN,236
CHAIN LAKE,SN,253
BRYANT,SN,91
WOODWAY 1,SN,205
WOODWAY 2,SN,134
MUKILTEO  2,SN,320
KENSINGTON,SN,106
FALLS,SN,25
HILL,SN,178
VILLAGE,SN,266
MARYSVILLE 36,SN,150
SHELTON,SN,264
PACKWOOD,SN,113
POST,SN,215
BOULDER,SN,276
FIRGROVE,SN,151
RICHLAND,SN,76
FLORENCE,SN,78
MC DONALD,SN,146
NORTH CREEK,SN,187
GREENWOOD,SN,233
CRAWFORD,SN,62
HAVEN,SN,238
LYNNWOOD 30,SN,229
LYNNWOOD 31,SN,125
LYNNWOOD 32,SN,0
LYNNWOOD 33,SN,208
LYNNWOOD 34,SN,113
MALTBY,SN,214
STONE GATE,SN,170
MARYSVILLE 45,SN,270
BOSTIAN,SN,153
SILER,SN,122
MAPLEWOOD,SN,188
MOUNTLAKE TERRACE 19,SN,195
MOUNTLAKE TERRACE 18,SN,203
MOUNTLAKE TERRACE 17,SN,285
MOUNTLAKE TERRACE 16,SN,161
MOUNTLAKE TERRACE 15,SN,174
MOUNTLAKE TERRACE 14,SN,227
MOUNTLAKE TERRACE 13,SN,234
MOUNTLAKE TERRACE 12,SN,205
MOUNTLAKE TERRACE 11,SN,196
MOUNTLAKE TERRACE 10,SN,284
ARLINGTON  8,SN,205
ARLINGTON  9,SN,241
ARLINGTON  4,SN,324
EVERETT   1,SN,238
ARLINGTON  6,SN,243
ASH,SN,281
EDMONDS 43,SN,257
ARLINGTON  1,SN,211
ARLINGTON  2,SN,153
ARLINGTON  3,SN,179
SHADOW WOOD,SN,211
HUCKLEBERRY,SN,114
SHORTS,SN,242
GLEN ACRES,SN,2
PIONEER TRAILS,SN,199
CREEKSIDE,SN,162
LYNNWOOD 29,SN,289
EVERETT  28,SN,150
EVERETT  29,SN,150
ARLINGTON  5,SN,256
EVERETT  24,SN,204
EVERETT  25,SN,167
PETERSON,SN,271
EVERETT  27,SN,231
EVERETT  20,SN,200
EVERETT  21,SN,263
EVERETT  22,SN,185
EVERETT  23,SN,33
EVERETT  18,SN,257
ARLINGTON  7,SN,263
ADMIRALTY,SN,159
EDMONDS 49,SN,191
EDMONDS 46,SN,370
EDMONDS 47,SN,123
EDMONDS 44,SN,212
EVERETT  89,SN,163
EDMONDS 42,SN,158
LAKE STEVENS  6,SN,204
WOODGATE,SN,119
EDMONDS 41,SN,167
EVERETT  86,SN,183
THOMPSON,SN,241
BUTTERNUT,SN,205
