Row Label,County,Mary E. Fairhurst
Salzer,LE,94
Napavine #2,LE,0
Napavine #3,LE,1
Packwood,LE,64
Napavine #5,LE,0
Napavine #6,LE,0
Napavine #1,LE,311
Union,LE,157
Paradise,LE,38
Napavine #4,LE,0
Urquhart,LE,131
Mossyrock,LE,106
Independence,LE,52
Sommerville,LE,35
Stillwater West,LE,135
Veness,LE,221
Greenwood,LE,7
Stearns Creek,LE,81
Elk Crk,LE,65
Stillwater East,LE,73
Agate,LE,120
Skookumchuck,LE,221
Silver Creek,LE,229
Meskill,LE,40
Onalaska,LE,429
Jackson,LE,290
Toledo,LE,133
Mauermann,LE,51
Chehalis #9,LE,12
Chehalis #8,LE,168
Harmony,LE,225
Chehalis #1,LE,191
Chehalis #3,LE,146
Chehalis #2,LE,130
Chehalis #5,LE,120
Chehalis #4,LE,139
Chehalis #7,LE,40
Chehalis #6,LE,217
Centralia #2,LE,263
Centralia #3,LE,115
Centralia #1,LE,114
Centralia #6,LE,231
Centralia #7,LE,105
Centralia #4,LE,148
Centralia #5,LE,121
Centralia #8,LE,140
Centralia #9,LE,255
Mineral,LE,126
Salkum,LE,188
Randle West,LE,164
Ethel,LE,288
Fair,LE,0
Crego,LE,483
Parcuvia,LE,164
Evaline West,LE,137
Pe Ell,LE,129
Newaukum,LE,189
Forest,LE,246
Dryad,LE,76
Temple,LE,182
Cowlitz,LE,379
Drews Prairie,LE,119
Seminary Hill,LE,121
Klickitat,LE,140
Verndale,LE,224
Cinebar,LE,210
Whealdon,LE,157
Roswell,LE,7
Sears,LE,166
Emery North,LE,2
Adna ,LE,368
Big Bottom,LE,266
Fords Prairie,LE,263
Jackson North,LE,0
Boistfort,LE,59
Claquato,LE,209
Curtis,LE,72
Vader,LE,105
Logan,LE,226
Alpha,LE,308
Berwick,LE,332
Evaline East,LE,86
Lincoln Creek,LE,187
Randle East,LE,230
Salmon Creek,LE,382
Emery,LE,126
Winlock,LE,202
Prescott,LE,456
Total,LE,14937
Kelly,LE,0
Mellen,LE,1
Centralia #10,LE,109
Centralia #11,LE,271
Centralia #12,LE,308
Centralia #13,LE,328
Morton,LE,182
