Row Label,County,Phil Cook,Paul Andrews
LEMOLO 435,KP,223,198
ANNAPOLIS 212,KP,341,300
MEADOWDALE 150,KP,247,117
BELLA VISTA 413,KP,232,181
LIGHTHOUSE POINT 292,KP,284,236
CLEAR CREEK 120,KP,266,173
AUGUSTA 461,KP,99,191
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,197,153
TORVANGER 345,KP,200,420
BREMERTON 012,KP,38,62
BREMERTON 013,KP,171,204
BREMERTON 015,KP,219,215
BREMERTON 016,KP,37,65
WINSLOW 304,KP,225,612
HIGHLAND 423,KP,163,140
LAKE HELENA 214,KP,284,151
DICKENSON 282,KP,296,188
UNIVERSITY POINT 142,KP,198,132
SANDY HOOK 464,KP,161,196
BARKER CREEK 147,KP,337,226
BAYVIEW 087,KP,72,62
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,146,309
EVERGREEN RIDGE 426,KP,119,75
REGAL 131,KP,70,58
COUNTRY CLUB 113,KP,154,122
POULSBO 405,KP,218,291
POULSBO 404,KP,287,257
POULSBO 407,KP,205,213
POULSBO 406,KP,305,310
SEDGWICK 272,KP,303,232
BERRY LAKE 279,KP,182,133
POULSBO 403,KP,220,222
EBBERT 247,KP,308,222
ILLAHEE 065,KP,317,226
COTTONWOOD 125,KP,243,177
MARION 090,KP,44,44
OLYMPIC 099,KP,28,28
KITSAP LAKE 085(*),KP,0,0
GILBERTON 140,KP,232,169
STRIEBEL 453,KP,269,248
AZALEA 302,KP,143,446
YUKON 241,KP,210,173
FOREST RIDGE 126,KP,172,116
FAIRVIEW 135,KP,189,103
ANDERSON CREEK 163,KP,284,135
PORT GAMBLE 450,KP,261,226
RAINIER 067,KP,299,227
BRASCH 213,KP,322,187
GAMBLEWOOD 454,KP,180,155
CENTRAL VALLEY 128,KP,303,215
HOLLY 158,KP,80,52
BURLEY 218,KP,307,233
LUOTO 122,KP,188,83
POINT JEFFERSON 419,KP,199,217
BREMERTON 296,KP,0,0
MORKEN 161,KP,414,241
INDIANOLA 420,KP,219,426
TWIN LAKES 285,KP,87,54
BELFAIR VALLEY 280,KP,103,67
KARIOTIS 143,KP,272,207
TRACYTON 170,KP,210,134
ROCKY POINT 083,KP,314,289
HERITAGE PARK 112,KP,220,141
BREMERTON 294,KP,0,0
ORCA 421,KP,162,193
MINTERBROOK 216,KP,149,89
ALASKA 221,KP,304,301
GLENWOOD 232,KP,422,210
MEADOWMEER 321,KP,69,160
APEX 162,KP,404,179
OLALLA 265,KP,220,168
WINSTON 129,KP,125,85
RIDGETOP 149,KP,227,133
EAGLE CREST 164,KP,334,231
LOCKER 246,KP,382,270
BROWNSVILLE 105,KP,395,261
KINGSTON 430,KP,343,381
VENA 173,KP,222,196
CEDAR 211,KP,232,201
BREMERTON 041,KP,157,193
BREMERTON 040,KP,180,227
POULSBO 401,KP,344,275
BREMERTON 046,KP,194,222
CAMBRIDGE 144,KP,201,108
BREMERTON 056,KP,189,180
TWIN SPITS 417,KP,282,313
BIG VALLEY 441,KP,217,159
CHARLAND 110,KP,226,139
SKIFF POINT 328,KP,121,308
LOST HIGHWAY 157,KP,344,172
TRIDENT 101,KP,74,28
WILSON CREEK 242,KP,254,176
SYLVAN 066,KP,220,242
PORT ORCHARD 201,KP,192,223
EVERGREEN 257,KP,398,278
FERNWOOD 230,KP,377,209
MANCHESTER 255,KP,224,184
SUNNYSLOPE 281,KP,252,153
LOFALL 442,KP,391,300
BLAKELY 310,KP,131,324
PORT ORCHARD 207,KP,248,180
WOODMERE 127,KP,328,231
BREMERTON 058,KP,207,232
UELAND 082,KP,0,0
WATERMAN 295,KP,200,126
BREMERTON 054,KP,111,132
PIONEER 152,KP,374,231
SILVERDALE 160,KP,277,225
BREMERTON 051,KP,27,15
BREMERTON 052,KP,146,147
BREMERTON 053,KP,270,278
SEABECK 155,KP,467,233
PARKWOOD 270,KP,278,256
ISLAND LAKE 427,KP,267,183
BREMERTON 109,KP,19,18
BREIDABLIK 410,KP,250,246
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,327,179
FRAGARIA 259,KP,260,198
LOVGREN 332,KP,100,206
BANDIX 263,KP,349,208
FORT WARD 318,KP,164,358
FUSON 175,KP,249,187
HARPER 240,KP,212,239
WILLOCK 258,KP,262,173
LIBERTY 325,KP,137,308
PORT ORCHARD 203,KP,129,108
SPRING CREEK 217,KP,202,160
MULLENIX 260,KP,340,221
LARSON 153,KP,373,206
FINCH 314,KP,118,270
ROLLING BAY 330,KP,169,344
BREMERTON 029,KP,176,204
TOTTEN 463,KP,152,252
WOODRIDGE 222,KP,185,105
MANZANITA 336,KP,108,254
OLD FRONTIER 106,KP,385,188
BREMERTON 022,KP,147,164
NEBRASKA 223,KP,270,178
EAGLE HARBOR 317,KP,96,281
NEW BROOKLYN 322,KP,94,232
TOLO 333,KP,148,298
FERNCLIFF 315,KP,206,486
S&#39;KLALLAM 418,KP,2,41
PORT ORCHARD 202,KP,286,229
NAVY YARD CITY 095,KP,217,210
PORT ORCHARD 200,KP,113,111
SANTA FE 148,KP,242,154
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,184,126
PORT ORCHARD 204,KP,223,179
PORT ORCHARD 205,KP,581,387
HUNTER 219,KP,264,141
CONIFER 271,KP,145,117
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,366,227
SCANDIA 455,KP,316,194
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,146,247
ALPINE 111,KP,246,152
LUNDBERG 250,KP,274,214
POINT NO POINT 416,KP,357,412
VINLAND 412,KP,334,244
LINCOLN 440,KP,264,177
BREMERTON 032,KP,21,38
OVERLOOK 267,KP,170,216
BREMERTON 030,KP,191,187
BREMERTON 031,KP,117,105
BREMERTON 037,KP,331,228
APPLE TREE 422,KP,255,294
ERLANDS POINT 130,KP,199,142
RIDGEPOINT 141,KP,209,142
PERRY 073,KP,152,132
CRYSTAL SPRINGS 312,KP,209,481
CRESCENT VALLEY 266,KP,298,213
SHERMAN HEIGHTS 278,KP,9,9
SPINNAKER 146,KP,169,159
SINCLAIR 275,KP,141,106
PORT ORCHARD 215,KP,0,0
BLUE HERON 301,KP,171,553
SYMINGTON 151,KP,160,103
PORT ORCHARD 210,KP,201,110
FRONTIER 102,KP,390,174
RIDGEWAY 084,KP,85,44
WING POINT 305,KP,154,259
PEARSON 445,KP,406,263
BREMERTON 114,KP,0,0
SEABOLD 335,KP,212,386
TIBARDIS 139,KP,128,92
BREMERTON 007,KP,7,3
BREMERTON 006,KP,92,166
BREMERTON 005,KP,110,162
SUQUAMISH 460,KP,112,263
BREMERTON 003,KP,180,210
BREMERTON 002,KP,94,101
BREMERTON 001,KP,92,148
BUCKLIN 121,KP,302,220
MADRONA 269,KP,190,154
DRIVE-IN 283,KP,8,4
MILLER BAY 458,KP,306,307
CONVERSE 252,KP,240,176
LONG LAKE 245,KP,194,150
BREMERTON 088,KP,38,35
BREMERTON 159,KP,141,122
SUTTON 165,KP,189,124
OLYMPIC VIEW 103,KP,242,151
Total,KP,42200,38405
