Row Label,County,Al French,Mary Lou Johnson
PCT 3329,SP,106,260
PCT 4448,SP,203,184
PCT 3323,SP,182,282
PCT 3322,SP,157,215
PCT 3321,SP,220,289
PCT 3320,SP,147,213
PCT 3327,SP,136,199
PCT 3326,SP,63,121
PCT 4438,SP,423,233
PCT 4439,SP,295,200
PCT 3325,SP,183,368
PCT 4432,SP,301,212
PCT 4433,SP,190,159
PCT 4430,SP,309,223
PCT 3324,SP,168,268
PCT 4436,SP,485,210
PCT 4437,SP,293,256
PCT 4434,SP,442,278
PCT 4435,SP,343,194
PCT 7028,SP,459,225
PCT 7029,SP,252,189
PCT 7020,SP,356,190
PCT 7021,SP,183,117
PCT 7022,SP,228,198
PCT 7023,SP,226,183
PCT 7024,SP,451,208
PCT 7025,SP,284,183
PCT 7026,SP,327,198
PCT 7027,SP,220,178
PCT 3222,SP,66,176
PCT 3223,SP,75,242
PCT 3220,SP,253,328
PCT 3221,SP,274,270
PCT 6221,SP,382,281
PCT 6220,SP,366,241
PCT 6223,SP,343,280
PCT 6222,SP,308,134
PCT 6225,SP,286,296
PCT 6224,SP,239,268
PCT 3128,SP,139,230
PCT 3121,SP,190,171
PCT 3120,SP,159,221
PCT 3123,SP,168,176
PCT 3122,SP,204,289
PCT 3125,SP,153,196
PCT 3124,SP,177,209
PCT 3127,SP,128,240
PCT 3126,SP,46,33
PCT 9400,SP,28,10
PCT 4034,SP,238,151
PCT 4035,SP,234,94
PCT 4032,SP,202,111
PCT 4033,SP,250,135
PCT 4030,SP,183,164
PCT 4031,SP,302,116
PCT 6315,SP,147,158
PCT 6314,SP,239,234
PCT 6317,SP,202,176
PCT 6316,SP,126,116
PCT 6311,SP,230,195
PCT 6310,SP,219,217
PCT 6313,SP,247,290
PCT 6312,SP,247,171
PCT 6318,SP,250,172
PCT 6009,SP,201,186
PCT 6008,SP,212,180
PCT 9700,SP,87,71
PCT 6001,SP,254,218
PCT 6000,SP,230,137
PCT 6003,SP,377,173
PCT 6002,SP,88,47
PCT 6005,SP,237,200
PCT 6004,SP,208,149
PCT 6007,SP,245,193
PCT 6006,SP,278,197
PCT 3301,SP,331,310
PCT 3300,SP,283,165
PCT 3303,SP,205,243
PCT 3302,SP,244,228
PCT 3305,SP,167,214
PCT 3304,SP,205,249
PCT 3307,SP,157,179
PCT 3306,SP,242,222
PCT 3309,SP,181,254
PCT 3308,SP,208,255
PCT 6500,SP,68,37
PCT 6218,SP,278,231
PCT 6219,SP,316,246
PCT 6210,SP,305,328
PCT 6211,SP,185,214
PCT 6212,SP,144,165
PCT 6213,SP,285,294
PCT 6214,SP,217,255
PCT 6215,SP,238,375
PCT 6216,SP,257,271
PCT 6217,SP,240,337
PCT 3110,SP,135,151
PCT 3111,SP,133,153
PCT 3112,SP,12,10
PCT 3113,SP,188,225
PCT 3114,SP,199,207
PCT 3115,SP,173,228
PCT 3116,SP,199,230
PCT 3117,SP,129,152
PCT 3118,SP,111,180
PCT 3119,SP,141,197
PCT 4429,SP,332,218
PCT 4428,SP,194,153
PCT 4425,SP,230,153
PCT 4424,SP,290,182
PCT 4427,SP,350,254
PCT 4426,SP,166,121
PCT 4421,SP,189,191
PCT 4420,SP,112,104
PCT 4423,SP,394,270
PCT 4422,SP,294,204
PCT 7033,SP,200,131
PCT 7032,SP,259,253
PCT 7031,SP,254,206
PCT 7030,SP,332,213
PCT 7036,SP,217,167
PCT 7035,SP,188,128
PCT 7034,SP,160,144
PCT 6602,SP,282,176
PCT 6601,SP,263,124
PCT 6600,SP,233,210
PCT 6030,SP,426,264
PCT 6031,SP,207,163
PCT 6032,SP,232,77
PCT 6033,SP,470,265
PCT 6034,SP,367,177
PCT 6035,SP,189,117
PCT 6036,SP,187,119
PCT 6037,SP,191,90
PCT 4450,SP,131,118
PCT 4451,SP,217,155
PCT 4452,SP,230,148
PCT 4453,SP,317,174
PCT 4454,SP,162,190
PCT 4455,SP,226,166
PCT 4029,SP,306,183
PCT 4028,SP,400,252
PCT 4021,SP,309,196
PCT 4020,SP,328,210
PCT 4023,SP,122,63
PCT 4022,SP,254,184
PCT 4025,SP,310,151
PCT 4024,SP,225,144
PCT 4027,SP,307,128
PCT 4026,SP,308,107
PCT 4431,SP,231,180
PCT 4414,SP,337,229
PCT 4415,SP,229,181
PCT 4416,SP,244,227
PCT 4417,SP,155,154
PCT 4410,SP,343,222
PCT 4411,SP,320,202
PCT 4412,SP,230,153
PCT 4413,SP,256,216
PCT 4418,SP,286,199
PCT 4419,SP,299,209
PCT 4201,SP,94,128
PCT 4200,SP,182,194
PCT 9600,SP,50,20
PCT 6100,SP,150,128
PCT 6101,SP,221,174
PCT 6102,SP,224,185
PCT 6103,SP,84,85
PCT 6104,SP,133,181
PCT 6105,SP,177,197
PCT 6106,SP,271,278
PCT 6107,SP,159,154
PCT 6108,SP,163,190
PCT 6109,SP,138,121
PCT 3208,SP,185,246
PCT 3209,SP,232,289
PCT 3200,SP,108,256
PCT 3201,SP,154,347
PCT 3202,SP,99,169
PCT 3203,SP,128,297
PCT 3204,SP,100,250
PCT 3205,SP,148,244
PCT 3206,SP,85,263
PCT 3207,SP,89,144
PCT 6209,SP,174,304
PCT 6208,SP,243,388
PCT 6203,SP,177,481
PCT 6202,SP,218,299
PCT 6201,SP,196,246
PCT 6200,SP,259,355
PCT 6207,SP,353,283
PCT 6206,SP,232,420
PCT 6205,SP,194,453
PCT 6204,SP,219,529
PCT 3103,SP,125,149
PCT 3102,SP,102,134
PCT 3101,SP,141,179
PCT 3100,SP,161,190
PCT 3107,SP,178,207
PCT 3106,SP,167,185
PCT 3105,SP,126,207
PCT 3104,SP,180,213
PCT 3109,SP,150,194
PCT 3108,SP,151,130
PCT 4010,SP,289,172
PCT 4011,SP,451,222
PCT 4012,SP,509,241
PCT 4013,SP,302,144
PCT 4014,SP,178,147
PCT 4015,SP,225,145
PCT 4016,SP,307,216
PCT 4017,SP,342,254
PCT 4018,SP,201,136
PCT 4019,SP,216,146
PCT 6704,SP,238,196
PCT 6702,SP,150,168
PCT 6703,SP,191,221
PCT 6700,SP,231,191
PCT 6701,SP,174,251
PCT 7008,SP,406,192
PCT 7009,SP,450,240
PCT 7006,SP,354,182
PCT 7007,SP,294,174
PCT 7004,SP,362,142
PCT 7005,SP,472,266
PCT 7002,SP,255,122
PCT 7003,SP,351,179
PCT 7000,SP,468,239
PCT 7001,SP,252,161
PCT 6023,SP,190,94
PCT 6022,SP,287,226
PCT 6021,SP,250,211
PCT 6020,SP,345,393
