Row Label,County,Mark Hammond
HARRINGTON IN,LI,123
LONG LAKE,LI,60
S REARDAN RURAL,LI,46
DAVENPORT RURAL,LI,80
IRBY,LI,20
KELLER,LI,57
LAMONA,LI,24
HAWK CREEK,LI,56
EDWALL,LI,66
MOHLER,LI,44
EGYPT,LI,101
WEST LARENE,LI,32
SPRAGUE RURAL,LI,98
WHEATLAND,LI,76
EAST LARENE,LI,77
GRAVELLE,LI,36
GRAND COULEE,LI,27
REARDAN IN,LI,192
PEACH,LI,119
ALMIRA RURAL,LI,26
N REARDAN RURAL,LI,33
HARR RURAL,LI,49
GOVAN,LI,18
LAKEVIEW,LI,106
ODESSA IN,LI,291
SPRAGUE IN,LI,110
RIVERVIEW,LI,123
ENOS,LI,9
LAYTON,LI,18
CANBY,LI,33
EARL,LI,31
WILBUR RURAL,LI,83
WAUKON,LI,41
WILBUR IN,LI,307
DOWNS,LI,22
SHERMAN,LI,57
MONDOVI,LI,65
ALMIRA IN,LI,77
SPRING CREEK,LI,68
SEVEN BAYS,LI,58
CRESTON RURAL,LI,48
CRESTON IN,LI,74
ODESSA RURAL,LI,77
WILSON CREEK,LI,32
Total,LI,3726
DAVENPORT IN,LI,520
BLUESTEM,LI,16
