Row Label,County,Beth A. Fraser
MISTY,SN,214
EDMONDS 15,SN,171
EDMONDS 40,SN,203
EDMONDS 34,SN,230
EDMONDS 51,SN,230
ROYAL,SN,267
MEADOWCREST,SN,191
LYNNWOOD 33,SN,206
LUNDS GULCH,SN,85
MANORDALE,SN,186
PUGET PARK,SN,172
SPRUCE,SN,116
EDMONDS 30,SN,172
DUMAS,SN,186
DOUGLAS FIRS,SN,171
RUGGS LAKE,SN,213
EDMONDS  2,SN,229
EDMONDS  3,SN,254
EDMONDS  1,SN,212
EDMONDS  6,SN,277
EDMONDS  7,SN,254
PARKSHORE,SN,166
WAXON,SN,282
MAGNOLIA,SN,164
EDMONDS  4,SN,217
NILE,SN,0
RHODY RIDGE,SN,138
SUMMIT,SN,187
KEELER,SN,175
EAST SHORE,SN,194
GLENBAR,SN,147
STAFFORD,SN,134
CASCADE,SN,153
CRYSTAL CREEK,SN,118
MARTHA LAKE,SN,202
SILVER FIRS,SN,277
FILBERT,SN,264
EDMONDS 16,SN,169
COVE,SN,197
CRYSTAL,SN,205
MILL CREEK 18,SN,184
MILL CREEK 19,SN,298
GRANNIS,SN,195
MILL CREEK 14,SN,5
MILL CREEK 15,SN,216
MILL CREEK 16,SN,161
MILL CREEK 17,SN,220
MILL CREEK 10,SN,176
MILL CREEK 11,SN,157
MILL CREEK 12,SN,165
MILL CREEK 13,SN,200
CASCADIAN,SN,257
WINDROSE,SN,294
ALDER,SN,194
HIPOINT,SN,139
MILL CREEK  3,SN,144
MILL CREEK  2,SN,192
MILL CREEK  1,SN,243
EDMONDS 35,SN,182
MILL CREEK  7,SN,17
MILL CREEK  6,SN,270
MILL CREEK  5,SN,291
MILL CREEK  4,SN,169
HEARTHSTONE,SN,164
MILL CREEK  9,SN,222
MILL CREEK  8,SN,263
HUNT,SN,3
HEMLOCK,SN,283
COUNTRY,SN,147
EDMONDS 43,SN,253
FREEWAY,SN,218
PIONEER,SN,204
ELWOOD,SN,207
WOODGATE,SN,118
HOLLY,SN,229
EDMONDS 18,SN,209
EDMONDS 41,SN,167
EDMONDS  8,SN,291
LAURA,SN,236
HOLIDAY,SN,108
WOODWAY 1,SN,196
LYNNWOOD 25,SN,233
WOODWAY 2,SN,120
SAMOEA,SN,211
ROB,SN,141
EDMONDS 19,SN,244
EDMONDS 11,SN,233
EDMONDS 10,SN,251
EDMONDS 13,SN,251
EDMONDS 12,SN,140
MOUNTLAKE TERRACE  8,SN,194
HILL,SN,173
EDMONDS 17,SN,187
OLDMARK,SN,277
MOUNTLAKE TERRACE  4,SN,139
MOUNTLAKE TERRACE  5,SN,173
MOUNTLAKE TERRACE  6,SN,144
MOUNTLAKE TERRACE  7,SN,107
MOUNTLAKE TERRACE  1,SN,188
MOUNTLAKE TERRACE  2,SN,173
MOUNTLAKE TERRACE  3,SN,174
LYNNWOOD 23,SN,208
LYNNWOOD 22,SN,151
LYNNWOOD 21,SN,199
LYNNWOOD 20,SN,199
LYNNWOOD 26,SN,203
SHORE,SN,234
LYNNWOOD 24,SN,168
STICKNEY,SN,205
LYNNWOOD 29,SN,288
EMERALD,SN,204
GRAND FIRS,SN,273
AVALON,SN,107
EDMONDS 31,SN,238
POST,SN,208
EDMONDS  5,SN,146
KENTISH,SN,157
MOUNTLAKE TERRACE  9,SN,137
MANOR,SN,197
PUGET,SN,180
ELFIN,SN,109
KENNARD,SN,174
CYPRESS,SN,199
SHELBY,SN,171
WOODLAND,SN,88
EDMONDS 14,SN,170
LYNNWOOD 11,SN,204
EDMONDS 24,SN,156
EDMONDS 33,SN,195
NORTH CREEK,SN,183
EDMONDS 27,SN,177
EDMONDS 21,SN,288
EDMONDS 22,SN,197
EDMONDS 23,SN,273
NORTHROAD,SN,267
CRAWFORD,SN,62
FAIRWOOD,SN,104
LYNNWOOD 30,SN,231
LYNNWOOD 31,SN,123
LYNNWOOD 32,SN,0
SILVER CREEK,SN,167
LYNNWOOD 34,SN,111
EDMONDS 37,SN,211
NEWTON,SN,149
EDMONDS 25,SN,207
EDMONDS 36,SN,198
JEFFERSON,SN,148
FERNWOOD,SN,183
PACIFIC,SN,60
LYNNWOOD 28,SN,120
THRASHERS,SN,190
BEVERLY,SN,183
HILLTOP,SN,259
KNOX,SN,12
MARINER,SN,184
CHAPEL,SN,146
EDMONDS 39,SN,257
EDMONDS 38,SN,242
MAPLEWOOD,SN,185
MOUNTLAKE TERRACE 19,SN,197
MOUNTLAKE TERRACE 18,SN,210
MOUNTLAKE TERRACE 17,SN,276
MOUNTLAKE TERRACE 16,SN,156
MOUNTLAKE TERRACE 15,SN,167
MOUNTLAKE TERRACE 14,SN,227
MOUNTLAKE TERRACE 13,SN,230
MOUNTLAKE TERRACE 12,SN,205
MOUNTLAKE TERRACE 11,SN,187
MOUNTLAKE TERRACE 10,SN,273
EDMONDS  9,SN,159
ASH,SN,269
TERRACE,SN,46
SHADOW WOOD,SN,197
KATTENHORN,SN,286
EDMONDS 29,SN,235
VINE,SN,187
PIONEER TRAILS,SN,205
PICNIC POINT,SN,176
FIELD,SN,214
YORK,SN,236
EDMONDS 26,SN,146
WILLOWDALE,SN,236
EVERGREEN,SN,141
STONE GATE,SN,163
EDMONDS 48,SN,194
LARCH,SN,193
EDMONDS 46,SN,362
EDMONDS 47,SN,119
EDMONDS 44,SN,197
EDMONDS 45,SN,161
LOCUST,SN,198
KENWOOD,SN,200
OLYMPUS,SN,167
WALNUT,SN,140
SUNSET,SN,275
PINEWOOD,SN,192
DOGWOOD,SN,176
EDMONDS 50,SN,147
SOUTH ALDERWOOD,SN,272
WINGATE,SN,225
ANN,SN,176
BUTTERNUT,SN,204
DALE,SN,217
