Row Label,County,Eddie Yoon,Charles W. Johnson
0134,YA,142,508
4303,YA,16,107
0130,YA,53,153
0131,YA,76,166
0132,YA,57,196
0133,YA,106,401
0138,YA,141,363
0139,YA,82,351
4005,YA,44,173
1301,YA,38,140
0140,YA,38,173
0142,YA,88,318
0308,YA,0,0
0307,YA,8,11
0306,YA,70,227
0305,YA,3,12
0304,YA,27,81
0303,YA,71,145
0302,YA,72,132
0301,YA,9,53
0127,YA,79,173
0126,YA,43,88
0124,YA,21,68
0120,YA,59,131
2701,YA,155,470
0129,YA,46,128
3401,YA,39,81
1701,YA,81,140
1702,YA,5,20
1703,YA,62,142
1704,YA,0,0
1705,YA,79,278
1706,YA,75,189
1708,YA,59,156
4401,YA,52,135
4402,YA,36,171
5010,YA,16,79
0113,YA,40,114
0110,YA,66,134
0111,YA,39,164
0116,YA,85,285
5016,YA,41,100
0118,YA,32,101
3308,YA,82,253
3309,YA,78,142
3306,YA,27,145
3304,YA,67,290
3305,YA,59,228
3303,YA,33,108
3301,YA,41,220
4801,YA,100,449
4802,YA,99,419
3004(*),YA,0,0
2301,YA,55,158
2303,YA,56,161
2306,YA,65,260
5003,YA,44,261
5001,YA,18,56
0104,YA,49,144
0101,YA,49,99
0103,YA,41,105
4114,YA,24,94
4115,YA,50,131
0901,YA,50,77
4625,YA,2,9
4626,YA,2,13
4111,YA,74,319
3311,YA,111,509
3310,YA,72,173
3313,YA,20,105
3002(*),YA,0,0
3504,YA,3,11
4605(*),YA,0,0
4623,YA,6,27
4624,YA,35,128
4112,YA,103,382
0190,YA,51,164
5014,YA,52,262
0179,YA,81,339
0170,YA,60,216
0173,YA,59,197
0175,YA,50,144
0177,YA,100,353
4101,YA,30,111
4628,YA,25,82
4102,YA,74,247
4105,YA,43,123
4104,YA,49,180
4106,YA,81,194
4109,YA,95,347
4108,YA,48,183
1901,YA,33,84
0185,YA,77,325
0184,YA,70,236
0187,YA,61,291
0186,YA,86,393
0181,YA,95,341
0180,YA,33,200
0183,YA,73,260
0182,YA,135,467
0501,YA,57,159
0189,YA,53,211
0188,YA,89,359
1502,YA,108,268
1503,YA,80,264
1501,YA,65,181
1504,YA,85,317
3602,YA,95,425
0169,YA,89,376
0168,YA,94,333
0001,YA,0,0
3605,YA,120,447
0163,YA,69,350
0162,YA,41,174
0167,YA,79,349
4627,YA,25,88
4608,YA,27,90
4609,YA,26,126
4606,YA,56,283
4604,YA,23,137
5101,YA,41,122
4602,YA,27,134
4603,YA,106,280
4601,YA,49,117
3206,YA,94,314
3205,YA,91,365
3204,YA,15,30
3203,YA,77,338
3208,YA,16,26
1103,YA,78,179
1101,YA,70,190
2103,YA,97,170
2101,YA,127,219
3904,YA,24,87
3905,YA,25,77
3901,YA,96,301
3902,YA,38,115
3903,YA,121,514
3601,YA,7,26
4618,YA,48,171
4615,YA,71,193
4616,YA,26,97
3104,YA,60,213
3105,YA,5,29
3106,YA,76,230
4003,YA,84,351
3101,YA,87,406
3102,YA,79,195
3103,YA,47,127
5012,YA,90,164
5020,YA,49,166
2501,YA,115,158
4504,YA,54,212
5202,YA,0,0
4501,YA,23,66
4503,YA,9,29
3701,YA,63,177
0156,YA,44,138
0154,YA,66,259
0155,YA,70,286
0153,YA,69,233
0150,YA,53,139
4001,YA,33,77
0701,YA,17,63
Total,YA,9337,31287
4002,YA,28,86
0158,YA,45,124
